Spieler;Marktwert;Mindestgebot;Besitzer;TM_Stand;Restzeit;Verein
Vini Souza;5.230.000;5.230.000;Computer;10.07.2025;1d, 20h;VfL Wolfsburg
Sakar;160.000;160.000;Computer;10.07.2025;1d, 20h;RB Leipzig
Vermeeren;1.550.000;1.550.000;Computer;10.07.2025;1d, 20h;RB Leipzig
Bitshiabu;2.750.000;2.750.000;Computer;10.07.2025;1d, 20h;RB Leipzig
Smolčić;180.000;180.000;Computer;10.07.2025;1d, 20h;Eintracht Frankfurt
Leweling;4.940.000;4.940.000;Computer;10.07.2025;1d, 20h;VfB Stuttgart
Pléa;5.720.000;5.720.000;Computer;10.07.2025;1d, 20h;Borussia Mönchengladbach
Ma. Müller;160.000;160.000;Computer;10.07.2025;1d, 20h;VfL Wolfsburg
Maza;5.330.000;5.740.000;Computer;10.07.2025;20h;Bayer 04 Leverkusen
Woltemade;15.580.000;15.540.000;Computer;10.07.2025;20h;VfB Stuttgart
Schmitz;160.000;170.000;Computer;10.07.2025;20h;FC St. Pauli
Guirassy;15.610.000;15.580.000;Computer;10.07.2025;20h;Borussia Dortmund
Tabaković;1.060.000;1.080.000;Computer;10.07.2025;20h;TSG Hoffenheim
Honorat;6.630.000;6.860.000;Computer;10.07.2025;20h;Borussia Mönchengladbach
Beljo;480.000;500.000;Computer;10.07.2025;20h;FC Augsburg
