Manager;Spieler;Position
Thomas;Burkardt;Sturm
Thomas;Weiper;Sturm
Thomas;Diehl;Sturm
Thomas;Glatzel;Sturm
Thomas;Borges Sanches;Sturm
Thomas;Doan;Mittelfeld
Thomas;M. Eggestein;Mittelfeld
Thomas;Čović;Mittelfeld
Thomas;Grimaldo;Abwehr
Thomas;Wahl;Abwehr
Thomas;Laimer;Abwehr
Thomas;Treu;Abwehr
Thomas;Davies;Abwehr
Thomas;Agu;Abwehr
Thomas;Meyer;Tor
Thomas;Heuer Fernandes;Tor
Alfons;Undav;Sturm
Alfons;Tietz;Sturm
Alfons;Dinkçi;Sturm
Alfons;Matanović;Sturm
Alfons;Kabadayi;Sturm
Alfons;S. Banks;Sturm
Alfons;Bebou;Sturm
Alfons;J. Hofmann;Mittelfeld
Alfons;Meffert;Mittelfeld
Alfons;Martel;Mittelfeld
Alfons;Banzuzi;Mittelfeld
Alfons;Kristensen;Abwehr
Alfons;Ginter;Abwehr
Alfons;Akpoguma;Abwehr
Alfons;Querfeld;Abwehr
Alfons;Süle;Abwehr
Alfons;Tauer;Abwehr
Alfons;Gulácsi;Tor
Christoph;Ilić;Sturm
Christoph;Skov Olsen;Sturm
Christoph;B. Touré;Sturm
Christoph;Amiri;Mittelfeld
Christoph;Ouédraogo;Mittelfeld
Christoph;Gouweleeuw;Abwehr
Christoph;Theate;Abwehr
Christoph;Upamecano;Abwehr
Christoph;Raum;Abwehr
Christoph;Zesiger;Abwehr
Christoph;Nsoki;Abwehr
Christoph;Atubolu;Tor
Christoph;F. Müller;Tor
Pascal;Kramarić;Sturm
Pascal;Gnabry;Sturm
Pascal;Larsson;Mittelfeld
Pascal;Irvine;Mittelfeld
Pascal;Can;Mittelfeld
Pascal;Skhiri;Mittelfeld
Pascal;Kainz;Mittelfeld
Pascal;W. Orbán;Abwehr
Pascal;Caci;Abwehr
Pascal;Elvedi;Abwehr
Pascal;Friedl;Abwehr
Pascal;Baumann;Tor
Pascal;L. Philipp;Tor
Andreas;Hollerbach;Sturm
Andreas;Tiago Tomás;Sturm
Andreas;Conteh;Sturm
Andreas;André Silva;Sturm
Andreas;Dompé;Sturm
Andreas;Sahiti;Sturm
Andreas;Schmid;Mittelfeld
Andreas;Stöger;Mittelfeld
Andreas;Millot;Mittelfeld
Andreas;Svanberg;Mittelfeld
Andreas;Tousart;Mittelfeld
Andreas;Keitel;Mittelfeld
Andreas;Tohumcu;Mittelfeld
Andreas;Röhl;Mittelfeld
Andreas;Alvero;Mittelfeld
Andreas;Christensen;Mittelfeld
Andreas;Hincapié;Abwehr
Andreas;Matsima;Abwehr
Andreas;Fischer;Abwehr
Andreas;Chiarodia;Abwehr
Andreas;Torunarigha;Abwehr
Andreas;Pauli;Abwehr
Andreas;Omlin;Tor
Andreas;Vandevoordt;Tor
Dominik;Uzun;Sturm
Dominik;Adli;Sturm
Dominik;Sieb;Sturm
Dominik;Schimmer;Sturm
Dominik;Ceesay;Sturm
Dominik;P. Nebel;Mittelfeld
Dominik;Groß;Mittelfeld
Dominik;Baumgartner;Mittelfeld
Dominik;Wanner;Mittelfeld
Dominik;Haberer;Mittelfeld
Dominik;P. Aaronson;Mittelfeld
Dominik;Chabot;Abwehr
Dominik;Klostermann;Abwehr
Dominik;N. Schlotterbeck;Abwehr
Dominik;Ritzka;Abwehr
Dominik;Netz;Abwehr
Dominik;Mets;Abwehr
Dominik;Malatini;Abwehr
Dominik;Al-Dakhil;Abwehr
Dominik;Ogbus;Abwehr
Dominik;Hübers;Abwehr
Dominik;Neuer;Tor
Dominik;Kauã Santos;Tor
Nico;Olise;Sturm
Nico;Hložek;Sturm
Nico;Höler;Sturm
Nico;Gregoritsch;Sturm
Nico;Wahi;Sturm
Nico;Knauff;Mittelfeld
Nico;Pavlović;Mittelfeld
Nico;Schäfer;Mittelfeld
Nico;Dorsch;Mittelfeld
Nico;Doekhi;Abwehr
Nico;Saliakas;Abwehr
Nico;Hendriks;Abwehr
Nico;Muheim;Abwehr
Nico;Zentner;Tor
Christian;Ekitiké;Sturm
Christian;Zivzivadze;Sturm
Christian;Schöppner;Mittelfeld
Christian;Khedira;Mittelfeld
Christian;Chaïbi;Mittelfeld
Christian;Kömür;Mittelfeld
Christian;Raphaël Guerreiro;Abwehr
Christian;Tapsoba;Abwehr
Christian;Smolčić;Abwehr
Christian;Cozza;Abwehr
Christian;Elfadli;Abwehr
Christian;Agyekum;Abwehr
Christian;Grabara;Tor
