Spieler;Marktwert;Besitzer;TM_Stand;Datum
Öztunali;190.000;Computer;29.05.2025;
Mikelbrencis;1.600.000;Computer;29.05.2025;
Atubolu;2.990.000;Computer;29.05.2025;
Šeško;11.620.000;Computer;29.05.2025;
F. Müller;400.000;Computer;29.05.2025;
Ekitiké;13.980.000;Computer;31.05.2025;
At. Szalai;160.000;Computer;01.06.2025;
Manzambi;4.630.000;Pascal;01.06.2025;
Sakar;160.000;Pascal;01.06.2025;
Poller;300.000;Nico;01.06.2025;
Raab;220.000;Nico;01.06.2025;
Goretzka;8.330.000;Alfons;02.06.2025;
L. Grill;190.000;Thomas;02.06.2025;
Buta;940.000;Thomas;02.06.2025;
Fischer;1.070.000;Computer;02.06.2025;
Conteh;930.000;Computer;02.06.2025;
Obert;370.000;Nico;02.06.2025;
S. Burchert;160.000;Thomas;03.06.2025;
Huth;160.000;Computer;03.06.2025;
Özcan;1.510.000;Christian;03.06.2025;
Haidara;1.660.000;Christian;03.06.2025;
Keitel;660.000;Computer;03.06.2025;
Stanišić;6.920.000;Thomas;03.06.2025;
F. Becker;500.000;Thomas;03.06.2025;
Ullrich;1.080.000;Christian;03.06.2025;
Paçarada;2.950.000;Pascal;03.06.2025;
Batz;220.000;Computer;04.06.2025;
Poulsen;1.540.000;Pascal;04.06.2025;
Berisha;1.910.000;Pascal;04.06.2025;
Hollerbach;6.630.000;Computer;04.06.2025;
Gleiber;190.000;Christoph;04.06.2025;
L. Reis;2.670.000;Alfons;04.06.2025;
Dong;660.000;Pascal;04.06.2025;
Ngankam;470.000;Dominik;05.06.2025;
Stiller;11.740.000;Christoph;05.06.2025;
Dźwigała;200.000;Christoph;05.06.2025;
Hranáč;190.000;Alfons;05.06.2025;
Chaves;2.580.000;Computer;05.06.2025;
Swider;160.000;Christoph;05.06.2025;
Čović;200.000;Computer;05.06.2025;
Friedrich;840.000;Dominik;06.06.2025;
Geiger;980.000;Nico;06.06.2025;
Burke;4.630.000;Dominik;06.06.2025;
Muslija;450.000;Dominik;06.06.2025;
Koudossou;440.000;Dominik;06.06.2025;
Čvančara;1.180.000;Computer;06.06.2025;
Pesch;200.000;Nico;06.06.2025;
G. Orban;1.850.000;Nico;07.06.2025;
Agyekum;340.000;Computer;07.06.2025;
Ma. Müller;220.000;Dominik;08.06.2025;
Gerhardt;810.000;Christian;08.06.2025;
Lainer;760.000;Dominik;08.06.2025;
Widmer;680.000;Alfons;08.06.2025;
Král;480.000;Computer;08.06.2025;
Alvero;320.000;Computer;08.06.2025;
