Datum;Spieler;Besitzer;Hoechstgebot;Hoechstbietender;Zweitgebot;Zweitbietender
29.07.2025;Agu;Thomas;3286400;Computer;;
29.07.2025;Burkardt;Thomas;12913200;Computer;;
29.07.2025;Arthur;Computer;1660500;Christoph;;
29.07.2025;Kane;Computer;18645009;Thomas;16810000;Dominik
28.07.2025;Král;Computer;430774;Dominik;420140.0;Alfons
28.07.2025;Røssing-Lelesiit;Computer;331161;Dominik;295040.0;Alfons
28.07.2025;T. Philipp;Computer;160040;Alfons;;
28.07.2025;P. Nebel;Dominik;7583400;Computer;;
28.07.2025;Baumgartner;Dominik;2548000;Computer;;
28.07.2025;Uzun;Dominik;4284000;Computer;;
28.07.2025;Klostermann;Dominik;2340000;Computer;;
27.07.2025;Stark;Computer;2155000;Christian;2150009.0;Dominik
27.07.2025;Millot;Andreas;3631200;Computer;;
27.07.2025;Weiper;Thomas;5250000;Computer;;
27.07.2025;Jeong;Computer;1950999;Christian;;
27.07.2025;Beste;Computer;3081000;Christian;;
26.07.2025;Mwene;Computer;1990200;Christoph;1986000.0;Dominik
26.07.2025;Smolčić;Christian;176400;Computer;;
26.07.2025;Mæhle;Computer;2340000;Christoph;2335000.0;Dominik
25.07.2025;Vavro;Dominik;4919200;Computer;;
24.07.2025;Vavro;Computer;4710000;Dominik;;
24.07.2025;Raum;Christoph;6080000;Computer;;
24.07.2025;Matanović;Alfons;4419800;Computer;;
24.07.2025;Nordin;Computer;650680;Alfons;;
24.07.2025;Meffert;Alfons;947600;Computer;;
24.07.2025;Ekitiké;Christian;8320200;Computer;;
24.07.2025;Giannoulis;Computer;3110080;Alfons;;
23.07.2025;Wanner;Dominik;4423800;Computer;;
22.07.2025;Nsoki;Computer;700000;Christoph;617040.0;Alfons
22.07.2025;Kabadayi;Computer;300240;Alfons;;
22.07.2025;Cozza;Christian;182400;Computer;;
22.07.2025;Schimmer;Dominik;277200;Computer;;
22.07.2025;Raum;Computer;5490000;Christoph;;
21.07.2025;Uzun;Computer;3935902;Dominik;;
21.07.2025;Borges Sanches;Computer;181008;Thomas;180040.0;Alfons
21.07.2025;Anton;Christoph;5070200;Computer;;
20.07.2025;Zesiger;Computer;1974100;Christoph;;
20.07.2025;Stach;Dominik;3740000;Computer;;
19.07.2025;Trimmel;Pascal;1046400;Computer;;
19.07.2025;Anton;Computer;4910000;Christoph;;
19.07.2025;S. Banks;Computer;352020;Alfons;;
19.07.2025;Skov Olsen;Computer;2080100;Christoph;;
19.07.2025;A. Jung;Pascal;896100;Computer;;
18.07.2025;Laimer;Computer;5378000;Thomas;;
18.07.2025;Gebel;Dominik;171700;Computer;;
18.07.2025;M. El Mala;Andreas;1452300;Computer;;
18.07.2025;Čović;Computer;255000;Thomas;235220.0;Alfons
18.07.2025;Raab;Thomas;220500;Computer;;
18.07.2025;Gnabry;Computer;5713232;Pascal;;
17.07.2025;Palacios;Thomas;5237100;Computer;;
17.07.2025;Weiser;Christoph;4740000;Computer;;
17.07.2025;Gebel;Computer;160800;Dominik;;
17.07.2025;Banzuzi;Computer;3010060;Alfons;;
17.07.2025;Boniface;Alfons;5054400;Computer;;
17.07.2025;Capaldo;Christoph;4635000;Computer;;
17.07.2025;Petersson;Dominik;164800;Computer;;
16.07.2025;Capaldo;Computer;4500100;Christoph;;
16.07.2025;Petersson;Computer;161288;Dominik;160160.0;Alfons
16.07.2025;Pléa;Christoph;5500000;Computer;;
16.07.2025;Nkounkou;Thomas;493500;Computer;;
16.07.2025;Moerstedt;Dominik;1934400;Computer;;
15.07.2025;Bitshiabu;Christoph;2638400;Computer;;
15.07.2025;Chase;Dominik;462000;Computer;;
15.07.2025;Jeong;Christoph;2060400;Computer;;
14.07.2025;Nkounkou;Computer;423000;Thomas;418560.0;Alfons
13.07.2025;Weißhaupt;Dominik;2205000;Computer;;
13.07.2025;Ma. Müller;Thomas;168000;Computer;;
13.07.2025;Pléa;Computer;5724000;Christoph;;
12.07.2025;Smolčić;Computer;200999;Christian;180300.0;Thomas
12.07.2025;Ma. Müller;Computer;161009;Thomas;160060.0;Alfons
12.07.2025;Gnabry;Christoph;6890000;Computer;;
12.07.2025;Koulierakis;Pascal;2966400;Computer;;
12.07.2025;Laimer;Pascal;5170100;Computer;;
12.07.2025;Bitshiabu;Computer;2800000;Christoph;2784000.0;Thomas
11.07.2025;P. Pfeiffer;Christian;306900;Computer;;
10.07.2025;Raab;Computer;172000;Thomas;170060.0;Alfons
10.07.2025;M. Philipp;Alfons;275400;Computer;;
10.07.2025;Jeong;Computer;1900000;Christoph;1887500.0;Nico
10.07.2025;Gnabry;Computer;7460600;Christoph;;
09.07.2025;Bittencourt;Pascal;1143300;Computer;;
09.07.2025;Finkgräfe;Christoph;3050000;Computer;;
09.07.2025;Mikelbrencis;Thomas;660000;Computer;;
09.07.2025;Hack;Christoph;5522400;Computer;;
09.07.2025;Uzun;Christoph;3403700;Computer;;
08.07.2025;Weiper;Computer;3765009;Thomas;;
08.07.2025;Davies;Computer;3467000;Thomas;;
08.07.2025;Krattenmacher;Thomas;1165500;Computer;;
08.07.2025;Mikelbrencis;Computer;655000;Thomas;646080.0;Alfons
08.07.2025;M. Philipp;Computer;270080;Alfons;;
08.07.2025;Čović;Alfons;173400;Computer;;
07.07.2025;Čović;Computer;160240;Alfons;160033.0;Thomas
07.07.2025;Malanga;Thomas;244800;Computer;;
07.07.2025;Höfler;Dominik;478400;Computer;;
07.07.2025;Niehues;Alfons;176800;Computer;;
07.07.2025;Flekken;Thomas;2753800;Computer;;
07.07.2025;Muslija;Christoph;703500;Computer;;
07.07.2025;Elmas;Alfons;659200;Computer;;
06.07.2025;Grimaldo;Computer;7489000;Thomas;;
06.07.2025;Flekken;Computer;2745000;Thomas;;
06.07.2025;Urbig;Thomas;850000;Computer;;
05.07.2025;Musiala;Thomas;15771000;Computer;;
05.07.2025;Nacho Ferri;Thomas;178500;Computer;;
05.07.2025;Malanga;Computer;240099;Thomas;;
04.07.2025;Faghir;Thomas;210000;Computer;;
04.07.2025;Hložek;Computer;5555555;Nico;;
04.07.2025;Muslija;Computer;660000;Christoph;;
04.07.2025;Treu;Computer;2788000;Thomas;;
03.07.2025;Bruun Larsen;Thomas;959500;Computer;;
03.07.2025;Krattenmacher;Computer;1126000;Thomas;;
03.07.2025;Oliveira;Thomas;189000;Computer;;
03.07.2025;Cozza;Computer;176000;Christian;174002.0;Thomas
02.07.2025;Faghir;Computer;191002;Thomas;190240.0;Alfons
01.07.2025;Elmas;Computer;746020;Alfons;;
01.07.2025;Sahiti;Computer;770000;Andreas;;
01.07.2025;Petersson;Thomas;166400;Computer;;
30.06.2025;Akpoguma;Computer;1900000;Alfons;;
30.06.2025;Oliveira;Computer;180000;Thomas;;
30.06.2025;Ilić;Computer;4950900;Christoph;;
29.06.2025;B. Dárdai;Christoph;1203600;Computer;;
29.06.2025;Nsoki;Dominik;430500;Computer;;
29.06.2025;Paredes;Christoph;950000;Computer;;
29.06.2025;Nacho Ferri;Computer;170009;Thomas;;
29.06.2025;Palacios;Computer;5717000;Thomas;;
29.06.2025;Petersson;Computer;160000;Thomas;;
29.06.2025;Chaves;Christoph;1570000;Computer;;
28.06.2025;Niehues;Computer;182060;Alfons;181009.0;Thomas
28.06.2025;Kömür;Computer;2350050;Christian;2272000.0;Thomas
28.06.2025;Busch;Christoph;730000;Computer;;
28.06.2025;Urbig;Computer;923400;Thomas;922000.0;Alfons
27.06.2025;Dietz;Thomas;189000;Computer;;
27.06.2025;Meffert;Computer;1750000;Alfons;;
27.06.2025;Torunarigha;Computer;3390000;Andreas;;
27.06.2025;Tauer;Computer;190080;Alfons;190000.0;Thomas
26.06.2025;Wätjen;Thomas;239200;Computer;;
26.06.2025;Černý;Christoph;845500;Computer;;
26.06.2025;Rosenfelder;Alfons;2434100;Computer;;
26.06.2025;Moukoko;Andreas;1290000;Computer;;
26.06.2025;Busch;Computer;740000;Christoph;724980.0;Alfons
26.06.2025;Mittelstädt;Thomas;8872500;Computer;;
25.06.2025;Glatzel;Computer;4811000;Thomas;;
25.06.2025;B. Dárdai;Computer;1290000;Christoph;;
25.06.2025;Henrichs;Christoph;3151800;Computer;;
25.06.2025;Agu;Computer;3121000;Thomas;;
24.06.2025;Telle;Thomas;187200;Computer;;
24.06.2025;L. Philipp;Computer;262000;Pascal;;
24.06.2025;Laimer;Computer;3681515;Pascal;3672500.0;Nico
23.06.2025;Agyekum;Computer;320000;Christian;;
23.06.2025;P. Pfeiffer;Computer;420000;Christian;;
23.06.2025;Bebou;Computer;2415040;Alfons;;
23.06.2025;Neuhaus;Thomas;3087000;Computer;;
23.06.2025;Olise;Computer;19200600;Nico;;
22.06.2025;Can;Computer;4232323;Pascal;3555100.0;Nico
22.06.2025;Theate;Computer;6632900;Christoph;5775555.0;Nico
22.06.2025;Höler;Computer;3455500;Nico;;
22.06.2025;Moukoko;Computer;1500000;Andreas;;
22.06.2025;Weißhaupt;Computer;2198950;Dominik;2123001.0;Nico
21.06.2025;Kücüksahin;Dominik;176400;Computer;;
21.06.2025;Breithaupt;Dominik;210000;Computer;;
21.06.2025;Vermeeren;Christoph;1816500;Computer;;
21.06.2025;Götze;Christoph;3896400;Computer;;
20.06.2025;Reis;Christian;2163000;Computer;;
20.06.2025;Höfler;Computer;465000;Dominik;;
20.06.2025;Kauã Santos;Computer;950030;Dominik;;
20.06.2025;Upamecano;Computer;7581680;Christoph;5800000.0;Alfons
20.06.2025;Paredes;Computer;1240000;Christoph;;
20.06.2025;Schimmer;Computer;245000;Dominik;222040.0;Alfons
20.06.2025;Kücüksahin;Computer;160020;Dominik;;
20.06.2025;Petersson;Thomas;168000;Computer;;
19.06.2025;Maier;Alfons;850500;Computer;;
19.06.2025;Moerstedt;Computer;1200008;Dominik;;
19.06.2025;Breithaupt;Computer;190001;Dominik;;
18.06.2025;Ouédraogo;Computer;2207700;Christoph;2143700.0;Dominik
18.06.2025;Tschernuth;Christoph;161600;Computer;;
18.06.2025;Ceesay;Computer;290009;Dominik;;
18.06.2025;Černý;Computer;1200015;Christoph;;
18.06.2025;Stöger;Computer;5750000;Andreas;5715000.0;Alfons
18.06.2025;Kim;Pascal;4809000;Computer;;
18.06.2025;Mets;Computer;745000;Dominik;650000.0;Andreas
17.06.2025;Ritzka;Computer;630008;Dominik;;
17.06.2025;Telle;Computer;160044;Thomas;160005.0;Christoph
17.06.2025;Petersson;Computer;160033;Thomas;160005.0;Christoph
17.06.2025;Kim;Computer;5523535;Pascal;;
17.06.2025;Ilaix Moriba;Andreas;295800;Computer;;
17.06.2025;Tschernuth;Computer;160005;Christoph;;
