SPIELER;VEREIN;POSITION;MARKTWERT;GESAMTPUNKTE;PUNKTE PRO SPIEL;PREIS-LEISTUNG;HISTORISCHE PUNKTEAUSBEUTE;Positionsgruppe
Atubolu;Torhüter;Sport-Club Freiburg;2.880.000;106;4.1;Gut;Gering bis mittel;Torhüter
Backhaus;Torhüter;SV Werder Bremen;580.000;0;0.0;Schlecht;Gering bis mittel;Torhüter
Batz;Torhüter;1. FSV Mainz 05;160.000;0;4.0;Gut;Gering bis mittel;Torhüter
Baumann;Torhüter;TSG Hoffenheim;2.220.000;94;3.4;Durchschnittlich;Über dem Mittel;Torhüter
Blaswich;Torhüter;RB Leipzig;220.000;0;2.7;Gut;Gering bis mittel;Torhüter
Bredlow;Torhüter;VfB Stuttgart;160.000;0;6.3;Gut;Gering bis mittel;Torhüter
D. Klein;Torhüter;FC Augsburg;160.000;0;0.0;Schlecht;Gering bis mittel;Torhüter
Dahmen;Torhüter;FC Augsburg;2.300.000;72;3.8;Gut;Gering bis mittel;Torhüter
Drljača;Torhüter;VfB Stuttgart;160.000;0;0.0;Schlecht;Gering bis mittel;Torhüter
F. Müller;Torhüter;Sport-Club Freiburg;200.000;4;0.4;Schlecht;Gering bis mittel;Torhüter
Feller;Torhüter;1.FC Heidenheim;220.000;4;2.0;Gut;Gering bis mittel;Torhüter
Grabara;Torhüter;VfL Wolfsburg;2.360.000;93;3.2;Durchschnittlich;Gering bis mittel;Torhüter
Grahl;Torhüter;Eintracht Frankfurt;160.000;0;4.0;Gut;Gering bis mittel;Torhüter
Gulácsi;Torhüter;RB Leipzig;1.970.000;127;4.2;Gut;Gering bis mittel;Torhüter
Hradecky;Torhüter;Bayer 04 Leverkusen;910.000;82;2.8;Gut;Deutlich über dem Mittel;Torhüter
Huth;Torhüter;Sport-Club Freiburg;160.000;0;-0.2;Schlecht;Gering bis mittel;Torhüter
K. Müller;Torhüter;1.FC Heidenheim;1.320.000;82;2.5;Durchschnittlich;Gering bis mittel;Torhüter
Kauã Santos;Torhüter;Eintracht Frankfurt;720.000;36;4.0;Gut;Gering bis mittel;Torhüter
Kobel;Torhüter;Borussia Dortmund;2.640.000;81;2.5;Schlecht;Deutlich über dem Mittel;Torhüter
Kovář;Torhüter;Bayer 04 Leverkusen;180.000;13;2.6;Gut;Gering bis mittel;Torhüter
L. Grill;Torhüter;1.FC Union Berlin;160.000;0;1.0;Durchschnittlich;Gering bis mittel;Torhüter
L. Philipp;Torhüter;TSG Hoffenheim;220.000;7;1.2;Durchschnittlich;Gering bis mittel;Torhüter
Lomb;Torhüter;Bayer 04 Leverkusen;160.000;0;-1.0;Schlecht;Gering bis mittel;Torhüter
Meyer;Torhüter;Borussia Dortmund;210.000;8;4.0;Gut;Gering bis mittel;Torhüter
Neuer;Torhüter;FC Bayern München;2.000.000;70;3.2;Durchschnittlich;Deutlich über dem Mittel;Torhüter
