SPIELER;POSITION;TEAM;PUNKTE;MARKTWERT;ZIELWERT;PUNKTE / SPIEL;KAUFEMPFEHLUNG;PREIS-LEISSTUNG;GEBOTSVORHERSAGE;BESITZER;Datum;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;
Akpoguma;Abwehr;TSG Hoffenheim;91;1.830.000;1.830.000;3,0;Halten;Gut;0;Computer;;;;;;;
Hradecky;Torhüter;Bayer 04 Leverkusen;82;910.000;920.000;2,8;Halten;Gut;1;Computer;;;;;;;
Kobel;Torhüter;Borussia Dortmund;81;2.640.000;2.660.000;2,5;Halten;Schlecht;2;Computer;;;;;;;
Kownacki;Stürmer;SV Werder Bremen;0;670.000;670.000;1,5;Halten;Durchschnittlich;0;Computer;;;;;;;
Palacios;Mittelfeld;Bayer 04 Leverkusen;95;5.720.000;5.690.000;4,5;Halten;Gut;0;Computer;;;;;;;
Widmer;Abwehr;1. FSV Mainz 05;37;490.000;490.000;1,9;Halten;Gut;0;Computer;;;;;;;
Nacho Ferri;Stürmer;Eintracht Frankfurt;0;170.000;170.000;2,0;Halten;Gut;0;Computer;;;;;;;
Diogo Leite;Abwehr;1.FC Union Berlin;148;3.770.000;3.680.000;4,9;Halten;Gut;0;Computer;;;;;;;
Paçarada;Abwehr;1. FC Köln;0;1.400.000;1.410.000;1,6;Halten;Schlecht;0;Computer;;;;;;;
Breunig;Stürmer;1.FC Heidenheim;32;390.000;390.000;2,7;Halten;Gut;0;Computer;;;;;;;
Petersson;Torhüter;TSG Hoffenheim;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;;;;;;;
Campbell;Stürmer;Borussia Dortmund;3;200.000;200.000;1,5;Halten;Durchschnittlich;0;Computer;;;;;;;
Ilić;Stürmer;1.FC Union Berlin;79;4.710.000;4.810.000;4,3;Halten;Gut;0;Computer;;;;;;;
Oliveira;Abwehr;Hamburger SV;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;;;;;;;
Irié;Stürmer;Sport-Club Freiburg;0;2.820.000;2.820.000;0,0;Halten;Schlecht;0;Computer;;;;;;;
Akpoguma;Abwehr;TSG Hoffenheim;91;1.830.000;1.840.000;3,0;Halten;Gut;0;Computer;29.06.2025;;;;;;
Henrichs;Abwehr;RB Leipzig;49;2.320.000;2.230.000;3,3;Halten;Gut;0;Computer;29.06.2025;;;;;;
Hradecky;Torhüter;Bayer 04 Leverkusen;82;940.000;950.000;2,8;Halten;Gut;1;Computer;29.06.2025;;;;;;
Kownacki;Stürmer;SV Werder Bremen;0;650.000;640.000;1,5;Halten;Durchschnittlich;0;Computer;29.06.2025;;;;;;
Stanišić;Abwehr;FC Bayern München;54;4.140.000;4.130.000;3,9;Halten;Durchschnittlich;0;Computer;29.06.2025;;;;;;
Widmer;Abwehr;1. FSV Mainz 05;37;490.000;500.000;1,9;Halten;Gut;0;Computer;29.06.2025;;;;;;
Diogo Leite;Abwehr;1.FC Union Berlin;148;3.770.000;3.700.000;4,9;Halten;Gut;0;Computer;29.06.2025;;;;;;
Paçarada;Abwehr;1. FC Köln;0;1.400.000;1.390.000;1,6;Halten;Schlecht;0;Computer;29.06.2025;;;;;;
Majer;Mittelfeld;VfL Wolfsburg;42;4.360.000;4.430.000;4,7;Halten;Gut;0;Computer;29.06.2025;;;;;;
Breunig;Stürmer;1.FC Heidenheim;32;370.000;370.000;2,7;Halten;Gut;0;Computer;29.06.2025;;;;;;
Elmas;Mittelfeld;RB Leipzig;4;710.000;730.000;2,0;Halten;Durchschnittlich;0;Computer;29.06.2025;;;;;;
Ilić;Stürmer;1.FC Union Berlin;79;4.500.000;4.560.000;4,3;Halten;Gut;0;Computer;29.06.2025;;;;;;
Oliveira;Abwehr;Hamburger SV;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;29.06.2025;;;;;;
Sahiti;Stürmer;Hamburger SV;0;770.000;760.000;0,0;Halten;Schlecht;0;Computer;29.06.2025;;;;;;
Irié;Stürmer;Sport-Club Freiburg;0;2.850.000;2.780.000;0,0;Halten;Schlecht;0;Computer;29.06.2025;;;;;;
