Spieler;Angebot (€);Datum;Status
Chabot;4112800;15.09.2025;aktiv
Højlund;1268800;15.09.2025;aktiv
Jakić;5785500;15.09.2025;aktiv
Pieringer;2737100;15.09.2025;aktiv
Sano;4763400;15.09.2025;aktiv
Skov Olsen;6289500;15.09.2025;aktiv
Chabot;4112800;2025-09-16;aktiv
Jakić;5740800;2025-09-16;aktiv
Jóhannesson;3862500;2025-09-16;aktiv
Kobel;3171000;2025-09-16;aktiv
N. Schlotterbeck;6565000;2025-09-16;aktiv
Pieringer;2737100;2025-09-16;aktiv
Sano;4898400;2025-09-16;aktiv
Schimmer;353500;2025-09-16;aktiv
Skov Olsen;6289500;2025-09-16;aktiv
Zagadou;1621800;2025-09-16;aktiv
;;;
