Comunio_Name;LI_Name;LI_Link;LastName;Ambiguous
A. Jung;;;jung;0
A. Németh;;;nemeth;0
Ache;Ragnar Ache;https://www.ligainsider.de/ragnar-ache_23720/;ache;0
Adamu;;;adamu;0
Adamyan;;;adamyan;0
Adeh;;;adeh;0
Adeyemi;Karim Adeyemi;https://www.ligainsider.de/karim-adeyemi_23718/;adeyemi;0
Adli;;;adli;0
Afolayan;;;afolayan;0
Afri Akumu;;;akumu;0
Agu;Felix Agu;https://www.ligainsider.de/felix-agu_21590/;agu;0
Agyekum;;;agyekum;0
Ahlstrand;;;ahlstrand;0
Aigbekaen;;;aigbekaen;0
Akaegbobi;;;akaegbobi;0
Akpoguma;;;akpoguma;0
Al-Dakhil;;;dakhil;0
Alajbegović;;;alajbegovic;0
Alfa-Ruprecht;;;ruprecht;0
Alvero;;;alvero;0
Amenda;;;amenda;0
Amiri;Nadiem Amiri;https://www.ligainsider.de/nadiem-amiri_5815/;amiri;0
Amoako;;;amoako;0
Amoura;Mohammed Amoura;https://www.ligainsider.de/mohammed-amoura_36478/;amoura;0
Andrich;Robert Andrich;https://www.ligainsider.de/robert-andrich_2590/;andrich;0
André Silva;;;silva;0
Angély;;;angely;0
Ansah;Ilyas Ansah;https://www.ligainsider.de/ilyas-ansah_36892/;ansah;0
Anselmino;;;anselmino;0
Anton;Waldemar Anton;https://www.ligainsider.de/waldemar-anton_5837/;anton;0
Arnold;Maximilian Arnold;https://www.ligainsider.de/maximilian-arnold_1673/;arnold;0
Arthur;;;arthur;0
Asllani;Fisnik Asllani;https://www.ligainsider.de/fisnik-asllani_21986/;asllani;0
Assignon;Lorenz Assignon;https://www.ligainsider.de/lorenz-assignon_25114/;assignon;0
At. Szalai;;;szalai;0
Atubolu;Noah Atubolu;https://www.ligainsider.de/noah-atubolu_22000/;atubolu;0
Avdullahu;Leon Avdullahu;https://www.ligainsider.de/leon-avdullahu_38223/;avdullahu;0
Awusi;;;awusi;0
Azhil;;;azhil;0
Aznou;;;aznou;0
B. Dárdai;;;dardai;0
B. Touré;Bazoumana Touré;https://www.ligainsider.de/bazoumana-toure_37262/;toure;0
Backhaus;Mio Backhaus;https://www.ligainsider.de/mio-backhaus_27467/;backhaus;0
Badé;Loïc Badé;https://www.ligainsider.de/loic-bade_35823/;bade;0
Bahoya;Jean-Mattéo Bahoya;https://www.ligainsider.de/jean-matteo-bahoya_36932/;bahoya;0
Bakatukanda;;;bakatukanda;0
Bakayoko;Johan Bakayoko;https://www.ligainsider.de/johan-bakayoko_35421/;bakayoko;0
Baku;Ridle Baku;https://www.ligainsider.de/ridle-baku_15835/;baku;0
Baldé;;;balde;0
Banzuzi;Ezechiel Banzuzi;https://www.ligainsider.de/ezechiel-banzuzi_38383/;banzuzi;0
Batshuayi;;;batshuayi;0
Batz;;;batz;0
Bauer;;;bauer;0
Baum;;;baum;0
Baumann;Oliver Baumann;https://www.ligainsider.de/oliver-baumann_567/;baumann;0
Baumgartner;Christoph Baumgartner;https://www.ligainsider.de/christoph-baumgartner_18640/;baumgartner;0
Bebou;;;bebou;0
Beck;Adrian Beck;https://www.ligainsider.de/adrian-beck_12636/;beck;0
Beier;Maximilian Beier;https://www.ligainsider.de/maximilian-beier_20804/;beier;0
Beljo;;;beljo;0
Bell;Stefan Bell;https://www.ligainsider.de/stefan-bell_521/;bell;0
Bellingham;Jobe Bellingham;https://www.ligainsider.de/jobe-bellingham_38153/;bellingham;0
Belocian;;;belocian;0
Ben Seghir;;;seghir;0
Benjamin;;;benjamin;0
Bensebaini;Ramy Bensebaini;https://www.ligainsider.de/ramy-bensebaini_7791/;bensebaini;0
Berisha;;;berisha;0
Bernardo;Bernardo;https://www.ligainsider.de/bernardo_11324/;bernardo;0
Beste;Niklas Beste;https://www.ligainsider.de/niklas-beste_14520/;beste;0
Bischof;;;bischof;0
Bitshiabu;;;bitshiabu;0
Bittencourt;Leonardo Bittencourt;https://www.ligainsider.de/leonardo-bittencourt_1635/;bittencourt;0
Blaswich;;;blaswich;0
Boakye Osei;;;osei;0
Bobzien;;;bobzien;0
Boey;Sacha Boey;https://www.ligainsider.de/sacha-boey_23034/;boey;0
Bogdanov;;;bogdanov;0
Boniface;;;boniface;0
Borges Sanches;;;sanches;0
Bornauw;;;bornauw;0
Bos;;;bos;0
Bouanani;;;bouanani;0
Brandt;Julian Brandt;https://www.ligainsider.de/julian-brandt_2467/;brandt;0
Braun;;;braun;0
Bredlow;;;bredlow;0
Breithaupt;;;breithaupt;0
Breunig;;;breunig;0
Brown;Nathaniel Brown;https://www.ligainsider.de/nathaniel-brown_35857/;brown;0
Bruun Larsen;;;larsen;0
Buchmann;;;buchmann;0
Burcu;;;burcu;0
Burger;Wouter Burger;https://www.ligainsider.de/wouter-burger_22632/;burger;0
Burkardt;Jonathan Burkardt;https://www.ligainsider.de/jonathan-burkardt_19272/;burkardt;0
Burke;Oliver Burke;https://www.ligainsider.de/oliver-burke_11325/;burke;0
Busch;Marnon Busch;https://www.ligainsider.de/marnon-busch_3599/;busch;0
Buta;;;buta;0
Bärtl;;;bartl;0
Bénes;;;benes;0
Bøving;;;boving;0
Bülter;Marius Bülter;https://www.ligainsider.de/marius-buelter_19202/;bulter;0
Caci;Anthony Caci;https://www.ligainsider.de/anthony-caci_26102/;caci;0
Campbell;;;campbell;0
Can;;;can;0
Capaldo;Nicolás Capaldo;https://www.ligainsider.de/nicolas-capaldo_26628/;capaldo;0
Carstensen;;;carstensen;0
Castro-Montes;;;montes;0
Castrop;;;castrop;0
Ceesay;;;ceesay;0
Chabot;Julian Chabot;https://www.ligainsider.de/julian-chabot_12583/;chabot;0
Chandler;;;chandler;0
Chase;;;chase;0
Chaves;Arthur Chaves;https://www.ligainsider.de/arthur-chaves_37533/;chaves;0
Chaïbi;Farès Chaïbi;https://www.ligainsider.de/fares-chaibi_35910/;chaibi;0
Chema Andrés;Chema Andrés;https://www.ligainsider.de/chema-andres_38650/;andres;0
Chiarodia;Fabio Chiarodia;https://www.ligainsider.de/fabio-chiarodia_26588/;chiarodia;0
Christensen;;;christensen;0
Chukwuemeka;;;chukwuemeka;0
Claude-Maurice;Alexis Claude-Maurice;https://www.ligainsider.de/alexis-claude-maurice_20630/;maurice;0
Coman;;;coman;0
Conteh;Sirlord Conteh;https://www.ligainsider.de/sirlord-conteh_20864/;conteh;0
Conté;;;conte;0
Coufal;Vladimír Coufal;https://www.ligainsider.de/vladimir-coufal_11929/;coufal;0
Coulibaly;Karim Coulibaly;https://www.ligainsider.de/karim-coulibaly_38228/;coulibaly;0
Couto;Yan Couto;https://www.ligainsider.de/yan-couto_23748/;couto;0
Cozza;;;cozza;0
D. Klein;;;klein;0
D. Nemeth;;;nemeth;0
Daghim;;;daghim;0
Dahaba;;;dahaba;0
Dahmen;Finn Dahmen;https://www.ligainsider.de/finn-dahmen_18728/;dahmen;0
Dahoud;;;dahoud;0
Dal;;;dal;0
Damar;;;damar;0
Dardari;;;dardari;0
Darvich;;;darvich;0
Davies;;;davies;0
Deman;;;deman;0
Demirović;Ermedin Demirović;https://www.ligainsider.de/ermedin-demirovic_24166/;demirovic;0
Dickes;;;dickes;0
Diehl;;;diehl;0
Dietz;;;dietz;0
Diks;Kevin Diks;https://www.ligainsider.de/kevin-diks_11591/;diks;0
Dills;;;dills;0
Dina Ebimbe;;;ebimbe;0
Dinkçi;Eren Dinkçi;https://www.ligainsider.de/eren-dinkci_22008/;dinkci;0
Diogo Leite;;;leite;0
Diomande;Yan Diomande;https://www.ligainsider.de/yan-diomande_38631/;diomande;0
Doan;Ritsu Doan;https://www.ligainsider.de/ritsu-doan_22974/;doan;0
Doekhi;Danilho Doekhi;https://www.ligainsider.de/danilho-doekhi_27485/;doekhi;0
Dompé;Jean-Luc Dompé;https://www.ligainsider.de/jean-luc-dompe_12020/;dompe;0
Dong;;;dong;0
Dorsch;Niklas Dorsch;https://www.ligainsider.de/niklas-dorsch_6811/;dorsch;0
Doumbia;;;doumbia;0
Downs;;;downs;0
Drewes;;;drewes;0
Drljača;;;drljaca;0
Ducksch;;;ducksch;0
Duranville;;;duranville;0
Dźwigała;Adam Dźwigała;https://www.ligainsider.de/adam-dzwigala_25807/;dzwigala;0
