Comunio_Name;LI_Name;LI_Link;LastName;Ambiguous
Adjetey;Jonas Adjetey;https://www.ligainsider.de/jonas-adjetey_38814/;adjetey;0
Agu;Felix Agu;https://www.ligainsider.de/felix-agu_21590/;agu;0
Akpoguma;Kevin Akpoguma;https://www.ligainsider.de/kevin-akpoguma_2477/;akpoguma;0
Amenda;Aurèle Amenda;https://www.ligainsider.de/aurele-amenda_36336/;amenda;0
Andō;Tomoya Andō;https://www.ligainsider.de/tomoya-ando_38761/;ando;0
Andrich;Robert Andrich;https://www.ligainsider.de/robert-andrich_2590/;andrich;0
Anton;Waldemar Anton;https://www.ligainsider.de/waldemar-anton_5837/;anton;0
Arthur;Arthur;https://www.ligainsider.de/arthur_35904/;arthur;0
Assignon;Lorenz Assignon;https://www.ligainsider.de/lorenz-assignon_25114/;assignon;0
Atubolu;Noah Atubolu;https://www.ligainsider.de/noah-atubolu_22000/;atubolu;0
Avdullahu;Leon Avdullahu;https://www.ligainsider.de/leon-avdullahu_38223/;avdullahu;0
Backhaus;Mio Backhaus;https://www.ligainsider.de/mio-backhaus_27467/;backhaus;0
Badé;Loïc Badé;https://www.ligainsider.de/loic-bade_35823/;bade;0
Baku;Ridle Baku;https://www.ligainsider.de/ridle-baku_15835/;baku;0
N. Banks;Noahkai Banks;https://www.ligainsider.de/noahkai-banks_37195/;banks;0
Bärtl;Jannis Bärtl;https://www.ligainsider.de/jannis-baertl_38687/;bartl;0
Batz;Daniel Batz;https://www.ligainsider.de/daniel-batz_499/;batz;0
Baum;Elias Baum;https://www.ligainsider.de/elias-baum_35727/;baum;0
Baumann;Oliver Baumann;https://www.ligainsider.de/oliver-baumann_567/;baumann;0
H. Behrens;Hennes Behrens;https://www.ligainsider.de/hennes-behrens_37221/;behrens;0
Bell;Stefan Bell;https://www.ligainsider.de/stefan-bell_521/;bell;0
Belocian;Jeanuël Belocian;https://www.ligainsider.de/jeanuel-belocian_35601/;belocian;0
Bensebaini;Ramy Bensebaini;https://www.ligainsider.de/ramy-bensebaini_7791/;bensebaini;0
van den Berg;Rav van den Berg;https://www.ligainsider.de/rav-van-den-berg_38630/;berg;0
Bernardo;Bernardo;https://www.ligainsider.de/bernardo_11324/;bernardo;0
Bitshiabu;El Chadaille Bitshiabu;https://www.ligainsider.de/el-chadaille-bitshiabu_24578/;bitshiabu;0
Blaswich;Janis Blaswich;https://www.ligainsider.de/janis-blaswich_1685/;blaswich;0
Bos;Kasey Bos;https://www.ligainsider.de/kasey-bos_38567/;bos;0
Bredlow;Fabian Bredlow;https://www.ligainsider.de/fabian-bredlow_6395/;bredlow;0
Brown;Nathaniel Brown;https://www.ligainsider.de/nathaniel-brown_35857/;brown;0
Busch;Marnon Busch;https://www.ligainsider.de/marnon-busch_3599/;busch;0
Caci;Anthony Caci;https://www.ligainsider.de/anthony-caci_26102/;caci;0
Can;Emre Can;https://www.ligainsider.de/emre-can_1812/;can;0
Capaldo;Nicolás Capaldo;https://www.ligainsider.de/nicolas-capaldo_26628/;capaldo;0
Pereira Cardoso;Tiago Pereira Cardoso;https://www.ligainsider.de/tiago-pereira-cardoso_37860/;cardoso;0
Chabot;Julian Chabot;https://www.ligainsider.de/julian-chabot_12583/;chabot;0
Chandler;Timothy Chandler;https://www.ligainsider.de/timothy-chandler_643/;chandler;0
Chaves;Arthur Chaves;https://www.ligainsider.de/arthur-chaves_37533/;chaves;0
Chiarodia;Fabio Chiarodia;https://www.ligainsider.de/fabio-chiarodia_26588/;chiarodia;0
Cleiton;Cleiton;https://www.ligainsider.de/cleiton_38740/;cleiton;0
N. Collins;Nnamdi Collins;https://www.ligainsider.de/nnamdi-collins_24116/;collins;0
da Costa;Danny da Costa;https://www.ligainsider.de/danny-da-costa_650/;costa;0
Coufal;Vladimír Coufal;https://www.ligainsider.de/vladimir-coufal_11929/;coufal;0
Coulibaly;Karim Coulibaly;https://www.ligainsider.de/karim-coulibaly_38228/;coulibaly;0
Dahmen;Finn Dahmen;https://www.ligainsider.de/finn-dahmen_18728/;dahmen;0
Al-Dakhil;Ameen Al-Dakhil;https://www.ligainsider.de/ameen-al-dakhil_37516/;dakhil;0
Dal;Maxim Dal;https://www.ligainsider.de/maxim-dal_35943/;dal;0
Davies;Alphonso Davies;https://www.ligainsider.de/alphonso-davies_20098/;davies;0
Dickes;Fernando Dickes;https://www.ligainsider.de/fernando-dickes_37244/;dickes;0
Diks;Kevin Diks;https://www.ligainsider.de/kevin-diks_11591/;diks;0
Doekhi;Danilho Doekhi;https://www.ligainsider.de/danilho-doekhi_27485/;doekhi;0
Dorsch;Niklas Dorsch;https://www.ligainsider.de/niklas-dorsch_6811/;dorsch;0
Doumbia;Fousseny Doumbia;https://www.ligainsider.de/fousseny-doumbia_38528/;doumbia;0
