Comunio_Name;LI_Name;Fitness
Baku;Ridle Baku;Fit
Banzuzi;Ezechiel Banzuzi;Fit
Bellingham;Jobe Bellingham;Fit
Chabot;Julian Chabot;Fit
Jakić;Kristijan Jakić;Fit
Jóhannesson;Ísak Jóhannesson;Fit
Kobel;Gregor Kobel;Fit
Lee;Jaesung Lee;Schwerer angeschlagen
Lynen;Senne Lynen;Fit
Rothe;Tom Rothe;Rote Karte
Sano;Kaishu Sano;Fit
Skov Olsen;Andreas Skov Olsen;Fit
Tillman;Malik Tillman;Fit
Ullrich;Lukas Ullrich;Fit
Weiper;Nelson Weiper;Fit
Arthur;;Bisher kein Einsatz
Bischof;;Bisher kein Einsatz
Hellstern;;Bisher kein Einsatz
Højlund;;Bisher kein Einsatz
Irié;;Bisher kein Einsatz
L. Vušković;;Bisher kein Einsatz
Lucas Vázquez;;Bisher kein Einsatz
N. Schlotterbeck;;Bisher kein Einsatz
Pieringer;;Bisher kein Einsatz
Prömel;;Bisher kein Einsatz
Ritzka;;Bisher kein Einsatz
Schimmer;;Bisher kein Einsatz
Siljević;;Bisher kein Einsatz
Süle;;Bisher kein Einsatz
Terrier;;Bisher kein Einsatz
Wind;;Bisher kein Einsatz
Zagadou;;Bisher kein Einsatz
Đurić;;Bisher kein Einsatz
