x, y
2024-4-16 1:37:23, 1370465474.87115
2024-4-16 22:43:28, 1380337078.6516852
2024-4-18 1:51:18, 1367576229.2852755
2024-4-19 1:58:15, 1378651678.045527
2024-4-20 5:6:5, 1366853917.8888066
2024-4-21 5:13:2, 1374077031.8534937
2024-4-22 2:19:8, 1365168539.3258426
2024-4-23 3:56:31, 1378892455.858748
2024-4-24 1:2:36, 1372391653.2905297
2024-4-25 5:40:52, 1375521654.646431
2024-4-25 19:14:47, 1369261629.8914337
2024-4-25 23:46:5, 1365650072.9090903
2024-4-27 4:24:21, 1367335473.5152488
2024-4-28 0:0:0, 1361075426.717057
2024-4-28 21:6:5, 1373113964.6869984
2024-4-30 3:14:47, 1373595498.270246
2024-5-1 1:51:18, 1362520049.5099945
2024-5-2 1:58:15, 1370706252.6843712
2024-5-3 8:6:57, 1359390048.154093
2024-5-4 3:42:36, 1371910097.6640875
2024-5-5 0:48:41, 1369261629.8914337
2024-5-6 3:56:31, 1391412505.3687425
2024-5-7 2:33:2, 1395264840.164307
2024-5-8 4:10:26, 1390930971.7854948
2024-5-8 22:15:39, 1409470290.28046
2024-5-9 19:21:44, 1414526481.0773382
2024-5-10 11:56:31, 1403691799.1087103
2024-5-11 6:1:44, 1398394863.563403
2024-5-12 18:12:10, 1425842696.6292133
2024-5-13 21:20:0, 1429454253.611557
2024-5-15 4:59:7, 1423434984.6265864
2024-5-16 21:40:52, 1470385225.3970518
2024-5-18 0:48:41, 1523113957.3392668
2024-5-18 17:23:28, 1232985553.7720706
2024-5-20 2:33:2, 1100561790.4050775
2024-5-22 2:46:57, 1016773646.3715138
2024-5-22 23:53:2, 995826615.8739215
2024-5-24 22:36:31, 976083452.39924
2024-5-26 1:44:20, 977046519.5657353
2024-5-27 7:53:2, 987881190.5127659
2024-5-28 8:0:0, 1070947001.1066663
2024-5-29 15:39:7, 1178812199.0369182
2024-5-31 2:19:8, 1277046548.9566612
2024-6-2 4:3:29, 1380096300.8384643
2024-6-3 7:11:18, 1381300145.8181806
2024-6-3 19:14:47, 1423194206.8133652
2024-6-4 7:18:15, 1440288924.5585876
2024-6-6 7:32:10, 1476645261.1736462
2024-6-7 3:7:49, 1477367572.570115
2024-6-8 3:14:47, 1513723909.1851737
2024-6-9 0:20:52, 1493980734.6888952
2024-6-10 4:59:8, 1515890843.37458
2024-6-11 3:35:39, 1508186195.8266454
2024-6-12 0:41:44, 1521187800.9630818
2024-6-13 5:20:0, 1508426962.618269
2024-6-13 21:54:46, 1547913322.6324239
2024-6-14 22:1:45, 1522873190.5476432
2024-6-16 7:11:18, 1540208664.062892
2024-6-17 5:47:49, 1524077046.5489566
2024-6-17 19:21:44, 1532263238.701736
2024-6-18 20:59:8, 1514205453.7900186
2024-6-20 3:7:49, 1526003202.9251418
2024-6-20 22:43:29, 1487961476.7255216
2024-6-21 22:50:26, 1502166926.8416746
2024-6-22 21:26:57, 1468940602.6041145
2024-6-26 2:19:8, 1463162111.432365
2024-6-26 18:53:55, 1450401284.1091492
2024-6-28 1:2:36, 1455938997.4676778
2024-6-28 20:38:16, 1431380409.987742
2024-6-29 22:15:39, 1424879607.4195237
2024-6-30 20:52:10, 1423434984.6265864
2024-7-1 17:58:15, 1427768853.0053985
2024-7-2 22:36:31, 1389727126.8057785
2024-7-3 22:43:29, 1408266445.3007436
2024-7-4 21:20:0, 1394060995.1845906
2024-7-6 4:59:8, 1403210265.5254626
2024-7-7 0:34:47, 1379614767.2552166
2024-7-8 5:13:2, 1402247176.315773
2024-7-9 2:19:8, 1381540923.6314018
2024-7-10 5:26:57, 1388282504.012841
2024-7-11 2:33:3, 1371669341.894061
2024-7-11 22:8:42, 1380577834.421712
2024-7-12 23:46:5, 1369261629.8914337
2024-7-14 2:53:55, 1386597103.4066825
2024-7-15 1:30:26, 1359630803.9241197
2024-7-16 4:38:16, 1381540923.6314018
2024-7-17 7:46:5, 1382263235.0278704
2024-7-18 3:21:44, 1379373989.4419956
2024-7-19 1:58:15, 1403451043.3386838
2024-7-19 17:2:36, 1412359535.8663347
2024-7-21 6:43:29, 1398394863.563403
2024-7-21 17:16:31, 1420786516.8539326
2024-7-23 0:55:39, 1416452648.4751203
2024-7-23 23:32:10, 1437399678.9727125
2024-7-24 22:8:42, 1446067415.7303371
2024-7-25 23:46:5, 1447271260.7100534
2024-7-26 20:52:10, 1438603523.9524288
2024-7-28 0:0:0, 1460272865.84649
2024-7-29 10:40:0, 1463162111.432365
2024-7-29 18:12:11, 1468699824.7908933
2024-7-31 9:23:28, 1455457463.8844302
2024-8-1 0:27:50, 1480016051.364366
2024-8-3 2:12:11, 1505778483.824018
