Spieler;Link;Datum;Spielerpool
Adamu;https://www.comunio.de/bundesliga/players/Adamu-33802;02.12.2025;525.0
Afolayan;https://www.comunio.de/bundesliga/players/Afolayan-33958;02.12.2025;525.0
Ahlstrand;https://www.comunio.de/bundesliga/players/Ahlstrand-33952;02.12.2025;525.0
Anselmino;https://www.comunio.de/bundesliga/players/Anselmino-34278;02.12.2025;525.0
Bauer;https://www.comunio.de/bundesliga/players/Bauer-33403;02.12.2025;525.0
Benjamin;https://www.comunio.de/bundesliga/players/Benjamin-34301;02.12.2025;525.0
Berisha;https://www.comunio.de/bundesliga/players/Berisha-33683;02.12.2025;525.0
Bobzien;https://www.comunio.de/bundesliga/players/Bobzien-33538;02.12.2025;525.0
Buta;https://www.comunio.de/bundesliga/players/Buta-33620;02.12.2025;525.0
Conteh;https://www.comunio.de/bundesliga/players/Conteh-33926;02.12.2025;525.0
Dardari;https://www.comunio.de/bundesliga/players/Dardari-34266;02.12.2025;525.0
Duranville;https://www.comunio.de/bundesliga/players/Duranville-33728;02.12.2025;525.0
Echeverri;https://www.comunio.de/bundesliga/players/Echeverri-34273;02.12.2025;525.0
Fell;https://www.comunio.de/bundesliga/players/Fell-34306;02.12.2025;525.0
Fenyő;https://www.comunio.de/bundesliga/players/Feny%C5%91-33985;02.12.2025;525.0
Fraulo;https://www.comunio.de/bundesliga/players/Fraulo-33636;02.12.2025;525.0
Gazibegović;https://www.comunio.de/bundesliga/players/Gazibegovi%C4%87-34137;02.12.2025;525.0
Geiger;https://www.comunio.de/bundesliga/players/Geiger-32680;02.12.2025;525.0
Groß;https://www.comunio.de/bundesliga/players/Gro%C3%9F-31419;02.12.2025;525.0
Gui Ramos;https://www.comunio.de/bundesliga/players/Gui%20Ramos-34160;02.12.2025;525.0
Haidara;https://www.comunio.de/bundesliga/players/Haidara-33023;02.12.2025;525.0
Hansen-Aarøen;https://www.comunio.de/bundesliga/players/Hansen-Aar%C3%B8en-33900;02.12.2025;525.0
Hefti;https://www.comunio.de/bundesliga/players/Hefti-34151;02.12.2025;525.0
Herrmann;https://www.comunio.de/bundesliga/players/Herrmann-33989;02.12.2025;525.0
K. Müller;https://www.comunio.de/bundesliga/players/K.%20M%C3%BCller-32225;02.12.2025;525.0
Kampl;https://www.comunio.de/bundesliga/players/Kampl-31612;02.12.2025;525.0
Keller;https://www.comunio.de/bundesliga/players/Keller-33272;02.12.2025;525.0
Ljubičić;https://www.comunio.de/bundesliga/players/Ljubi%C4%8Di%C4%87-34111;02.12.2025;525.0
Maier;https://www.comunio.de/bundesliga/players/Maier-32738;02.12.2025;525.0
Meffert;https://www.comunio.de/bundesliga/players/Meffert-32183;02.12.2025;525.0
Mokwa;https://www.comunio.de/bundesliga/players/Mokwa-34090;02.12.2025;525.0
Netz;https://www.comunio.de/bundesliga/players/Netz-33319;02.12.2025;525.0
Nordin;https://www.comunio.de/bundesliga/players/Nordin-34098;02.12.2025;525.0
Ogbemudia;https://www.comunio.de/bundesliga/players/Ogbemudia-34038;02.12.2025;525.0
Peretz;https://www.comunio.de/bundesliga/players/Peretz-33852;02.12.2025;525.0
Pherai;https://www.comunio.de/bundesliga/players/Pherai-33254;02.12.2025;525.0
Ranos;https://www.comunio.de/bundesliga/players/Ranos-33777;02.12.2025;525.0
Saad;https://www.comunio.de/bundesliga/players/Saad-33957;02.12.2025;525.0
Sahiti;https://www.comunio.de/bundesliga/players/Sahiti-34157;02.12.2025;525.0
Schopp;https://www.comunio.de/bundesliga/players/Schopp-34195;02.12.2025;525.0
Skov Olsen;https://www.comunio.de/bundesliga/players/Skov%20Olsen-34089;02.12.2025;525.0
Soumahoro;https://www.comunio.de/bundesliga/players/Soumahoro-34147;02.12.2025;525.0
Telle;https://www.comunio.de/bundesliga/players/Telle-34136;02.12.2025;525.0
Tohumcu;https://www.comunio.de/bundesliga/players/Tohumcu-33574;02.12.2025;525.0
Traoré;https://www.comunio.de/bundesliga/players/Traor%C3%A9-33807;02.12.2025;525.0
Wahi;https://www.comunio.de/bundesliga/players/Wahi-34096;02.12.2025;525.0
Werner;https://www.comunio.de/bundesliga/players/Werner-32211;02.12.2025;525.0
Alvero;https://www.comunio.de/bundesliga/players/Alvero-33896;03.02.2026;530.0
Angély;https://www.comunio.de/bundesliga/players/Ang%C3%A9ly-34040;03.02.2026;530.0
Boey;https://www.comunio.de/bundesliga/players/Boey-33894;03.02.2026;530.0
Kujović;https://www.comunio.de/bundesliga/players/Kujovi%C4%87-34225;03.02.2026;530.0
Ngankam;https://www.comunio.de/bundesliga/players/Ngankam-33214;03.02.2026;530.0
Essende;https://www.comunio.de/bundesliga/players/Essende-34005;16.02.2026;529.0
Masanka Bungi;https://www.comunio.de/bundesliga/players/Masanka%20Bungi-34119;16.02.2026;529.0
Norbye;https://www.comunio.de/bundesliga/players/Norbye-33915;16.02.2026;529.0
A. Jung;https://www.comunio.de/bundesliga/players/A.%20Jung-32579;14.04.2026;538.0
Ache;https://www.comunio.de/bundesliga/players/Ache-33263;14.04.2026;538.0
Adeh;https://www.comunio.de/bundesliga/players/Adeh-34086;14.04.2026;538.0
Adeyemi;https://www.comunio.de/bundesliga/players/Adeyemi-33575;14.04.2026;538.0
Adjetey;https://www.comunio.de/bundesliga/players/Adjetey-34343;14.04.2026;538.0
Agu;https://www.comunio.de/bundesliga/players/Agu-33288;14.04.2026;538.0
Akpoguma;https://www.comunio.de/bundesliga/players/Akpoguma-32162;14.04.2026;538.0
Al-Dakhil;https://www.comunio.de/bundesliga/players/Al-Dakhil-34050;14.04.2026;538.0
Amaimouni-Echghouyab;https://www.comunio.de/bundesliga/players/Amaimouni-Echghouyab-34318;14.04.2026;538.0
Amenda;https://www.comunio.de/bundesliga/players/Amenda-33976;14.04.2026;538.0
Amiri;https://www.comunio.de/bundesliga/players/Amiri-32395;14.04.2026;538.0
Amoura;https://www.comunio.de/bundesliga/players/Amoura-34015;14.04.2026;538.0
Andō;https://www.comunio.de/bundesliga/players/And%C5%8D%20-34317;14.04.2026;538.0
Andrich;https://www.comunio.de/bundesliga/players/Andrich-32129;14.04.2026;538.0
Ansah;https://www.comunio.de/bundesliga/players/Ansah-34199;14.04.2026;538.0
Anton;https://www.comunio.de/bundesliga/players/Anton-32452;14.04.2026;538.0
Arévalo;https://www.comunio.de/bundesliga/players/Ar%C3%A9valo%20-34320;14.04.2026;538.0
Arnold;https://www.comunio.de/bundesliga/players/Arnold-31884;14.04.2026;538.0
Arrhov;https://www.comunio.de/bundesliga/players/Arrhov-34314;14.04.2026;538.0
Arthur;https://www.comunio.de/bundesliga/players/Arthur-33772;14.04.2026;538.0
Asllani;https://www.comunio.de/bundesliga/players/Asllani-33536;14.04.2026;538.0
Assignon;https://www.comunio.de/bundesliga/players/Assignon-34197;14.04.2026;538.0
Atubolu;https://www.comunio.de/bundesliga/players/Atubolu-33439;14.04.2026;538.0
