Status;Punkte;Spieler;Note;Spieltag;Datum
nicht eingesetzt;;Afolayan;;10;19.11.2025
nicht eingesetzt;;Afolayan;;6;19.11.2025
nicht eingesetzt;;Afolayan;;2;19.11.2025
nicht eingesetzt;;Anselmino;;8;19.11.2025
nicht eingesetzt;;Anselmino;;7;19.11.2025
war im Aufbautraining;;Anselmino;;6;19.11.2025
war im Aufbautraining;;Anselmino;;5;19.11.2025
war angeschlagen;;Anselmino;;4;19.11.2025
war verletzt;;Anselmino;;3;19.11.2025
nicht eingesetzt;;Anselmino;;1;19.11.2025
wurde nicht berücksichtigt;;Berisha;;10;19.11.2025
wurde nicht berücksichtigt;;Berisha;;7;19.11.2025
wurde nicht berücksichtigt;;Berisha;;6;19.11.2025
nicht eingesetzt;;Buta;;10;19.11.2025
nicht eingesetzt;;Buta;;9;19.11.2025
nicht eingesetzt;;Buta;;8;19.11.2025
nicht eingesetzt;;Buta;;7;19.11.2025
nicht eingesetzt;;Buta;;4;19.11.2025
nicht eingesetzt;;Buta;;3;19.11.2025
wurde nicht berücksichtigt;;Buta;;1;19.11.2025
nicht eingesetzt;;Echeverri;;10;19.11.2025
nicht eingesetzt;;Echeverri;;8;19.11.2025
nicht eingesetzt;;Echeverri;;7;19.11.2025
nicht eingesetzt;;Echeverri;;6;19.11.2025
nicht eingesetzt;;Echeverri;;5;19.11.2025
nicht eingesetzt;;Echeverri;;3;19.11.2025
nicht eingesetzt;;Fraulo;;7;19.11.2025
nicht eingesetzt;;Fraulo;;5;19.11.2025
nicht eingesetzt;;Fraulo;;4;19.11.2025
nicht eingesetzt;;Fraulo;;3;19.11.2025
nicht eingesetzt;;Fraulo;;2;19.11.2025
nicht eingesetzt;;Fraulo;;1;19.11.2025
nicht eingesetzt;;Groß;;4;19.11.2025
nicht eingesetzt;;Gui Ramos;;9;19.11.2025
nicht eingesetzt;;Gui Ramos;;6;19.11.2025
wurde nicht berücksichtigt;;Gui Ramos;;4;19.11.2025
nicht eingesetzt;;Gui Ramos;;3;19.11.2025
nicht eingesetzt;;Gui Ramos;;2;19.11.2025
nicht eingesetzt;;Gui Ramos;;1;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;10;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;9;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;8;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;7;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;6;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;5;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;4;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;3;19.11.2025
nicht eingesetzt;;Hansen-Aarøen;;2;19.11.2025
nicht eingesetzt;;Hefti;;10;19.11.2025
nicht eingesetzt;;Hefti;;9;19.11.2025
nicht eingesetzt;;Hefti;;8;19.11.2025
nicht eingesetzt;;Hefti;;7;19.11.2025
nicht eingesetzt;;Hefti;;6;19.11.2025
war im Aufbautraining;;Hefti;;5;19.11.2025
war verletzt;;Hefti;;4;19.11.2025
nicht eingesetzt;;Hefti;;3;19.11.2025
nicht eingesetzt;;Hefti;;2;19.11.2025
war verletzt;;Hefti;;1;19.11.2025
nicht eingesetzt;;Herrmann;;10;19.11.2025
nicht eingesetzt;;Herrmann;;9;19.11.2025
nicht eingesetzt;;Herrmann;;8;19.11.2025
nicht eingesetzt;;Herrmann;;7;19.11.2025
nicht eingesetzt;;Herrmann;;6;19.11.2025
nicht eingesetzt;;Herrmann;;5;19.11.2025
nicht eingesetzt;;Herrmann;;3;19.11.2025
hat die Liga verlassen;;Herrmann;;2;19.11.2025
hat die Liga verlassen;;Herrmann;;1;19.11.2025
nicht eingesetzt;;Kampl;;10;19.11.2025
wurde nicht berücksichtigt;;Kampl;;9;19.11.2025
nicht eingesetzt;;Kampl;;8;19.11.2025
nicht eingesetzt;;Kampl;;7;19.11.2025
war verletzt;;Kampl;;6;19.11.2025
nicht eingesetzt;;Kampl;;2;19.11.2025
nicht eingesetzt;;Kampl;;1;19.11.2025
nicht eingesetzt;;Maier;;10;19.11.2025
nicht eingesetzt;;Maier;;9;19.11.2025
nicht eingesetzt;;Maier;;8;19.11.2025
nicht eingesetzt;;Maier;;7;19.11.2025
war verletzt;;Maier;;6;19.11.2025
nicht eingesetzt;;Maier;;5;19.11.2025
nicht eingesetzt;;Maier;;4;19.11.2025
nicht eingesetzt;;Maier;;3;19.11.2025
nicht eingesetzt;;Maier;;2;19.11.2025
nicht eingesetzt;;Meffert;;10;19.11.2025
nicht eingesetzt;;Meffert;;9;19.11.2025
nicht eingesetzt;;Meffert;;8;19.11.2025
nicht eingesetzt;;Meffert;;7;19.11.2025
nicht eingesetzt;;Meffert;;5;19.11.2025
nicht eingesetzt;;Meffert;;4;19.11.2025
nicht eingesetzt;;Meffert;;2;19.11.2025
nicht eingesetzt;;Mokwa;;10;19.11.2025
nicht eingesetzt;;Mokwa;;9;19.11.2025
nicht eingesetzt;;Mokwa;;8;19.11.2025
nicht eingesetzt;;Mokwa;;7;19.11.2025
nicht eingesetzt;;Mokwa;;6;19.11.2025
nicht eingesetzt;;Mokwa;;5;19.11.2025
nicht eingesetzt;;Mokwa;;4;19.11.2025
nicht eingesetzt;;Mokwa;;3;19.11.2025
nicht eingesetzt;;Mokwa;;2;19.11.2025
nicht eingesetzt;;Mokwa;;1;19.11.2025
nicht eingesetzt;;Netz;;10;19.11.2025
nicht eingesetzt;;Netz;;9;19.11.2025
nicht eingesetzt;;Netz;;7;19.11.2025
nicht eingesetzt;;Netz;;4;19.11.2025
wurde nicht berücksichtigt;;Telle;;10;19.11.2025
wurde nicht berücksichtigt;;Telle;;9;19.11.2025
wurde nicht berücksichtigt;;Telle;;8;19.11.2025
wurde nicht berücksichtigt;;Telle;;7;19.11.2025
wurde nicht berücksichtigt;;Telle;;6;19.11.2025
wurde nicht berücksichtigt;;Telle;;5;19.11.2025
wurde nicht berücksichtigt;;Telle;;4;19.11.2025
wurde nicht berücksichtigt;;Telle;;3;19.11.2025
wurde nicht berücksichtigt;;Telle;;2;19.11.2025
wurde nicht berücksichtigt;;Telle;;1;19.11.2025
nicht eingesetzt;;Werner;;10;19.11.2025
nicht eingesetzt;;Werner;;9;19.11.2025
war verletzt;;Werner;;8;19.11.2025
nicht eingesetzt;;Werner;;7;19.11.2025
war verletzt;;Werner;;6;19.11.2025
nicht eingesetzt;;Werner;;4;19.11.2025
nicht eingesetzt;;Werner;;3;19.11.2025
wurde nicht berücksichtigt;;Werner;;2;19.11.2025
wurde nicht berücksichtigt;;Werner;;1;19.11.2025
nicht eingesetzt;;Adamu;;20;03.02.2026
nicht eingesetzt;;Adamu;;19;03.02.2026
nicht eingesetzt;;Adamu;;18;03.02.2026
nicht eingesetzt;;Adamu;;17;03.02.2026
nicht eingesetzt;;Adamu;;16;03.02.2026
gespielt;3.0;Adamu;6.8;15;03.02.2026
nicht eingesetzt;;Adamu;;14;03.02.2026
nicht eingesetzt;;Adamu;;13;03.02.2026
nicht eingesetzt;;Adamu;;12;03.02.2026
nicht eingesetzt;;Adamu;;11;03.02.2026
gespielt;1.0;Adamu;6.4;10;03.02.2026
gespielt;2.0;Adamu;6.5;9;03.02.2026
gespielt;1.0;Adamu;6.4;8;03.02.2026
gespielt;3.0;Adamu;6.8;7;03.02.2026
gespielt;3.0;Adamu;6.7;6;03.02.2026
gespielt;6.0;Adamu;7.4;5;03.02.2026
gespielt;10.0;Adamu;7.6;4;03.02.2026
nicht eingesetzt;;Adamu;;3;03.02.2026
gespielt;1.0;Adamu;6.3;2;03.02.2026
nicht eingesetzt;;Adamu;;1;03.02.2026
gespielt;2.0;Afolayan;6.6;9;03.02.2026
gespielt;2.0;Afolayan;6.6;8;03.02.2026
gespielt;1.0;Afolayan;6.4;7;03.02.2026
gespielt;3.0;Afolayan;6.8;5;03.02.2026
gespielt;2.0;Afolayan;6.5;4;03.02.2026
gespielt;0.0;Afolayan;;3;03.02.2026
gespielt;0.0;Afolayan;;1;03.02.2026
hat die Liga verlassen;;Ahlstrand;;20;03.02.2026
hat die Liga verlassen;;Ahlstrand;;16;03.02.2026
hat die Liga verlassen;;Ahlstrand;;19;03.02.2026
hat die Liga verlassen;;Ahlstrand;;18;03.02.2026
hat die Liga verlassen;;Ahlstrand;;17;03.02.2026
nicht eingesetzt;;Ahlstrand;;15;03.02.2026
nicht eingesetzt;;Ahlstrand;;14;03.02.2026
nicht eingesetzt;;Ahlstrand;;13;03.02.2026
nicht eingesetzt;;Ahlstrand;;12;03.02.2026
nicht eingesetzt;;Ahlstrand;;11;03.02.2026
nicht eingesetzt;;Ahlstrand;;10;03.02.2026
nicht eingesetzt;;Ahlstrand;;9;03.02.2026
nicht eingesetzt;;Ahlstrand;;8;03.02.2026
nicht eingesetzt;;Ahlstrand;;7;03.02.2026
nicht eingesetzt;;Ahlstrand;;6;03.02.2026
nicht eingesetzt;;Ahlstrand;;5;03.02.2026
nicht eingesetzt;;Ahlstrand;;4;03.02.2026
nicht eingesetzt;;Ahlstrand;;3;03.02.2026
nicht eingesetzt;;Ahlstrand;;2;03.02.2026
nicht eingesetzt;;Ahlstrand;;1;03.02.2026
gespielt;3.0;Anselmino;6.7;19;03.02.2026
gespielt;4.0;Anselmino;7.0;13;03.02.2026
gespielt;10.0;Anselmino;7.2;12;03.02.2026
gespielt;0.0;Anselmino;;10;03.02.2026
gespielt;6.0;Anselmino;7.4;9;03.02.2026
gespielt;3.0;Anselmino;6.8;2;03.02.2026
hat die Liga verlassen;;Bauer;;20;03.02.2026
hat die Liga verlassen;;Bauer;;19;03.02.2026
hat die Liga verlassen;;Bauer;;18;03.02.2026
hat die Liga verlassen;;Bauer;;17;03.02.2026
hat die Liga verlassen;;Bauer;;16;03.02.2026
nicht eingesetzt;;Bauer;;15;03.02.2026
nicht eingesetzt;;Bauer;;14;03.02.2026
nicht eingesetzt;;Bauer;;13;03.02.2026
nicht eingesetzt;;Bauer;;12;03.02.2026
nicht eingesetzt;;Bauer;;11;03.02.2026
nicht eingesetzt;;Bauer;;10;03.02.2026
nicht eingesetzt;;Bauer;;9;03.02.2026
nicht eingesetzt;;Bauer;;8;03.02.2026
nicht eingesetzt;;Bauer;;7;03.02.2026
nicht eingesetzt;;Bauer;;6;03.02.2026
nicht eingesetzt;;Bauer;;5;03.02.2026
nicht eingesetzt;;Bauer;;4;03.02.2026
nicht eingesetzt;;Bauer;;3;03.02.2026
nicht eingesetzt;;Bauer;;2;03.02.2026
nicht eingesetzt;;Bauer;;1;03.02.2026
hat die Liga verlassen;;Benjamin;;20;03.02.2026
hat die Liga verlassen;;Benjamin;;16;03.02.2026
hat die Liga verlassen;;Benjamin;;19;03.02.2026
nicht eingesetzt;;Benjamin;;18;03.02.2026
nicht eingesetzt;;Benjamin;;17;03.02.2026
nicht eingesetzt;;Benjamin;;15;03.02.2026
nicht eingesetzt;;Benjamin;;14;03.02.2026
nicht eingesetzt;;Benjamin;;13;03.02.2026
nicht eingesetzt;;Benjamin;;12;03.02.2026
nicht eingesetzt;;Benjamin;;11;03.02.2026
nicht eingesetzt;;Benjamin;;10;03.02.2026
nicht eingesetzt;;Benjamin;;9;03.02.2026
nicht eingesetzt;;Benjamin;;8;03.02.2026
nicht eingesetzt;;Benjamin;;7;03.02.2026
nicht eingesetzt;;Benjamin;;6;03.02.2026
nicht eingesetzt;;Benjamin;;5;03.02.2026
nicht eingesetzt;;Benjamin;;4;03.02.2026
nicht eingesetzt;;Benjamin;;3;03.02.2026
nicht eingesetzt;;Benjamin;;2;03.02.2026
nicht eingesetzt;;Benjamin;;1;03.02.2026
gespielt;3.0;Berisha;6.9;30;03.02.2026
gespielt;2.0;Berisha;6.8;28;03.02.2026
gespielt;6.0;Berisha;7.5;15;03.02.2026
gespielt;1.0;Berisha;6.6;13;03.02.2026
gespielt;2.0;Berisha;6.8;12;03.02.2026
gespielt;2.0;Berisha;6.7;11;03.02.2026
gespielt;1.0;Berisha;6.5;9;03.02.2026
gespielt;1.0;Berisha;6.5;8;03.02.2026
gespielt;5.0;Berisha;7.4;5;03.02.2026
gespielt;1.0;Berisha;6.6;4;03.02.2026
gespielt;8.0;Berisha;7.3;3;03.02.2026
gespielt;1.0;Berisha;6.6;2;03.02.2026
gespielt;2.0;Berisha;6.8;1;03.02.2026
hat die Liga verlassen;;Bobzien;;20;03.02.2026
hat die Liga verlassen;;Bobzien;;19;03.02.2026
nicht eingesetzt;;Bobzien;;18;03.02.2026
nicht eingesetzt;;Bobzien;;17;03.02.2026
nicht eingesetzt;;Bobzien;;16;03.02.2026
nicht eingesetzt;;Bobzien;;15;03.02.2026
nicht eingesetzt;;Bobzien;;14;03.02.2026
nicht eingesetzt;;Bobzien;;13;03.02.2026
nicht eingesetzt;;Bobzien;;12;03.02.2026
nicht eingesetzt;;Bobzien;;11;03.02.2026
nicht eingesetzt;;Bobzien;;10;03.02.2026
nicht eingesetzt;;Bobzien;;9;03.02.2026
nicht eingesetzt;;Bobzien;;8;03.02.2026
nicht eingesetzt;;Bobzien;;7;03.02.2026
nicht eingesetzt;;Bobzien;;6;03.02.2026
nicht eingesetzt;;Bobzien;;5;03.02.2026
nicht eingesetzt;;Bobzien;;4;03.02.2026
nicht eingesetzt;;Bobzien;;3;03.02.2026
gespielt;3.0;Bobzien;6.7;2;03.02.2026
nicht eingesetzt;;Bobzien;;1;03.02.2026
gespielt;1.0;Buta;6.4;15;03.02.2026
gespielt;3.0;Buta;6.8;6;03.02.2026
gespielt;-3.0;Buta;5.6;5;03.02.2026
gespielt;0.0;Buta;6.2;2;03.02.2026
gespielt;2.0;Conteh;6.6;20;03.02.2026
gespielt;2.0;Conteh;6.5;19;03.02.2026
nicht eingesetzt;;Conteh;;18;03.02.2026
gespielt;1.0;Conteh;6.3;17;03.02.2026
gespielt;3.0;Conteh;6.8;16;03.02.2026
gespielt;1.0;Conteh;6.3;15;03.02.2026
nicht eingesetzt;;Conteh;;14;03.02.2026
war im Aufbautraining;;Conteh;;13;03.02.2026
war im Aufbautraining;;Conteh;;12;03.02.2026
war im Aufbautraining;;Conteh;;11;03.02.2026
war im Aufbautraining;;Conteh;;10;03.02.2026
war im Aufbautraining;;Conteh;;9;03.02.2026
war im Aufbautraining;;Conteh;;8;03.02.2026
war verletzt;;Conteh;;7;03.02.2026
war angeschlagen;;Conteh;;6;03.02.2026
gespielt;10.0;Conteh;7.5;5;03.02.2026
gespielt;2.0;Conteh;6.5;4;03.02.2026
gespielt;3.0;Conteh;6.7;3;03.02.2026
gespielt;2.0;Conteh;6.6;2;03.02.2026
nicht eingesetzt;;Conteh;;1;03.02.2026
hat die Liga verlassen;;Dardari;;20;03.02.2026
hat die Liga verlassen;;Dardari;;19;03.02.2026
hat die Liga verlassen;;Dardari;;18;03.02.2026
hat die Liga verlassen;;Dardari;;17;03.02.2026
nicht eingesetzt;;Dardari;;16;03.02.2026
gespielt;2.0;Dardari;6.5;15;03.02.2026
nicht eingesetzt;;Dardari;;14;03.02.2026
nicht eingesetzt;;Dardari;;13;03.02.2026
nicht eingesetzt;;Dardari;;12;03.02.2026
nicht eingesetzt;;Dardari;;11;03.02.2026
nicht eingesetzt;;Dardari;;10;03.02.2026
nicht eingesetzt;;Dardari;;9;03.02.2026
gespielt;1.0;Dardari;6.3;8;03.02.2026
nicht eingesetzt;;Dardari;;7;03.02.2026
nicht eingesetzt;;Dardari;;6;03.02.2026
nicht eingesetzt;;Dardari;;5;03.02.2026
