Spieler;Marktwert;Besitzer;TM_Stand
Diehl;250.000;Computer;28.05.2025
Öztunali;180.000;Computer;28.05.2025
G. Orban;870.000;Computer;28.05.2025
Mikelbrencis;1.590.000;Computer;28.05.2025
Stiller;11.190.000;Computer;28.05.2025
Atubolu;2.930.000;Computer;28.05.2025
Fukuda;170.000;Computer;28.05.2025
Šeško;11.600.000;Computer;28.05.2025
Stanišić;5.830.000;Computer;28.05.2025
Lainer;730.000;Computer;28.05.2025
Muslija;610.000;Computer;28.05.2025
Gregoritsch;1.020.000;Computer;28.05.2025
F. Müller;410.000;Computer;28.05.2025
Hranáč;180.000;Computer;29.05.2025
Suhonen;250.000;Computer;29.05.2025
Ekitiké;14.620.000;Computer;30.05.2025
Beste;2.660.000;Computer;30.05.2025
L. Grill;190.000;Computer;30.05.2025
Mittelstädt;9.540.000;Computer;30.05.2025
Buta;1.180.000;Computer;30.05.2025
Obert;400.000;Computer;30.05.2025
Højlund;1.170.000;Computer;30.05.2025
Goretzka;9.390.000;Computer;30.05.2025
Berisha;1.210.000;Computer;30.05.2025
Ngankam;560.000;Computer;31.05.2025
Koulierakis;3.230.000;Computer;31.05.2025
Diehl;290.000;Computer;29.05.2025
Öztunali;190.000;Computer;29.05.2025
G. Orban;1.110.000;Computer;29.05.2025
Mikelbrencis;1.600.000;Computer;29.05.2025
Stiller;11.330.000;Computer;29.05.2025
Atubolu;2.990.000;Computer;29.05.2025
Fukuda;190.000;Computer;29.05.2025
Šeško;11.620.000;Computer;29.05.2025
Stanišić;6.410.000;Computer;29.05.2025
Lainer;750.000;Computer;29.05.2025
Muslija;610.000;Computer;29.05.2025
Gregoritsch;1.270.000;Computer;29.05.2025
F. Müller;400.000;Computer;29.05.2025
Hranáč;180.000;Computer;30.05.2025
Suhonen;240.000;Computer;30.05.2025
Ekitiké;13.980.000;Computer;31.05.2025
Beste;2.780.000;Computer;31.05.2025
L. Grill;180.000;Computer;31.05.2025
Mittelstädt;9.310.000;Computer;31.05.2025
