Datum;Spieler;Besitzer;Hoechstgebot;Hoechstbietender;Zweitgebot;Zweitbietender
23.10.2025;Deman;Computer;171050;Alfons;;
23.10.2025;Luis Díaz;Computer;21120000;Dominik;;
23.10.2025;Doan;Dominik;11580000;Computer;;
23.10.2025;Ngankam;Nico;273000;Computer;;
23.10.2025;Schimmer;Computer;1554000;Thomas;1520400.0;Alfons
22.10.2025;Nebel;Alfons;7457500;Computer;;
22.10.2025;Götze;Computer;1748500;Christoph;1560000.0;Andreas
22.10.2025;Kofane;Computer;9345000;Thomas;9045100.0;Alfons
21.10.2025;Sano;Computer;5900000;Alfons;5511000.0;Thomas
21.10.2025;Højlund;Thomas;872200;Computer;;
21.10.2025;Y. Engelhardt;Dominik;4670000;Computer;;
21.10.2025;Doan;Computer;12031618;Dominik;;
21.10.2025;Ache;Alfons;2880900;Computer;;
21.10.2025;Bebou;Dominik;2235100;Computer;;
21.10.2025;Belocian;Dominik;1438500;Computer;;
20.10.2025;Stenzel;Computer;174000;Thomas;172000.0;Alfons
20.10.2025;Hanche-Olsen;Alfons;1742400;Computer;;
20.10.2025;Nübel;Computer;3011000;Thomas;2970000.0;Nico
20.10.2025;Nicolas;Thomas;1525100;Computer;;
19.10.2025;Saliakas;Christoph;2128500;Computer;;
19.10.2025;Damar;Computer;4700200;Christoph;4185560.0;Alfons
19.10.2025;Pyrka;Computer;1415000;Alfons;1400000.0;Andreas
19.10.2025;Ache;Computer;3012060;Alfons;;
19.10.2025;Kohr;Christoph;3514500;Computer;;
19.10.2025;M. Wolf;Dominik;1840000;Computer;;
19.10.2025;Ouédraogo;Dominik;7330000;Computer;;
18.10.2025;Führich;Dominik;4557000;Computer;;
18.10.2025;Kiala;Alfons;499200;Computer;;
18.10.2025;Nsoki;Alfons;520200;Computer;;
18.10.2025;Hanche-Olsen;Computer;1850000;Alfons;;
18.10.2025;Mikelbrencis;Computer;745000;Alfons;;
18.10.2025;van den Berg;Alfons;1390500;Computer;;
17.10.2025;M. Wolf;Computer;1900000;Dominik;;
17.10.2025;Führich;Computer;4290000;Dominik;;
17.10.2025;Y. Engelhardt;Computer;4600000;Dominik;;
17.10.2025;Terrier;Andreas;2730000;Computer;;
17.10.2025;Svanberg;Andreas;2900800;Computer;;
17.10.2025;Fischer;Andreas;2090700;Computer;;
17.10.2025;Backhaus;Dominik;1484700;Computer;;
17.10.2025;Schick;Alfons;13891500;Computer;;
17.10.2025;Kübler;Alfons;2593800;Computer;;
16.10.2025;Vini Souza;Computer;4920000;Christian;;
16.10.2025;Zivzivadze;Computer;2340020;Alfons;2305500.0;Dominik
16.10.2025;Gulácsi;Alfons;2605800;Computer;;
16.10.2025;Reitz;Computer;6290000;Andreas;;
15.10.2025;Saliakas;Computer;2130200;Christoph;;
15.10.2025;Grifo;Computer;11260000;Alfons;11092000.0;Dominik
15.10.2025;Conteh;Christian;1500000;Computer;;
15.10.2025;Højlund;Computer;1054000;Thomas;1025100.0;Dominik
14.10.2025;Meiser;Andreas;170000;Computer;;
14.10.2025;Ansah;Computer;7845000;Thomas;7626000.0;Dominik
14.10.2025;Bebou;Computer;2052324;Dominik;2025900.0;Christoph
14.10.2025;Grimaldo;Thomas;12540000;Computer;;
14.10.2025;Tah;Thomas;8629200;Computer;;
13.10.2025;Hajdari;Computer;2343000;Thomas;;
13.10.2025;Vasilj;Computer;3180000;Alfons;;
12.10.2025;Henrichs;Dominik;1580800;Computer;;
12.10.2025;Kaufmann;Alfons;3530000;Computer;;
12.10.2025;Süle;Dominik;3400000;Computer;;
12.10.2025;Bauer;Computer;170000;Andreas;;
12.10.2025;Fujita;Computer;3523155;Nico;;
12.10.2025;Skov;Christoph;1522500;Computer;;
12.10.2025;Ouédraogo;Computer;6858000;Dominik;6700000.0;Alfons
12.10.2025;Meiser;Computer;160000;Andreas;;
12.10.2025;Herrmann;Alfons;1442000;Computer;;
12.10.2025;Scherhant;Computer;4700000;Christoph;3637020.0;Alfons
11.10.2025;Uzun;Computer;17303003;Thomas;17190888.0;Dominik
11.10.2025;Ngankam;Computer;170000;Nico;;
11.10.2025;Seiwald;Computer;6572000;Dominik;;
11.10.2025;Backhaus;Computer;1651000;Dominik;;
10.10.2025;El Khannouss;Dominik;16304900;Computer;;
10.10.2025;Kiala;Computer;184020;Alfons;;
10.10.2025;Tah;Computer;9423000;Thomas;8910000.0;Alfons
10.10.2025;Schick;Computer;17200000;Alfons;16523000.0;Thomas
09.10.2025;J. Hofmann;Alfons;2631600;Computer;;
09.10.2025;Hranáč;Dominik;2436000;Computer;;
09.10.2025;Diomande;Alfons;7269600;Computer;;
09.10.2025;Amenda;Dominik;598500;Computer;;
09.10.2025;Essende;Dominik;3916500;Computer;;
09.10.2025;Rômulo;Computer;14162600;Andreas;13785000.0;Thomas
09.10.2025;Lynen;Dominik;3110000;Computer;;
08.10.2025;Giannoulis;Christoph;2930200;Computer;;
08.10.2025;van den Berg;Computer;1544200;Alfons;1530000.0;Andreas
08.10.2025;Henrichs;Computer;2025000;Dominik;1600000.0;Alfons
07.10.2025;Skov;Computer;1280000;Christoph;1280000.0;Alfons
07.10.2025;Mwene;Dominik;2873700;Computer;;
07.10.2025;Matanović;Alfons;7108200;Computer;;
07.10.2025;Wind;Alfons;3990000;Computer;;
07.10.2025;Hajdari;Dominik;2461700;Computer;;
07.10.2025;Kimmich;Computer;21395200;Dominik;18566000.0;Thomas
07.10.2025;El Khannouss;Computer;15956154;Dominik;15120000.0;Thomas
07.10.2025;Sano;Dominik;7360000;Computer;;
07.10.2025;Stöger;Andreas;5720000;Computer;;
06.10.2025;Makengo;Dominik;2280000;Computer;;
06.10.2025;Markgraf;Thomas;176800;Computer;;
06.10.2025;Demirović;Thomas;11870100;Computer;;
06.10.2025;Hranáč;Computer;2434750;Dominik;2376000.0;Alfons
05.10.2025;Burger;Alfons;3108000;Computer;;
05.10.2025;Beck;Alfons;2300000;Dominik;;
05.10.2025;Saliakas;Nico;2863400;Computer;;
05.10.2025;Ritzka;Dominik;1279200;Computer;;
05.10.2025;Mwene;Computer;3200800;Dominik;3075555.0;Nico
05.10.2025;Makengo;Computer;2593579;Dominik;2413200.0;Christoph
05.10.2025;H. Behrens;Nico;189000;Computer;;
05.10.2025;Diomande;Computer;7050000;Alfons;;
05.10.2025;Traoré;Dominik;1659000;Computer;;
04.10.2025;Telle;Alfons;174600;Computer;;
04.10.2025;Matanović;Computer;7481000;Alfons;7480008.0;Dominik
04.10.2025;Essende;Computer;4365005;Dominik;3987500.0;Nico
04.10.2025;Harder;Dominik;8170000;Computer;;
04.10.2025;Leitsch;Christoph;515100;Computer;;
04.10.2025;Beck;Computer;1635070;Alfons;;
03.10.2025;Kölle;Alfons;1292800;Computer;;
03.10.2025;Pereira Lage;Computer;3899000;Christian;3754000.0;Thomas
03.10.2025;Belocian;Computer;666666;Dominik;;
03.10.2025;Osterhage;Alfons;2860800;Computer;;
03.10.2025;H. Behrens;Computer;170000;Nico;;
03.10.2025;Tah;Thomas;8914800;Computer;;
03.10.2025;Ramaj;Alfons;3068000;Computer;;
03.10.2025;Königsdörffer;Nico;3749200;Computer;;
03.10.2025;Henrichs;Alfons;1334400;Computer;;
02.10.2025;Burger;Computer;2971050;Alfons;2865000.0;Thomas
02.10.2025;Telle;Computer;170020;Alfons;;
02.10.2025;Hübers;Computer;3058020;Alfons;3010000.0;Dominik
02.10.2025;Osterhage;Computer;2767020;Alfons;2762214.0;Dominik
02.10.2025;Fernández;Alfons;5969600;Computer;;
01.10.2025;Agyekum;Christian;196000;Computer;;
01.10.2025;Herrmann;Computer;950020;Alfons;;
01.10.2025;Kabak;Christian;1383700;Computer;;
01.10.2025;Banzuzi;Dominik;4605600;Computer;;
01.10.2025;Busch;Christoph;1178100;Computer;;
01.10.2025;Oppie;Computer;2632000;Thomas;;
01.10.2025;Harder;Computer;8908672;Dominik;8190000.0;Thomas
01.10.2025;Kölle;Computer;1372000;Alfons;1290000.0;Andreas
30.09.2025;Giannoulis;Computer;4150300;Christoph;3555898.0;Dominik
30.09.2025;Schmied;Nico;1837500;Computer;;
30.09.2025;Baumgartner;Computer;8780000;Christoph;;
30.09.2025;Mets;Computer;1051000;Dominik;825050.0;Alfons
30.09.2025;Skov;Nico;1484700;Computer;;
30.09.2025;Nsoki;Computer;660500;Alfons;;
29.09.2025;Kübler;Computer;3430000;Alfons;3324675.0;Dominik
29.09.2025;Hajdari;Computer;3160505;Dominik;;
29.09.2025;Amenda;Computer;956005;Dominik;822000.0;Thomas
29.09.2025;Demirović;Computer;14234000;Thomas;14116590.0;Dominik
29.09.2025;Fellhauer;Alfons;2919000;Computer;;
29.09.2025;Königsdörffer;Computer;3965700;Nico;;
29.09.2025;Lucas Vázquez;Alfons;5971200;Computer;;
28.09.2025;Hountondji;Thomas;7373000;Computer;;
28.09.2025;Čović;Dominik;1168200;Computer;;
28.09.2025;Andrich;Computer;4845500;Nico;;
28.09.2025;Ogbus;Nico;197600;Computer;;
28.09.2025;Thielmann;Christoph;7529600;Computer;;
28.09.2025;Fernández;Computer;5925000;Alfons;5534546.0;Dominik
28.09.2025;Theate;Christoph;4410000;Computer;;
28.09.2025;Chema Andrés;Dominik;7840000;Computer;;
27.09.2025;Saad;Alfons;3297000;Computer;;
27.09.2025;Schmied;Computer;1945500;Nico;;
27.09.2025;Jakić;Dominik;4930000;Computer;;
27.09.2025;Massengo;Dominik;5137600;Computer;;
27.09.2025;Højlund;Dominik;1880000;Computer;;
27.09.2025;Schimmer;Dominik;380000;Computer;;
27.09.2025;Wind;Computer;3430000;Alfons;;
27.09.2025;Remberg;Computer;3900000;Alfons;;
27.09.2025;Ogbus;Computer;197500;Nico;190800.0;Alfons
26.09.2025;Ullrich;Christoph;2900700;Computer;;
26.09.2025;Gimber;Alfons;1176000;Computer;;
26.09.2025;Kemlein;Alfons;1144500;Computer;;
26.09.2025;Kampl;Dominik;1029000;Computer;;
26.09.2025;Baum;Dominik;623700;Computer;;
