SPIELER;VEREIN;POSITION;MARKTWERT;GESAMTPUNKTE;PUNKTE PRO SPIEL;PREIS-LEISTUNG;HISTORISCHE PUNKTEAUSBEUTE;Positionsgruppe;Datum;PUNKTE_AM_LETZTEN_SPIELTAG;WorstCase;NeutralCase;BestCase;Zielwert;SpielerURL;Prognose;Punktevolatilität;Empfehlung;Form;Erwartete Punktzahl;Bewertete Spiele;Status;Verletzungsanfälligkeit;Änderung_7_Tage;Team_Änderung_7_Tage;Änderung_3_Monate
A. Jung;Sport-Club Freiburg;Abwehr;640.000;7;2.33;Gut;Gering bis mittel;Abwehr;25.10.2025;N/A;640.000;640.000;640.000;640.000;https://www.com-analytics.de/player/32579;640.000;mittel;Halten;;0.5;3;Fit;Niedrig;-210.000 / -24,7%;-1.600.000 / -2,3 %;-340.000 / -34,7%
Ache;1. FC Köln;Stürmer;2.550.000;18;2.57;Schlecht;Gering bis mittel;Stürmer;25.10.2025;0;2.500.000;2.550.000;2.600.000;2.550.000;https://www.com-analytics.de/player/33263;2.550.000;mittel;Halten;;0.4;7;Fit;Mittel;-560.000 / -18,0%;-4.040.000 / -5,4 %;-1.860.000 / -42,2%
Adamu;Sport-Club Freiburg;Stürmer;4.590.000;23;4.6;Gut;Gering bis mittel;Stürmer;25.10.2025;N/A;4.580.000;4.670.000;4.760.000;4.670.000;https://www.com-analytics.de/player/33802;4.670.000;mittel;Halten;;1.5;5;Fit;Niedrig;-330.000 / -6,7%;-1.600.000 / -2,3 %;+3.340.000 / +267,2%
Adeh;SV Werder Bremen;Mittelfeld;170.000;0;;;Gering bis mittel;Mittelfeld;25.10.2025;N/A;170.000;170.000;170.000;170.000;https://www.com-analytics.de/player/34086;170.000;N/A;Halten;Unbekannt;N/A;0;Fit;Niedrig;-20.000 / -10,5%;-350.000 / -0,5 %;-10.000 / -5,6%
Adeyemi;Borussia Dortmund;Stürmer;10.930.000;35;5.83;Schlecht;Gering bis mittel;Stürmer;25.10.2025;N/A;10.370.000;10.730.000;11.080.000;10.730.000;https://www.com-analytics.de/player/33575;10.730.000;mittel;Halten;;7.4;6;Fit;Niedrig;-2.580.000 / -19,1%;-2.220.000 / -1,8 %;+2.920.000 / +36,5%
Afolayan;FC St. Pauli;Stürmer;1.240.000;6;2.0;Schlecht;Gering bis mittel;Stürmer;25.10.2025;N/A;1.260.000;1.270.000;1.290.000;1.270.000;https://www.com-analytics.de/player/33958;1.270.000;niedrig;Halten;;0.1;3;Fit;Niedrig;+120.000 / +10,7%;-5.700.000 / -10,6 %;-960.000 / -43,6%
Agu;SV Werder Bremen;Abwehr;1.100.000;17;2.83;Gut;Gering bis mittel;Abwehr;25.10.2025;2;1.050.000;1.070.000;1.100.000;1.030.000;https://www.com-analytics.de/player/33288;1.070.000;niedrig;Halten;;N/A;6;Im Aufbautraining;Mittel;-500.000 / -31,3%;-350.000 / -0,5 %;-2.060.000 / -65,2%
Ahlstrand;FC St. Pauli;Mittelfeld;170.000;0;;;Gering bis mittel;Mittelfeld;25.10.2025;N/A;170.000;170.000;170.000;170.000;https://www.com-analytics.de/player/33952;170.000;niedrig;Halten;;N/A;0;Fit;Niedrig;"&#0177;0 / &#0177;0,0%";-5.700.000 / -10,6 %;-70.000 / -29,2%
Akpoguma;TSG Hoffenheim;Abwehr;370.000;3;1.5;Schlecht;Gering bis mittel;Abwehr;25.10.2025;6;370.000;370.000;370.000;370.000;https://www.com-analytics.de/player/32162;370.000;mittel;Halten;;1.3;2;Fit;Mittel;-60.000 / -14,0%;+1.700.000 / +2,3 %;-1.080.000 / -74,5%
Al-Dakhil;VfB Stuttgart;Abwehr;1.280.000;4;4.0;Gut;Gering bis mittel;Abwehr;25.10.2025;N/A;1.260.000;1.270.000;1.270.000;1.270.000;https://www.com-analytics.de/player/34050;1.270.000;niedrig;Halten;;0.6;1;Fit;Hoch;-280.000 / -17,9%;+560.000 / +0,5 %;+600.000 / +88,2%
