SPIELER;POSITION;TEAM;PUNKTE;MARKTWERT;ZIELWERT;PUNKTE / SPIEL;KAUFEMPFEHLUNG;PREIS-LEISSTUNG;GEBOTSVORHERSAGE;BESITZER;Datum
Akpoguma;Abwehr;TSG Hoffenheim;91;1.830.000;1.830.000;3,0;Halten;Gut;0;Computer;28.06.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;910;920;2,8;Halten;Gut;1;Computer;28.06.2025
Kobel;Torhüter;Borussia Dortmund;81;2.640.000;2.660.000;2,5;Halten;Schlecht;2;Computer;28.06.2025
Kownacki;Stürmer;SV Werder Bremen;0;670;670;1,5;Halten;Durchschnittlich;0;Computer;28.06.2025
Palacios;Mittelfeld;Bayer 04 Leverkusen;95;5.720.000;5.690.000;4,5;Halten;Gut;0;Computer;28.06.2025
Widmer;Abwehr;1. FSV Mainz 05;37;490;490;1,9;Halten;Gut;0;Computer;28.06.2025
Nacho Ferri;Stürmer;Eintracht Frankfurt;0;170;170;2,0;Halten;Gut;0;Computer;28.06.2025
Diogo Leite;Abwehr;1.FC Union Berlin;148;3.770.000;3.680.000;4,9;Halten;Gut;0;Computer;28.06.2025
Paçarada;Abwehr;1. FC Köln;0;1.400.000;1.410.000;1,6;Halten;Schlecht;0;Computer;28.06.2025
Breunig;Stürmer;1.FC Heidenheim;32;390;390;2,7;Halten;Gut;0;Computer;28.06.2025
Petersson;Torhüter;TSG Hoffenheim;0;160;160;0,0;Halten;Schlecht;0;Computer;28.06.2025
Campbell;Stürmer;Borussia Dortmund;3;200;200;1,5;Halten;Durchschnittlich;0;Computer;28.06.2025
Ilić;Stürmer;1.FC Union Berlin;79;4.710.000;4.810.000;4,3;Halten;Gut;0;Computer;28.06.2025
Oliveira;Abwehr;Hamburger SV;0;180;180;0,0;Halten;Schlecht;0;Computer;28.06.2025
Irié;Stürmer;Sport-Club Freiburg;0;2.820.000;2.820.000;0,0;Halten;Schlecht;0;Computer;28.06.2025
Akpoguma;Abwehr;TSG Hoffenheim;91;1.830.000;1.840.000;3,0;Halten;Gut;0;Computer;29.06.2025
Henrichs;Abwehr;RB Leipzig;49;2.320.000;2.230.000;3,3;Halten;Gut;0;Computer;29.06.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;940;950;2,8;Halten;Gut;1;Computer;29.06.2025
Kownacki;Stürmer;SV Werder Bremen;0;650;640;1,5;Halten;Durchschnittlich;0;Computer;29.06.2025
Stanišić;Abwehr;FC Bayern München;54;4.140.000;4.130.000;3,9;Halten;Durchschnittlich;0;Computer;29.06.2025
Widmer;Abwehr;1. FSV Mainz 05;37;490;500;1,9;Halten;Gut;0;Computer;29.06.2025
Diogo Leite;Abwehr;1.FC Union Berlin;148;3.770.000;3.700.000;4,9;Halten;Gut;0;Computer;29.06.2025
Paçarada;Abwehr;1. FC Köln;0;1.400.000;1.390.000;1,6;Halten;Schlecht;0;Computer;29.06.2025
Majer;Mittelfeld;VfL Wolfsburg;42;4.360.000;4.430.000;4,7;Halten;Gut;0;Computer;29.06.2025
Breunig;Stürmer;1.FC Heidenheim;32;370;370;2,7;Halten;Gut;0;Computer;29.06.2025
Elmas;Mittelfeld;RB Leipzig;4;710;730;2,0;Halten;Durchschnittlich;0;Computer;29.06.2025
Ilić;Stürmer;1.FC Union Berlin;79;4.500.000;4.560.000;4,3;Halten;Gut;0;Computer;29.06.2025
Oliveira;Abwehr;Hamburger SV;0;180;180;0,0;Halten;Schlecht;0;Computer;29.06.2025
Sahiti;Stürmer;Hamburger SV;0;770;760;0,0;Halten;Schlecht;0;Computer;29.06.2025
Irié;Stürmer;Sport-Club Freiburg;0;2.850.000;2.780.000;0,0;Halten;Schlecht;0;Computer;29.06.2025
da Costa;Abwehr;1. FSV Mainz 05;67;1.080.000;1.070.000;2,8;Halten;Gut;0;Computer;30.06.2025
Henrichs;Abwehr;RB Leipzig;49;2.320.000;2.230.000;3,3;Halten;Gut;0;Computer;30.06.2025
Kownacki;Stürmer;SV Werder Bremen;0;650;640;1,5;Halten;Durchschnittlich;0;Computer;30.06.2025
Scally;Abwehr;Borussia Mönchengladbach;73;1.310.000;1.320.000;2,3;Halten;Durchschnittlich;0;Computer;30.06.2025
Stanišić;Abwehr;FC Bayern München;54;4.140.000;4.130.000;3,9;Halten;Durchschnittlich;0;Computer;30.06.2025
Widmer;Abwehr;1. FSV Mainz 05;37;490;500;1,9;Halten;Gut;0;Computer;30.06.2025
Faghir;Stürmer;VfB Stuttgart;0;190;190;2,8;Halten;Gut;0;Computer;30.06.2025
Diogo Leite;Abwehr;1.FC Union Berlin;148;3.770.000;3.700.000;4,9;Halten;Gut;0;Computer;30.06.2025
Stein;Torhüter;1.FC Union Berlin;0;180;180;0,0;Halten;Schlecht;0;Computer;30.06.2025
Majer;Mittelfeld;VfL Wolfsburg;42;4.360.000;4.430.000;4,7;Halten;Gut;0;Computer;30.06.2025
Breunig;Stürmer;1.FC Heidenheim;32;370;370;2,7;Halten;Gut;0;Computer;30.06.2025
Elmas;Mittelfeld;RB Leipzig;4;710;730;2,0;Halten;Durchschnittlich;0;Computer;30.06.2025
Krattenmacher;Mittelfeld;FC Bayern München;0;1.160.000;1.150.000;0,0;Halten;Schlecht;0;Computer;30.06.2025
Sahiti;Stürmer;Hamburger SV;0;770;760;0,0;Halten;Schlecht;0;Computer;30.06.2025
Spari;Torhüter;FC St. Pauli;0;380;380;0,0;Halten;Schlecht;0;Computer;30.06.2025
da Costa;Abwehr;1. FSV Mainz 05;67;1.140.000;1.130.000;2,8;Halten;Gut;0;Computer;02.07.2025
Jatta;Stürmer;Hamburger SV;0;1.510.000;1.510.000;1,0;Halten;Schlecht;0;Computer;02.07.2025
Muslija;Mittelfeld;Sport-Club Freiburg;20;630;630;2,5;Halten;Gut;0;Computer;02.07.2025
Schick;Stürmer;Bayer 04 Leverkusen;190;12.810.000;13.070.000;6,3;Halten;Durchschnittlich;2;Computer;02.07.2025
Scally;Abwehr;Borussia Mönchengladbach;73;1.280.000;1.280.000;2,3;Halten;Durchschnittlich;0;Computer;02.07.2025
Ache;Stürmer;1. FC Köln;0;4.980.000;4.900.000;1,5;Halten;Schlecht;0;Computer;02.07.2025
Hložek;Stürmer;TSG Hoffenheim;129;5.590.000;5.550.000;5,0;Halten;Gut;0;Computer;02.07.2025
Cozza;Abwehr;VfL Wolfsburg;0;190;190;0,8;Halten;Schlecht;0;Computer;02.07.2025
Stein;Torhüter;1.FC Union Berlin;0;170;170;0,0;Halten;Schlecht;0;Computer;02.07.2025
Treu;Abwehr;Sport-Club Freiburg;99;2.770.000;2.750.000;3,0;Halten;Durchschnittlich;0;Computer;02.07.2025
Krattenmacher;Mittelfeld;FC Bayern München;0;1.110.000;1.100.000;0,0;Halten;Schlecht;0;Computer;02.07.2025
Giannoulis;Abwehr;FC Augsburg;118;2.940.000;2.930.000;3,8;Halten;Gut;0;Computer;02.07.2025
Malanga;Stürmer;VfB Stuttgart;0;240;240;0,0;Halten;Schlecht;0;Computer;02.07.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;270;270;0,0;Halten;Schlecht;0;Computer;02.07.2025
Spari;Torhüter;FC St. Pauli;0;370;370;0,0;Halten;Schlecht;0;Computer;02.07.2025
K. Müller;Torhüter;1.FC Heidenheim;82;1.480.000;1.450.000;2,5;Halten;Durchschnittlich;1;Computer;03.07.2025
Jatta;Stürmer;Hamburger SV;0;1.510.000;1.510.000;1,0;Halten;Schlecht;0;Computer;03.07.2025
Muslija;Mittelfeld;Sport-Club Freiburg;20;630;630;2,5;Halten;Gut;0;Computer;03.07.2025
Pedersen;Abwehr;FC Augsburg;3;210;210;0,6;Halten;Schlecht;0;Computer;03.07.2025
Schick;Stürmer;Bayer 04 Leverkusen;190;12.810.000;13.070.000;6,3;Halten;Durchschnittlich;2;Computer;03.07.2025
Ache;Stürmer;1. FC Köln;0;4.980.000;4.900.000;1,5;Halten;Schlecht;0;Computer;03.07.2025
Bischof;Mittelfeld;FC Bayern München;179;6.130.000;6.040.000;5,8;Halten;Gut;1;Computer;03.07.2025
Hložek;Stürmer;TSG Hoffenheim;129;5.590.000;5.550.000;5,0;Halten;Gut;0;Computer;03.07.2025
