"MW_Klasse";"Punkte";"mean_delta3";"n"
"0.5–1 Mio";-8;-5,19480519480519;1
"0.5–1 Mio";-3;1,30769230769231;2
"0.5–1 Mio";-2;3,92156862745098;1
"0.5–1 Mio";-1;1,03092783505155;1
"0.5–1 Mio";0;0,632585854424615;22
"0.5–1 Mio";1;2,75314089213195;14
"0.5–1 Mio";2;2,17642864849139;21
"0.5–1 Mio";3;11,7757981730336;19
"0.5–1 Mio";4;21,0200320088814;7
"0.5–1 Mio";5;19,0707070707071;2
"0.5–1 Mio";6;8,24742268041237;1
"0.5–1 Mio";8;30,1204819277108;1
"0.5–1 Mio";10;37,3134328358209;1
"0.5–1 Mio";13;20;1
"1–2.5 Mio";-8;0,800492610837438;2
"1–2.5 Mio";-5;0,478366423583519;3
"1–2.5 Mio";-4;0;1
"1–2.5 Mio";-3;-7,63358778625954;1
"1–2.5 Mio";-2;-3,68901626233005;2
"1–2.5 Mio";-1;-1,70074600886164;8
"1–2.5 Mio";0;-1,75057314178367;48
"1–2.5 Mio";1;-1,15143531605676;49
"1–2.5 Mio";2;-0,0243193533104855;78
"1–2.5 Mio";3;2,70231900453979;53
"1–2.5 Mio";4;5,36409748750846;36
"1–2.5 Mio";5;8,09795990085365;25
"1–2.5 Mio";6;8,03599128813057;14
"1–2.5 Mio";7;11,0113619365504;12
"1–2.5 Mio";8;10,5323038687998;9
"1–2.5 Mio";9;13,7943984831462;5
"1–2.5 Mio";10;14,9754525713156;5
"1–2.5 Mio";11;12,5597021835103;4
"1–2.5 Mio";12;14,6118721461187;1
"1–2.5 Mio";13;14,7959183673469;1
"2.5–5 Mio";-12;-8,41346153846154;1
"2.5–5 Mio";-8;3,83631713554987;1
"2.5–5 Mio";-5;-6,02150537634409;1
"2.5–5 Mio";-3;-0,781049107130374;5
"2.5–5 Mio";-2;-2,37299204796677;6
"2.5–5 Mio";-1;-0,937447517878872;14
"2.5–5 Mio";0;-2,72288034241466;45
"2.5–5 Mio";1;-2,25668770581719;75
"2.5–5 Mio";2;-1,88589969919566;146
"2.5–5 Mio";3;-0,511739322879834;106
"2.5–5 Mio";4;2,52924093859806;78
"2.5–5 Mio";5;3,76928231774873;62
"2.5–5 Mio";6;5,87824691106543;35
"2.5–5 Mio";7;6,17023773422004;24
"2.5–5 Mio";8;8,39692119896291;22
"2.5–5 Mio";9;8,1551053482714;8
"2.5–5 Mio";10;11,367871976549;10
"2.5–5 Mio";11;9,37278655859557;10
"2.5–5 Mio";12;12,6105354529867;8
"2.5–5 Mio";13;12,9743321023841;3
"2.5–5 Mio";14;12,9457469084261;3
"2.5–5 Mio";16;14,0495867768595;1
"2.5–5 Mio";17;14,8418491484185;1
"2.5–5 Mio";19;14,9220489977728;1
"2.5–5 Mio";20;14,7582697201018;1
"5–10 Mio";-3;-1,65389372995318;2
"5–10 Mio";-2;0,658713349659144;2
"5–10 Mio";-1;-5,32946094037316;6
"5–10 Mio";0;-3,00732248350005;28
"5–10 Mio";1;-2,12759735655164;57
"5–10 Mio";2;-1,57683123339518;85
"5–10 Mio";3;-2,05223485553215;81
"5–10 Mio";4;-0,02583108653866;64
"5–10 Mio";5;2,01474535458821;62
"5–10 Mio";6;2,97839425642333;41
"5–10 Mio";7;3,99375419729673;28
"5–10 Mio";8;4,00089014956716;22
"5–10 Mio";9;6,14046767846422;13
"5–10 Mio";10;6,22794886531529;12
"5–10 Mio";11;9,95967390199666;10
"5–10 Mio";12;7,54918174858314;7
"5–10 Mio";13;9,42830524250321;7
"5–10 Mio";14;10,7808576191114;4
"5–10 Mio";15;14,8569352348079;2
"5–10 Mio";16;10,3888979624405;2
"5–10 Mio";17;14,8;1
"5–10 Mio";18;12,7957250988165;2
"5–10 Mio";22;14,9358226371062;1
"<0.5 Mio";-1;10,8108108108108;1
"<0.5 Mio";0;2,04081632653061;3
"<0.5 Mio";1;6,60180351210252;4
"<0.5 Mio";2;21,433245962053;9
"<0.5 Mio";3;27,2117994469366;8
"<0.5 Mio";4;43,7520607495596;6
"<0.5 Mio";8;43,2432432432432;1
">10 Mio";-1;-1,78223645513365;2
">10 Mio";0;-2,55440401488628;10
">10 Mio";1;-1,2326383493848;10
">10 Mio";2;-2,28248780917679;23
">10 Mio";3;-2,38542757297828;23
">10 Mio";4;-0,801663639450292;20
">10 Mio";5;-0,326259576496427;13
">10 Mio";6;1,93727078105793;10
">10 Mio";7;2,62962815469157;3
">10 Mio";8;2,81459451719143;7
">10 Mio";9;3,46446234660484;18
">10 Mio";10;2,70148523474384;11
">10 Mio";11;2,64732572759151;6
">10 Mio";12;3,65426011784693;6
">10 Mio";13;10,0924499229584;1
">10 Mio";14;5,74936057349365;2
">10 Mio";15;5,45723259488462;5
">10 Mio";16;7,86399533305474;3
">10 Mio";17;4,57566626135071;2
">10 Mio";18;0,880444856348471;1
">10 Mio";20;9,43366013027078;3
">10 Mio";21;8,95856662933931;1
