Spieltag;Datum;Heim;Gast
1;2025-08-22;FC Bayern München;RB Leipzig
1;2025-08-23;Eintracht Frankfurt;SV Werder Bremen
1;2025-08-23;Bayer 04 Leverkusen;TSG 1899 Hoffenheim
1;2025-08-23;SC Freiburg;FC Augsburg
1;2025-08-23;1.FC Union Berlin;VfB Stuttgart
1;2025-08-23;1.FC Heidenheim 1846;VfL Wolfsburg
1;2025-08-23;FC St. Pauli;Borussia Dortmund
1;2025-08-24;1.FSV Mainz 05;1.FC Köln
1;2025-08-24;Borussia Mönchengladbach;Hamburger SV
2;2025-08-29;Hamburger SV;FC St. Pauli
2;2025-08-30;RB Leipzig;1.FC Heidenheim 1846
2;2025-08-30;SV Werder Bremen;Bayer 04 Leverkusen
2;2025-08-30;VfB Stuttgart;Borussia Mönchengladbach
2;2025-08-30;TSG 1899 Hoffenheim;Eintracht Frankfurt
2;2025-08-30;FC Augsburg;FC Bayern München
2;2025-08-31;VfL Wolfsburg;1.FSV Mainz 05
2;2025-08-31;Borussia Dortmund;1.FC Union Berlin
2;2025-08-31;1.FC Köln;SC Freiburg
3;2025-09-12;Bayer 04 Leverkusen;Eintracht Frankfurt
3;2025-09-13;SC Freiburg;VfB Stuttgart
3;2025-09-13;1.FSV Mainz 05;RB Leipzig
3;2025-09-13;VfL Wolfsburg;1.FC Köln
3;2025-09-13;1.FC Union Berlin;TSG 1899 Hoffenheim
3;2025-09-13;1.FC Heidenheim 1846;Borussia Dortmund
3;2025-09-13;FC Bayern München;Hamburger SV
3;2025-09-14;FC St. Pauli;FC Augsburg
3;2025-09-14;Borussia Mönchengladbach;SV Werder Bremen
4;2025-09-19;VfB Stuttgart;FC St. Pauli
4;2025-09-20;SV Werder Bremen;SC Freiburg
4;2025-09-20;FC Augsburg;1.FSV Mainz 05
4;2025-09-20;TSG 1899 Hoffenheim;FC Bayern München
4;2025-09-20;Hamburger SV;1.FC Heidenheim 1846
4;2025-09-20;RB Leipzig;1.FC Köln
4;2025-09-21;Eintracht Frankfurt;1.FC Union Berlin
4;2025-09-21;Bayer 04 Leverkusen;Borussia Mönchengladbach
4;2025-09-21;Borussia Dortmund;VfL Wolfsburg
5;2025-09-26;FC Bayern München;SV Werder Bremen
5;2025-09-27;1.FSV Mainz 05;Borussia Dortmund
5;2025-09-27;VfL Wolfsburg;RB Leipzig
5;2025-09-27;FC St. Pauli;Bayer 04 Leverkusen
5;2025-09-27;1.FC Heidenheim 1846;FC Augsburg
5;2025-09-27;Borussia Mönchengladbach;Eintracht Frankfurt
5;2025-09-28;SC Freiburg;TSG 1899 Hoffenheim
5;2025-09-28;1.FC Köln;VfB Stuttgart
5;2025-09-28;1.FC Union Berlin;Hamburger SV
6;2025-10-03;TSG 1899 Hoffenheim;1.FC Köln
6;2025-10-04;Bayer 04 Leverkusen;1.FC Union Berlin
6;2025-10-04;Borussia Dortmund;RB Leipzig
6;2025-10-04;SV Werder Bremen;FC St. Pauli
6;2025-10-04;FC Augsburg;VfL Wolfsburg
6;2025-10-04;Eintracht Frankfurt;FC Bayern München
6;2025-10-05;VfB Stuttgart;1.FC Heidenheim 1846
6;2025-10-05;Hamburger SV;1.FSV Mainz 05
6;2025-10-05;Borussia Mönchengladbach;SC Freiburg
7;2025-10-17;1.FC Union Berlin;Borussia Mönchengladbach
7;2025-10-18;1.FSV Mainz 05;Bayer 04 Leverkusen
7;2025-10-18;RB Leipzig;Hamburger SV
7;2025-10-18;VfL Wolfsburg;VfB Stuttgart
7;2025-10-18;1.FC Heidenheim 1846;SV Werder Bremen
7;2025-10-18;1.FC Köln;FC Augsburg
7;2025-10-18;FC Bayern München;Borussia Dortmund
7;2025-10-19;SC Freiburg;Eintracht Frankfurt
7;2025-10-19;FC St. Pauli;TSG 1899 Hoffenheim
8;2025-10-24;SV Werder Bremen;1.FC Union Berlin
8;2025-10-25;Eintracht Frankfurt;FC St. Pauli
8;2025-10-25;Borussia Mönchengladbach;FC Bayern München
8;2025-10-25;FC Augsburg;RB Leipzig
8;2025-10-25;TSG 1899 Hoffenheim;1.FC Heidenheim 1846
8;2025-10-25;Hamburger SV;VfL Wolfsburg
8;2025-10-25;Borussia Dortmund;1.FC Köln
8;2025-10-26;Bayer 04 Leverkusen;SC Freiburg
8;2025-10-26;VfB Stuttgart;1.FSV Mainz 05
9;2025-10-31;FC Augsburg;Borussia Dortmund
9;2025-11-01;1.FSV Mainz 05;SV Werder Bremen
9;2025-11-01;RB Leipzig;VfB Stuttgart
9;2025-11-01;1.FC Union Berlin;SC Freiburg
9;2025-11-01;FC St. Pauli;Borussia Mönchengladbach
9;2025-11-01;1.FC Heidenheim 1846;Eintracht Frankfurt
9;2025-11-01;FC Bayern München;Bayer 04 Leverkusen
9;2025-11-02;1.FC Köln;Hamburger SV
9;2025-11-02;VfL Wolfsburg;TSG 1899 Hoffenheim
10;2025-11-07;SV Werder Bremen;VfL Wolfsburg
10;2025-11-08;Bayer 04 Leverkusen;1.FC Heidenheim 1846
10;2025-11-08;1.FC Union Berlin;FC Bayern München
10;2025-11-08;TSG 1899 Hoffenheim;RB Leipzig
10;2025-11-08;Hamburger SV;Borussia Dortmund
10;2025-11-08;Borussia Mönchengladbach;1.FC Köln
10;2025-11-09;SC Freiburg;FC St. Pauli
10;2025-11-09;VfB Stuttgart;FC Augsburg
10;2025-11-09;Eintracht Frankfurt;1.FSV Mainz 05
11;2025-11-21;1.FSV Mainz 05;TSG 1899 Hoffenheim
11;2025-11-22;FC Bayern München;SC Freiburg
11;2025-11-22;Borussia Dortmund;VfB Stuttgart
11;2025-11-22;VfL Wolfsburg;Bayer 04 Leverkusen
11;2025-11-22;FC Augsburg;Hamburger SV
11;2025-11-22;1.FC Heidenheim 1846;Borussia Mönchengladbach
11;2025-11-22;1.FC Köln;Eintracht Frankfurt
11;2025-11-23;RB Leipzig;SV Werder Bremen
11;2025-11-23;FC St. Pauli;1.FC Union Berlin
12;2025-11-28;Borussia Mönchengladbach;RB Leipzig
12;2025-11-29;FC Bayern München;FC St. Pauli
12;2025-11-29;SV Werder Bremen;1.FC Köln
12;2025-11-29;1.FC Union Berlin;1.FC Heidenheim 1846
12;2025-11-29;TSG 1899 Hoffenheim;FC Augsburg
12;2025-11-29;Bayer 04 Leverkusen;Borussia Dortmund
12;2025-11-30;Hamburger SV;VfB Stuttgart
12;2025-11-30;Eintracht Frankfurt;VfL Wolfsburg
12;2025-11-30;SC Freiburg;1.FSV Mainz 05
13;2025-12-06;Borussia Dortmund;TSG 1899 Hoffenheim
13;2025-12-06;1.FSV Mainz 05;Borussia Mönchengladbach
13;2025-12-06;RB Leipzig;Eintracht Frankfurt
13;2025-12-06;VfB Stuttgart;FC Bayern München
13;2025-12-06;VfL Wolfsburg;1.FC Union Berlin
13;2025-12-06;FC Augsburg;Bayer 04 Leverkusen
13;2025-12-06;1.FC Heidenheim 1846;SC Freiburg
13;2025-12-06;1.FC Köln;FC St. Pauli
13;2025-12-06;Hamburger SV;SV Werder Bremen
14;2025-12-13;FC Bayern München;1.FSV Mainz 05
14;2025-12-13;Bayer 04 Leverkusen;1.FC Köln
14;2025-12-13;Eintracht Frankfurt;FC Augsburg
14;2025-12-13;SC Freiburg;Borussia Dortmund
14;2025-12-13;SV Werder Bremen;VfB Stuttgart
14;2025-12-13;Borussia Mönchengladbach;VfL Wolfsburg
14;2025-12-13;1.FC Union Berlin;RB Leipzig
14;2025-12-13;FC St. Pauli;1.FC Heidenheim 1846
14;2025-12-13;TSG 1899 Hoffenheim;Hamburger SV
15;2025-12-20;Borussia Dortmund;Borussia Mönchengladbach
15;2025-12-20;1.FSV Mainz 05;FC St. Pauli
