Datum,Marktwert
2023-06-20,1357090000
2023-06-21,1316750000
2023-06-22,1376420000
2023-06-23,1384220000
2023-06-24,1425200000
2023-06-25,1404910000
2023-06-26,1442910000
2023-06-27,1414320000
2023-06-28,1460690000
2023-06-29,1427040000
2023-06-30,1454650000
2023-07-01,1437640000
2023-07-02,1475610000
2023-07-03,1438160000
2023-07-04,1481620000
2023-07-05,1458850000
2023-07-06,1502860000
2023-07-07,1495870000
2023-07-08,1522790000
2023-07-09,1487870000
2023-07-10,1525340000
2023-07-11,1500110000
2023-07-12,1533150000
2023-07-13,1515810000
2023-07-14,1543540000
2023-07-15,1538650000
2023-07-16,1574810000
2023-07-17,1559790000
2023-07-18,1580840000
2023-07-19,1578090000
2023-07-20,1616780000
2023-07-21,1594480000
2023-07-22,1628190000
2023-07-23,1602010000
2023-07-24,1621570000
2023-07-25,1612520000
2023-07-26,1641820000
2023-07-27,1624890000
2023-07-28,1656170000
2023-07-29,1647470000
2023-07-30,1663690000
2023-07-31,1641550000
2023-08-01,1668110000
2023-08-02,1655950000
2023-08-03,1687210000
2023-08-04,1676390000
2023-08-05,1687310000
2023-08-06,1673760000
2023-08-07,1697720000
2023-08-08,1685580000
2023-08-09,1704310000
2023-08-10,1699900000
2023-08-11,1702380000
2023-08-12,1687990000
2023-08-13,1722260000
2023-08-14,1704030000
2023-08-15,1719250000
2023-08-16,1716120000
2023-08-17,1754110000
2023-08-18,1751050000
2023-08-19,1727800000
2023-08-20,1748730000
2023-08-21,1749600000
2023-08-22,1740910000
2023-08-23,1765850000
2023-08-24,1750870000
2023-08-25,1772620000
2023-08-26,1771350000
2023-08-27,1789260000
2023-08-28,1797510000
2023-08-29,1789030000
2023-08-30,1812140000
2023-08-31,1820330000
2023-09-01,1804720000
2023-09-02,1849860000
2023-09-03,1846620000
2023-09-04,1835200000
2023-09-05,1843840000
2023-09-06,1837960000
2023-09-07,1841530000
2023-09-08,1814740000
2023-09-09,1802700000
2023-09-10,1807270000
2023-09-11,1763240000
2023-09-12,1746480000
2023-09-13,1748160000
2023-09-14,1695470000
2023-09-15,1685160000
2023-09-16,1697240000
2023-09-17,1672810000
2023-09-18,1682730000
2023-09-19,1665770000
2023-09-20,1662050000
2023-09-21,1664580000
2023-09-22,1677600000
2023-09-23,1656970000
2023-09-24,1661080000
2023-09-25,1636180000
2023-09-26,1630800000
2023-09-27,1607560000
2023-09-28,1603050000
2023-09-29,1608510000
2023-09-30,1586920000
2023-10-01,1583450000
2023-10-02,1596920000
2023-10-03,1566520000
2023-10-04,1573580000
2023-10-05,1535950000
2023-10-06,1528670000
2023-10-07,1545200000
2023-10-08,1531920000
2023-10-09,1539250000
2023-10-10,1525730000
2023-10-11,1526850000
2023-10-12,1496060000
2023-10-13,1494990000
2023-10-14,1494530000
2023-10-15,1493750000
2023-10-16,1495390000
2023-10-17,1440610000
2023-10-18,1440790000
2023-10-19,1411240000
2023-10-20,1411470000
2023-10-21,1408380000
2023-10-22,1424170000
2023-10-23,1434810000
2023-10-24,1432830000
2023-10-25,1450630000
2023-10-26,1448820000
2023-10-27,1462640000
2023-10-28,1472290000
2023-10-29,1478860000
2023-10-30,1471470000
2023-10-31,1494240000
2023-11-01,1492660000
2023-11-02,1508800000
2023-11-03,1508170000
2023-11-04,1522720000
2023-11-05,1523630000
2023-11-06,1524590000
2023-11-07,1542110000
2023-11-08,1536220000
2023-11-09,1550890000
2023-11-10,1545190000
2023-11-11,1561320000
2023-11-12,1564400000
2023-11-13,1560190000
2023-11-14,1571810000
2023-11-15,1567700000
2023-11-16,1581970000
2023-11-17,1576450000
2023-11-18,1581390000
2023-11-19,1565960000
2023-11-20,1560480000
2023-11-21,1562110000
2023-11-22,1531050000
2023-11-23,1522720000
2023-11-24,1533220000
2023-11-25,1518900000
2023-11-26,1527800000
2023-11-27,1514110000
2023-11-28,1521770000
2023-11-29,1513790000
2023-11-30,1516180000
2023-12-01,1497970000
2023-12-02,1511670000
2023-12-03,1509890000
2023-12-04,1522830000
2023-12-05,1519050000
2023-12-06,1521630000
2023-12-07,1508070000
2023-12-08,1515740000
2023-12-09,1512510000
2023-12-10,1531520000
2023-12-11,1534140000
2023-12-12,1526080000
2023-12-13,1540910000
2023-12-14,1538550000
2023-12-15,1549360000
2023-12-16,1543060000
2023-12-17,1555110000
2023-12-18,1558830000
2023-12-19,1550240000
2023-12-20,1579440000
2023-12-21,1578960000
2023-12-22,1567570000
2023-12-23,1575060000
2023-12-24,1562310000
2023-12-25,1567460000
2023-12-26,1553820000
2023-12-27,1557840000
2023-12-28,1552410000
2023-12-29,1557300000
2023-12-30,1542640000
2023-12-31,1541950000
2024-01-01,1541590000
2024-01-02,1523500000
2024-01-03,1526790000
2024-01-04,1508720000
2024-01-05,1506730000
2024-01-06,1486910000
2024-01-07,1484540000
2024-01-08,1496430000
2024-01-09,1468290000
2024-01-10,1464240000
2024-01-11,1433860000
2024-01-12,1445770000
2024-01-13,1443920000
2024-01-14,1455260000
2024-01-15,1447070000
2024-01-16,1452570000
2024-01-17,1435180000
2024-01-18,1429710000
2024-01-19,1436210000
2024-01-20,1401900000
2024-01-21,1419200000
2024-01-22,1416780000
2024-01-23,1429760000
2024-01-24,1416430000
2024-01-25,1423810000
2024-01-26,1422020000
2024-01-27,1438890000
2024-01-28,1457720000
2024-01-29,1450790000
2024-01-30,1462400000
