Datum,Marktwert
2019-04-15,1060110000
2019-04-16,1055650000
2019-04-17,1075890000
2019-04-18,1069030000
2019-04-19,1073410000
2019-04-20,1041960000
2019-04-21,1053610000
2019-04-22,1053030000
2019-04-23,1064880000
2019-04-24,1060660000
2019-04-25,1077580000
2019-04-26,1072910000
2019-04-27,1080520000
2019-04-28,1075720000
2019-04-29,1098400000
2019-04-30,1102410000
2019-05-01,1099120000
2019-05-02,1112250000
2019-05-03,1109620000
2019-05-04,1119750000
2019-05-05,1102800000
2019-05-06,1115250000
2019-05-07,1116890000
2019-05-08,1095800000
2019-05-09,1121920000
2019-05-10,1119150000
2019-05-11,1127440000
2019-05-12,1110990000
2019-05-13,1125010000
2019-05-14,1126320000
2019-05-15,1115350000
2019-05-16,1139340000
2019-05-17,1144000000
2019-05-18,1163280000
2019-05-19,950170000
2019-05-20,874240000
2019-05-21,872500000
2019-05-22,854050000
2019-05-23,851050000
2019-05-24,843740000
2019-05-25,848370000
2019-05-26,825950000
2019-05-27,812050000
2019-05-28,794380000
2019-05-29,1019220000
2019-05-30,1053580000
2019-05-31,1081450000
2019-06-01,1083780000
2019-06-02,1122950000
2019-06-03,1101270000
2019-06-04,1156840000
2019-06-05,1139420000
2019-06-06,1167520000
2019-06-07,1173110000
2019-06-08,1187730000
2019-06-09,1142000000
2019-06-10,1183200000
2019-06-11,1165730000
2019-06-12,1179090000
2019-06-13,1163810000
2019-06-14,1194360000
2019-06-15,1174870000
2019-06-16,1204350000
2019-06-17,1176310000
2019-06-18,1198160000
2019-06-19,1182700000
2019-06-20,1210000000
2019-06-21,1171530000
2019-06-22,1201230000
2019-06-23,1170950000
2019-06-24,1181760000
2019-06-25,1153310000
2019-06-26,1176990000
2019-06-27,1145150000
2019-06-28,1177790000
2019-06-29,1145070000
2019-06-30,1158330000
2019-07-01,1161170000
2019-07-02,1179090000
2019-07-03,1163850000
2019-07-04,1195860000
2019-07-05,1202680000
2019-07-06,1202610000
2019-07-07,1218950000
2019-07-08,1228970000
2019-07-09,1221470000
2019-07-10,1257180000
2019-07-11,1247400000
2019-07-12,1248940000
2019-07-13,1266510000
2019-07-14,1259870000
2019-07-15,1274680000
2019-07-16,1284480000
2019-07-17,1276030000
2019-07-18,1303570000
2019-07-19,1307760000
2019-07-20,1300290000
2019-07-21,1324710000
2019-07-22,1324640000
2019-07-23,1351960000
2019-07-24,1329220000
2019-07-25,1328150000
2019-07-26,1344610000
2019-07-27,1341580000
2019-07-28,1366140000
2019-07-29,1364610000
2019-07-30,1358480000
2019-07-31,1381520000
2019-08-01,1350860000
2019-08-02,1349480000
2019-08-03,1354300000
2019-08-04,1315970000
2019-08-05,1306580000
2019-08-06,1308870000
2019-08-07,1276690000
2019-08-08,1302280000
2019-08-09,1295130000
2019-08-10,1306970000
2019-08-11,1296050000
2019-08-12,1308260000
2019-08-13,1297880000
2019-08-14,1327530000
2019-08-15,1311440000
2019-08-16,1335770000
2019-08-17,1318380000
2019-08-18,1324050000
2019-08-19,1312730000
2019-08-20,1332740000
2019-08-21,1323690000
2019-08-22,1332910000
2019-08-23,1307110000
2019-08-24,1324200000
2019-08-25,1308460000
2019-08-26,1315450000
2019-08-27,1317870000
2019-08-28,1334910000
2019-08-29,1326260000
2019-08-30,1331290000
2019-08-31,1329850000
