Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;2720000;André Silva;19.06.2025
20.06.2024;2680000;André Silva;19.06.2025
21.06.2024;2620000;André Silva;19.06.2025
22.06.2024;2690000;André Silva;19.06.2025
23.06.2024;2760000;André Silva;19.06.2025
24.06.2024;2750000;André Silva;19.06.2025
25.06.2024;2650000;André Silva;19.06.2025
26.06.2024;2610000;André Silva;19.06.2025
27.06.2024;2610000;André Silva;19.06.2025
28.06.2024;2630000;André Silva;19.06.2025
29.06.2024;2500000;André Silva;19.06.2025
30.06.2024;2570000;André Silva;19.06.2025
01.07.2024;2530000;André Silva;19.06.2025
02.07.2024;2520000;André Silva;19.06.2025
03.07.2024;2500000;André Silva;19.06.2025
04.07.2024;2410000;André Silva;19.06.2025
05.07.2024;2280000;André Silva;19.06.2025
06.07.2024;2620000;André Silva;19.06.2025
07.07.2024;2660000;André Silva;19.06.2025
08.07.2024;2660000;André Silva;19.06.2025
09.07.2024;2960000;André Silva;19.06.2025
10.07.2024;3160000;André Silva;19.06.2025
11.07.2024;3490000;André Silva;19.06.2025
12.07.2024;3740000;André Silva;19.06.2025
13.07.2024;3740000;André Silva;19.06.2025
14.07.2024;3770000;André Silva;19.06.2025
15.07.2024;3810000;André Silva;19.06.2025
16.07.2024;4010000;André Silva;19.06.2025
17.07.2024;3850000;André Silva;19.06.2025
18.07.2024;3950000;André Silva;19.06.2025
19.07.2024;4100000;André Silva;19.06.2025
20.07.2024;4100000;André Silva;19.06.2025
21.07.2024;4090000;André Silva;19.06.2025
22.07.2024;4000000;André Silva;19.06.2025
23.07.2024;4110000;André Silva;19.06.2025
24.07.2024;4110000;André Silva;19.06.2025
25.07.2024;4230000;André Silva;19.06.2025
26.07.2024;4060000;André Silva;19.06.2025
27.07.2024;3850000;André Silva;19.06.2025
28.07.2024;3860000;André Silva;19.06.2025
29.07.2024;4070000;André Silva;19.06.2025
30.07.2024;3970000;André Silva;19.06.2025
31.07.2024;3760000;André Silva;19.06.2025
01.08.2024;3770000;André Silva;19.06.2025
02.08.2024;3870000;André Silva;19.06.2025
03.08.2024;3830000;André Silva;19.06.2025
04.08.2024;3990000;André Silva;19.06.2025
05.08.2024;4190000;André Silva;19.06.2025
06.08.2024;4190000;André Silva;19.06.2025
07.08.2024;4300000;André Silva;19.06.2025
08.08.2024;4230000;André Silva;19.06.2025
09.08.2024;4140000;André Silva;19.06.2025
10.08.2024;4060000;André Silva;19.06.2025
11.08.2024;3900000;André Silva;19.06.2025
12.08.2024;3690000;André Silva;19.06.2025
13.08.2024;3520000;André Silva;19.06.2025
14.08.2024;3510000;André Silva;19.06.2025
15.08.2024;3330000;André Silva;19.06.2025
16.08.2024;3440000;André Silva;19.06.2025
17.08.2024;3470000;André Silva;19.06.2025
18.08.2024;3500000;André Silva;19.06.2025
19.08.2024;3510000;André Silva;19.06.2025
20.08.2024;3500000;André Silva;19.06.2025
21.08.2024;3460000;André Silva;19.06.2025
22.08.2024;3490000;André Silva;19.06.2025
23.08.2024;3430000;André Silva;19.06.2025
24.08.2024;3420000;André Silva;19.06.2025
25.08.2024;3380000;André Silva;19.06.2025
26.08.2024;3410000;André Silva;19.06.2025
27.08.2024;3330000;André Silva;19.06.2025
28.08.2024;3130000;André Silva;19.06.2025
29.08.2024;2920000;André Silva;19.06.2025
30.08.2024;2800000;André Silva;19.06.2025
31.08.2024;2890000;André Silva;19.06.2025
01.09.2024;2720000;André Silva;19.06.2025
02.09.2024;2550000;André Silva;19.06.2025
03.09.2024;2380000;André Silva;19.06.2025
04.09.2024;2270000;André Silva;19.06.2025
05.09.2024;2190000;André Silva;19.06.2025
06.09.2024;2200000;André Silva;19.06.2025
07.09.2024;2090000;André Silva;19.06.2025
08.09.2024;1970000;André Silva;19.06.2025
09.09.2024;1960000;André Silva;19.06.2025
10.09.2024;1920000;André Silva;19.06.2025
11.09.2024;1950000;André Silva;19.06.2025
12.09.2024;1940000;André Silva;19.06.2025
13.09.2024;1980000;André Silva;19.06.2025
14.09.2024;1920000;André Silva;19.06.2025
15.09.2024;1810000;André Silva;19.06.2025
16.09.2024;1790000;André Silva;19.06.2025
17.09.2024;1770000;André Silva;19.06.2025
18.09.2024;1770000;André Silva;19.06.2025
19.09.2024;1680000;André Silva;19.06.2025
20.09.2024;1590000;André Silva;19.06.2025
21.09.2024;1500000;André Silva;19.06.2025
22.09.2024;1430000;André Silva;19.06.2025
23.09.2024;1630000;André Silva;19.06.2025
24.09.2024;1630000;André Silva;19.06.2025
25.09.2024;1640000;André Silva;19.06.2025
26.09.2024;1610000;André Silva;19.06.2025
27.09.2024;1790000;André Silva;19.06.2025
28.09.2024;1810000;André Silva;19.06.2025
29.09.2024;1780000;André Silva;19.06.2025
30.09.2024;1660000;André Silva;19.06.2025
01.10.2024;1690000;André Silva;19.06.2025
02.10.2024;1710000;André Silva;19.06.2025
03.10.2024;1730000;André Silva;19.06.2025
04.10.2024;1700000;André Silva;19.06.2025
05.10.2024;1720000;André Silva;19.06.2025
06.10.2024;1850000;André Silva;19.06.2025
07.10.2024;1800000;André Silva;19.06.2025
08.10.2024;1800000;André Silva;19.06.2025
09.10.2024;1860000;André Silva;19.06.2025
10.10.2024;1870000;André Silva;19.06.2025
11.10.2024;1860000;André Silva;19.06.2025
12.10.2024;1750000;André Silva;19.06.2025
13.10.2024;1710000;André Silva;19.06.2025
14.10.2024;1620000;André Silva;19.06.2025
15.10.2024;1540000;André Silva;19.06.2025
16.10.2024;1450000;André Silva;19.06.2025
17.10.2024;1380000;André Silva;19.06.2025
18.10.2024;1360000;André Silva;19.06.2025
19.10.2024;1310000;André Silva;19.06.2025
20.10.2024;1240000;André Silva;19.06.2025
21.10.2024;1180000;André Silva;19.06.2025
22.10.2024;1120000;André Silva;19.06.2025
23.10.2024;1190000;André Silva;19.06.2025
24.10.2024;1150000;André Silva;19.06.2025
25.10.2024;1230000;André Silva;19.06.2025
26.10.2024;1200000;André Silva;19.06.2025
27.10.2024;1450000;André Silva;19.06.2025
28.10.2024;1700000;André Silva;19.06.2025
29.10.2024;1950000;André Silva;19.06.2025
30.10.2024;2240000;André Silva;19.06.2025
31.10.2024;2570000;André Silva;19.06.2025
01.11.2024;2670000;André Silva;19.06.2025
02.11.2024;2780000;André Silva;19.06.2025
03.11.2024;2890000;André Silva;19.06.2025
04.11.2024;2890000;André Silva;19.06.2025
05.11.2024;2900000;André Silva;19.06.2025
06.11.2024;2930000;André Silva;19.06.2025
07.11.2024;2990000;André Silva;19.06.2025
08.11.2024;3320000;André Silva;19.06.2025
09.11.2024;3320000;André Silva;19.06.2025
10.11.2024;3310000;André Silva;19.06.2025
11.11.2024;3280000;André Silva;19.06.2025
12.11.2024;3060000;André Silva;19.06.2025
13.11.2024;2900000;André Silva;19.06.2025
14.11.2024;2870000;André Silva;19.06.2025
15.11.2024;2930000;André Silva;19.06.2025
16.11.2024;2730000;André Silva;19.06.2025
17.11.2024;2680000;André Silva;19.06.2025
18.11.2024;2570000;André Silva;19.06.2025
19.11.2024;2410000;André Silva;19.06.2025
