Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;14690000;Boniface;19.06.2025
20.06.2024;14120000;Boniface;19.06.2025
21.06.2024;14270000;Boniface;19.06.2025
22.06.2024;14950000;Boniface;19.06.2025
23.06.2024;14970000;Boniface;19.06.2025
24.06.2024;15030000;Boniface;19.06.2025
25.06.2024;14590000;Boniface;19.06.2025
26.06.2024;13930000;Boniface;19.06.2025
27.06.2024;14610000;Boniface;19.06.2025
28.06.2024;14610000;Boniface;19.06.2025
29.06.2024;14150000;Boniface;19.06.2025
30.06.2024;13640000;Boniface;19.06.2025
01.07.2024;14220000;Boniface;19.06.2025
02.07.2024;14290000;Boniface;19.06.2025
03.07.2024;13660000;Boniface;19.06.2025
04.07.2024;13830000;Boniface;19.06.2025
05.07.2024;13670000;Boniface;19.06.2025
06.07.2024;13640000;Boniface;19.06.2025
07.07.2024;13330000;Boniface;19.06.2025
08.07.2024;13570000;Boniface;19.06.2025
09.07.2024;14160000;Boniface;19.06.2025
10.07.2024;13830000;Boniface;19.06.2025
11.07.2024;14140000;Boniface;19.06.2025
12.07.2024;14220000;Boniface;19.06.2025
13.07.2024;13320000;Boniface;19.06.2025
14.07.2024;14800000;Boniface;19.06.2025
15.07.2024;13700000;Boniface;19.06.2025
16.07.2024;14240000;Boniface;19.06.2025
17.07.2024;13730000;Boniface;19.06.2025
18.07.2024;13600000;Boniface;19.06.2025
19.07.2024;13710000;Boniface;19.06.2025
20.07.2024;13590000;Boniface;19.06.2025
21.07.2024;13970000;Boniface;19.06.2025
22.07.2024;13900000;Boniface;19.06.2025
23.07.2024;13630000;Boniface;19.06.2025
24.07.2024;14260000;Boniface;19.06.2025
25.07.2024;14200000;Boniface;19.06.2025
26.07.2024;13660000;Boniface;19.06.2025
27.07.2024;13600000;Boniface;19.06.2025
28.07.2024;14240000;Boniface;19.06.2025
29.07.2024;14260000;Boniface;19.06.2025
30.07.2024;14260000;Boniface;19.06.2025
31.07.2024;13960000;Boniface;19.06.2025
01.08.2024;14510000;Boniface;19.06.2025
02.08.2024;14900000;Boniface;19.06.2025
03.08.2024;15210000;Boniface;19.06.2025
04.08.2024;15730000;Boniface;19.06.2025
05.08.2024;15780000;Boniface;19.06.2025
06.08.2024;15830000;Boniface;19.06.2025
07.08.2024;16310000;Boniface;19.06.2025
08.08.2024;15940000;Boniface;19.06.2025
09.08.2024;15000000;Boniface;19.06.2025
10.08.2024;13720000;Boniface;19.06.2025
11.08.2024;14900000;Boniface;19.06.2025
12.08.2024;14900000;Boniface;19.06.2025
13.08.2024;14970000;Boniface;19.06.2025
14.08.2024;14520000;Boniface;19.06.2025
15.08.2024;15140000;Boniface;19.06.2025
16.08.2024;15140000;Boniface;19.06.2025
17.08.2024;15440000;Boniface;19.06.2025
18.08.2024;14380000;Boniface;19.06.2025
19.08.2024;15120000;Boniface;19.06.2025
20.08.2024;15120000;Boniface;19.06.2025
21.08.2024;15200000;Boniface;19.06.2025
22.08.2024;14820000;Boniface;19.06.2025
23.08.2024;13390000;Boniface;19.06.2025
24.08.2024;13510000;Boniface;19.06.2025
25.08.2024;13680000;Boniface;19.06.2025
26.08.2024;13870000;Boniface;19.06.2025
27.08.2024;13910000;Boniface;19.06.2025
28.08.2024;13970000;Boniface;19.06.2025
29.08.2024;14280000;Boniface;19.06.2025
30.08.2024;14350000;Boniface;19.06.2025
31.08.2024;14060000;Boniface;19.06.2025
01.09.2024;14520000;Boniface;19.06.2025
02.09.2024;14390000;Boniface;19.06.2025
03.09.2024;14140000;Boniface;19.06.2025
04.09.2024;14360000;Boniface;19.06.2025
05.09.2024;13930000;Boniface;19.06.2025
06.09.2024;13710000;Boniface;19.06.2025
07.09.2024;14070000;Boniface;19.06.2025
08.09.2024;14200000;Boniface;19.06.2025
09.09.2024;14570000;Boniface;19.06.2025
10.09.2024;14940000;Boniface;19.06.2025
