Datum;Marktwert;Spieler;Abgerufen_am
23.08.2024;;Claude-Maurice;19.06.2025
30.08.2024;;Claude-Maurice;19.06.2025
01.09.2024;2000000.0;Claude-Maurice;19.06.2025
02.09.2024;2230000.0;Claude-Maurice;19.06.2025
03.09.2024;2410000.0;Claude-Maurice;19.06.2025
04.09.2024;2580000.0;Claude-Maurice;19.06.2025
05.09.2024;2690000.0;Claude-Maurice;19.06.2025
06.09.2024;2800000.0;Claude-Maurice;19.06.2025
07.09.2024;2780000.0;Claude-Maurice;19.06.2025
08.09.2024;2770000.0;Claude-Maurice;19.06.2025
09.09.2024;2630000.0;Claude-Maurice;19.06.2025
10.09.2024;2600000.0;Claude-Maurice;19.06.2025
11.09.2024;2430000.0;Claude-Maurice;19.06.2025
12.09.2024;2280000.0;Claude-Maurice;19.06.2025
13.09.2024;2120000.0;Claude-Maurice;19.06.2025
14.09.2024;2140000.0;Claude-Maurice;19.06.2025
15.09.2024;2070000.0;Claude-Maurice;19.06.2025
16.09.2024;1910000.0;Claude-Maurice;19.06.2025
17.09.2024;1840000.0;Claude-Maurice;19.06.2025
18.09.2024;1820000.0;Claude-Maurice;19.06.2025
19.09.2024;1750000.0;Claude-Maurice;19.06.2025
20.09.2024;1740000.0;Claude-Maurice;19.06.2025
21.09.2024;1660000.0;Claude-Maurice;19.06.2025
22.09.2024;1580000.0;Claude-Maurice;19.06.2025
23.09.2024;1500000.0;Claude-Maurice;19.06.2025
24.09.2024;1440000.0;Claude-Maurice;19.06.2025
25.09.2024;1420000.0;Claude-Maurice;19.06.2025
26.09.2024;1350000.0;Claude-Maurice;19.06.2025
27.09.2024;1350000.0;Claude-Maurice;19.06.2025
28.09.2024;1320000.0;Claude-Maurice;19.06.2025
29.09.2024;1260000.0;Claude-Maurice;19.06.2025
30.09.2024;1200000.0;Claude-Maurice;19.06.2025
01.10.2024;1150000.0;Claude-Maurice;19.06.2025
02.10.2024;1100000.0;Claude-Maurice;19.06.2025
03.10.2024;1190000.0;Claude-Maurice;19.06.2025
04.10.2024;1200000.0;Claude-Maurice;19.06.2025
05.10.2024;1450000.0;Claude-Maurice;19.06.2025
06.10.2024;1700000.0;Claude-Maurice;19.06.2025
07.10.2024;1920000.0;Claude-Maurice;19.06.2025
08.10.2024;2140000.0;Claude-Maurice;19.06.2025
09.10.2024;2400000.0;Claude-Maurice;19.06.2025
10.10.2024;2600000.0;Claude-Maurice;19.06.2025
11.10.2024;2840000.0;Claude-Maurice;19.06.2025
12.10.2024;2840000.0;Claude-Maurice;19.06.2025
13.10.2024;3040000.0;Claude-Maurice;19.06.2025
14.10.2024;3190000.0;Claude-Maurice;19.06.2025
15.10.2024;3200000.0;Claude-Maurice;19.06.2025
16.10.2024;3290000.0;Claude-Maurice;19.06.2025
17.10.2024;3350000.0;Claude-Maurice;19.06.2025
18.10.2024;3480000.0;Claude-Maurice;19.06.2025
19.10.2024;3570000.0;Claude-Maurice;19.06.2025
20.10.2024;3660000.0;Claude-Maurice;19.06.2025
21.10.2024;3850000.0;Claude-Maurice;19.06.2025
22.10.2024;3940000.0;Claude-Maurice;19.06.2025
23.10.2024;4220000.0;Claude-Maurice;19.06.2025
24.10.2024;4520000.0;Claude-Maurice;19.06.2025
25.10.2024;4540000.0;Claude-Maurice;19.06.2025
26.10.2024;4590000.0;Claude-Maurice;19.06.2025
27.10.2024;5270000.0;Claude-Maurice;19.06.2025
28.10.2024;5970000.0;Claude-Maurice;19.06.2025
29.10.2024;6860000.0;Claude-Maurice;19.06.2025
30.10.2024;7380000.0;Claude-Maurice;19.06.2025
31.10.2024;8050000.0;Claude-Maurice;19.06.2025
01.11.2024;8790000.0;Claude-Maurice;19.06.2025
02.11.2024;8830000.0;Claude-Maurice;19.06.2025
03.11.2024;9860000.0;Claude-Maurice;19.06.2025
04.11.2024;9860000.0;Claude-Maurice;19.06.2025
05.11.2024;10080000.0;Claude-Maurice;19.06.2025
06.11.2024;10320000.0;Claude-Maurice;19.06.2025
07.11.2024;10280000.0;Claude-Maurice;19.06.2025
08.11.2024;10420000.0;Claude-Maurice;19.06.2025
09.11.2024;10380000.0;Claude-Maurice;19.06.2025
10.11.2024;9910000.0;Claude-Maurice;19.06.2025
11.11.2024;9800000.0;Claude-Maurice;19.06.2025
12.11.2024;9120000.0;Claude-Maurice;19.06.2025
