Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;4950000;Dina Ebimbe;19.06.2025
20.06.2024;4970000;Dina Ebimbe;19.06.2025
21.06.2024;4830000;Dina Ebimbe;19.06.2025
22.06.2024;4900000;Dina Ebimbe;19.06.2025
23.06.2024;4580000;Dina Ebimbe;19.06.2025
24.06.2024;4620000;Dina Ebimbe;19.06.2025
25.06.2024;4860000;Dina Ebimbe;19.06.2025
26.06.2024;5010000;Dina Ebimbe;19.06.2025
27.06.2024;5090000;Dina Ebimbe;19.06.2025
28.06.2024;5090000;Dina Ebimbe;19.06.2025
29.06.2024;4790000;Dina Ebimbe;19.06.2025
30.06.2024;4760000;Dina Ebimbe;19.06.2025
01.07.2024;4620000;Dina Ebimbe;19.06.2025
02.07.2024;4860000;Dina Ebimbe;19.06.2025
03.07.2024;4470000;Dina Ebimbe;19.06.2025
04.07.2024;4300000;Dina Ebimbe;19.06.2025
05.07.2024;4360000;Dina Ebimbe;19.06.2025
06.07.2024;4380000;Dina Ebimbe;19.06.2025
07.07.2024;4310000;Dina Ebimbe;19.06.2025
08.07.2024;4330000;Dina Ebimbe;19.06.2025
09.07.2024;4080000;Dina Ebimbe;19.06.2025
10.07.2024;3870000;Dina Ebimbe;19.06.2025
11.07.2024;4100000;Dina Ebimbe;19.06.2025
12.07.2024;4180000;Dina Ebimbe;19.06.2025
13.07.2024;4080000;Dina Ebimbe;19.06.2025
14.07.2024;4140000;Dina Ebimbe;19.06.2025
15.07.2024;4270000;Dina Ebimbe;19.06.2025
16.07.2024;4260000;Dina Ebimbe;19.06.2025
17.07.2024;4330000;Dina Ebimbe;19.06.2025
18.07.2024;4290000;Dina Ebimbe;19.06.2025
19.07.2024;4330000;Dina Ebimbe;19.06.2025
20.07.2024;4350000;Dina Ebimbe;19.06.2025
21.07.2024;4240000;Dina Ebimbe;19.06.2025
22.07.2024;4280000;Dina Ebimbe;19.06.2025
23.07.2024;4380000;Dina Ebimbe;19.06.2025
24.07.2024;4520000;Dina Ebimbe;19.06.2025
25.07.2024;4500000;Dina Ebimbe;19.06.2025
26.07.2024;4590000;Dina Ebimbe;19.06.2025
27.07.2024;4610000;Dina Ebimbe;19.06.2025
28.07.2024;4650000;Dina Ebimbe;19.06.2025
29.07.2024;4500000;Dina Ebimbe;19.06.2025
30.07.2024;4550000;Dina Ebimbe;19.06.2025
31.07.2024;4400000;Dina Ebimbe;19.06.2025
01.08.2024;4310000;Dina Ebimbe;19.06.2025
02.08.2024;4740000;Dina Ebimbe;19.06.2025
03.08.2024;4740000;Dina Ebimbe;19.06.2025
04.08.2024;4860000;Dina Ebimbe;19.06.2025
05.08.2024;4740000;Dina Ebimbe;19.06.2025
06.08.2024;4750000;Dina Ebimbe;19.06.2025
07.08.2024;4750000;Dina Ebimbe;19.06.2025
08.08.2024;4340000;Dina Ebimbe;19.06.2025
09.08.2024;4500000;Dina Ebimbe;19.06.2025
10.08.2024;4580000;Dina Ebimbe;19.06.2025
11.08.2024;4590000;Dina Ebimbe;19.06.2025
12.08.2024;4620000;Dina Ebimbe;19.06.2025
13.08.2024;4690000;Dina Ebimbe;19.06.2025
14.08.2024;4690000;Dina Ebimbe;19.06.2025
15.08.2024;4840000;Dina Ebimbe;19.06.2025
16.08.2024;4990000;Dina Ebimbe;19.06.2025
17.08.2024;4950000;Dina Ebimbe;19.06.2025
18.08.2024;5040000;Dina Ebimbe;19.06.2025
19.08.2024;5040000;Dina Ebimbe;19.06.2025
20.08.2024;5110000;Dina Ebimbe;19.06.2025
21.08.2024;5420000;Dina Ebimbe;19.06.2025
22.08.2024;5380000;Dina Ebimbe;19.06.2025
23.08.2024;5470000;Dina Ebimbe;19.06.2025
24.08.2024;5170000;Dina Ebimbe;19.06.2025
