Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;2910000;Diogo Leite;19.06.2025
20.06.2024;2930000;Diogo Leite;19.06.2025
21.06.2024;2880000;Diogo Leite;19.06.2025
22.06.2024;2930000;Diogo Leite;19.06.2025
23.06.2024;2740000;Diogo Leite;19.06.2025
24.06.2024;2790000;Diogo Leite;19.06.2025
25.06.2024;2780000;Diogo Leite;19.06.2025
26.06.2024;2790000;Diogo Leite;19.06.2025
27.06.2024;2670000;Diogo Leite;19.06.2025
28.06.2024;2800000;Diogo Leite;19.06.2025
29.06.2024;2610000;Diogo Leite;19.06.2025
30.06.2024;2630000;Diogo Leite;19.06.2025
01.07.2024;2550000;Diogo Leite;19.06.2025
02.07.2024;2730000;Diogo Leite;19.06.2025
03.07.2024;2650000;Diogo Leite;19.06.2025
04.07.2024;2730000;Diogo Leite;19.06.2025
05.07.2024;2760000;Diogo Leite;19.06.2025
06.07.2024;2830000;Diogo Leite;19.06.2025
07.07.2024;2830000;Diogo Leite;19.06.2025
08.07.2024;2890000;Diogo Leite;19.06.2025
09.07.2024;2890000;Diogo Leite;19.06.2025
10.07.2024;2930000;Diogo Leite;19.06.2025
11.07.2024;2930000;Diogo Leite;19.06.2025
12.07.2024;2980000;Diogo Leite;19.06.2025
13.07.2024;3010000;Diogo Leite;19.06.2025
14.07.2024;2970000;Diogo Leite;19.06.2025
15.07.2024;2830000;Diogo Leite;19.06.2025
16.07.2024;2860000;Diogo Leite;19.06.2025
17.07.2024;2680000;Diogo Leite;19.06.2025
18.07.2024;2710000;Diogo Leite;19.06.2025
19.07.2024;2740000;Diogo Leite;19.06.2025
20.07.2024;2820000;Diogo Leite;19.06.2025
21.07.2024;2650000;Diogo Leite;19.06.2025
22.07.2024;2690000;Diogo Leite;19.06.2025
23.07.2024;2790000;Diogo Leite;19.06.2025
24.07.2024;2790000;Diogo Leite;19.06.2025
25.07.2024;2630000;Diogo Leite;19.06.2025
26.07.2024;2660000;Diogo Leite;19.06.2025
27.07.2024;2470000;Diogo Leite;19.06.2025
28.07.2024;2580000;Diogo Leite;19.06.2025
29.07.2024;2540000;Diogo Leite;19.06.2025
30.07.2024;2590000;Diogo Leite;19.06.2025
31.07.2024;2550000;Diogo Leite;19.06.2025
01.08.2024;2870000;Diogo Leite;19.06.2025
02.08.2024;2870000;Diogo Leite;19.06.2025
03.08.2024;2910000;Diogo Leite;19.06.2025
04.08.2024;3070000;Diogo Leite;19.06.2025
05.08.2024;3070000;Diogo Leite;19.06.2025
06.08.2024;3120000;Diogo Leite;19.06.2025
07.08.2024;3120000;Diogo Leite;19.06.2025
08.08.2024;3100000;Diogo Leite;19.06.2025
