Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;2750000.0;Dompé;19.06.2025
28.05.2025;3160000.0;Dompé;19.06.2025
29.05.2025;3560000.0;Dompé;19.06.2025
30.05.2025;3910000.0;Dompé;19.06.2025
31.05.2025;3950000.0;Dompé;19.06.2025
01.06.2025;4540000.0;Dompé;19.06.2025
02.06.2025;4650000.0;Dompé;19.06.2025
03.06.2025;5000000.0;Dompé;19.06.2025
04.06.2025;5690000.0;Dompé;19.06.2025
05.06.2025;5810000.0;Dompé;19.06.2025
06.06.2025;6320000.0;Dompé;19.06.2025
07.06.2025;6460000.0;Dompé;19.06.2025
08.06.2025;6220000.0;Dompé;19.06.2025
09.06.2025;6490000.0;Dompé;19.06.2025
10.06.2025;6430000.0;Dompé;19.06.2025
11.06.2025;6480000.0;Dompé;19.06.2025
12.06.2025;6120000.0;Dompé;19.06.2025
13.06.2025;6210000.0;Dompé;19.06.2025
14.06.2025;5700000.0;Dompé;19.06.2025
15.06.2025;5980000.0;Dompé;19.06.2025
16.06.2025;5930000.0;Dompé;19.06.2025
17.06.2025;5790000.0;Dompé;19.06.2025
18.06.2025;5850000.0;Dompé;19.06.2025
19.06.2025;6110000.0;Dompé;19.06.2025
19.06.2025;;Dompé;19.06.2025
