Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;2500000.0;Elfadli;19.06.2025
28.05.2025;2790000.0;Elfadli;19.06.2025
29.05.2025;3080000.0;Elfadli;19.06.2025
30.05.2025;3220000.0;Elfadli;19.06.2025
31.05.2025;3290000.0;Elfadli;19.06.2025
01.06.2025;3300000.0;Elfadli;19.06.2025
02.06.2025;3230000.0;Elfadli;19.06.2025
03.06.2025;3260000.0;Elfadli;19.06.2025
04.06.2025;3590000.0;Elfadli;19.06.2025
05.06.2025;3650000.0;Elfadli;19.06.2025
06.06.2025;3640000.0;Elfadli;19.06.2025
07.06.2025;4060000.0;Elfadli;19.06.2025
08.06.2025;3960000.0;Elfadli;19.06.2025
09.06.2025;3740000.0;Elfadli;19.06.2025
10.06.2025;3690000.0;Elfadli;19.06.2025
11.06.2025;3480000.0;Elfadli;19.06.2025
12.06.2025;3360000.0;Elfadli;19.06.2025
13.06.2025;3160000.0;Elfadli;19.06.2025
14.06.2025;2980000.0;Elfadli;19.06.2025
15.06.2025;3210000.0;Elfadli;19.06.2025
16.06.2025;3240000.0;Elfadli;19.06.2025
17.06.2025;3280000.0;Elfadli;19.06.2025
18.06.2025;3260000.0;Elfadli;19.06.2025
19.06.2025;3100000.0;Elfadli;19.06.2025
19.06.2025;;Elfadli;19.06.2025
