Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;4570000;F. Nmecha;19.06.2025
20.06.2024;4860000;F. Nmecha;19.06.2025
21.06.2024;4550000;F. Nmecha;19.06.2025
22.06.2024;4580000;F. Nmecha;19.06.2025
23.06.2024;4280000;F. Nmecha;19.06.2025
24.06.2024;4050000;F. Nmecha;19.06.2025
25.06.2024;3860000;F. Nmecha;19.06.2025
26.06.2024;3990000;F. Nmecha;19.06.2025
27.06.2024;4060000;F. Nmecha;19.06.2025
28.06.2024;3930000;F. Nmecha;19.06.2025
29.06.2024;3900000;F. Nmecha;19.06.2025
30.06.2024;3730000;F. Nmecha;19.06.2025
01.07.2024;3590000;F. Nmecha;19.06.2025
02.07.2024;3660000;F. Nmecha;19.06.2025
03.07.2024;3690000;F. Nmecha;19.06.2025
04.07.2024;3730000;F. Nmecha;19.06.2025
05.07.2024;3680000;F. Nmecha;19.06.2025
06.07.2024;3830000;F. Nmecha;19.06.2025
07.07.2024;3560000;F. Nmecha;19.06.2025
08.07.2024;3570000;F. Nmecha;19.06.2025
09.07.2024;3320000;F. Nmecha;19.06.2025
10.07.2024;3340000;F. Nmecha;19.06.2025
11.07.2024;3240000;F. Nmecha;19.06.2025
12.07.2024;3280000;F. Nmecha;19.06.2025
13.07.2024;3260000;F. Nmecha;19.06.2025
14.07.2024;3350000;F. Nmecha;19.06.2025
15.07.2024;3520000;F. Nmecha;19.06.2025
16.07.2024;3570000;F. Nmecha;19.06.2025
17.07.2024;3530000;F. Nmecha;19.06.2025
18.07.2024;3400000;F. Nmecha;19.06.2025
19.07.2024;3430000;F. Nmecha;19.06.2025
20.07.2024;3690000;F. Nmecha;19.06.2025
21.07.2024;3660000;F. Nmecha;19.06.2025
22.07.2024;3650000;F. Nmecha;19.06.2025
23.07.2024;3580000;F. Nmecha;19.06.2025
24.07.2024;3700000;F. Nmecha;19.06.2025
25.07.2024;3690000;F. Nmecha;19.06.2025
26.07.2024;3750000;F. Nmecha;19.06.2025
27.07.2024;3820000;F. Nmecha;19.06.2025
28.07.2024;3850000;F. Nmecha;19.06.2025
29.07.2024;3880000;F. Nmecha;19.06.2025
30.07.2024;3870000;F. Nmecha;19.06.2025
31.07.2024;3820000;F. Nmecha;19.06.2025
01.08.2024;3750000;F. Nmecha;19.06.2025
02.08.2024;3840000;F. Nmecha;19.06.2025
03.08.2024;3850000;F. Nmecha;19.06.2025
04.08.2024;3750000;F. Nmecha;19.06.2025
05.08.2024;3750000;F. Nmecha;19.06.2025
06.08.2024;3610000;F. Nmecha;19.06.2025
07.08.2024;3510000;F. Nmecha;19.06.2025
08.08.2024;3500000;F. Nmecha;19.06.2025
09.08.2024;3510000;F. Nmecha;19.06.2025
10.08.2024;3260000;F. Nmecha;19.06.2025
11.08.2024;3260000;F. Nmecha;19.06.2025
12.08.2024;3150000;F. Nmecha;19.06.2025
13.08.2024;3220000;F. Nmecha;19.06.2025
