Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;11060000;J. Hofmann;19.06.2025
20.06.2024;11060000;J. Hofmann;19.06.2025
21.06.2024;10620000;J. Hofmann;19.06.2025
22.06.2024;10520000;J. Hofmann;19.06.2025
23.06.2024;10250000;J. Hofmann;19.06.2025
24.06.2024;10330000;J. Hofmann;19.06.2025
25.06.2024;10510000;J. Hofmann;19.06.2025
26.06.2024;10900000;J. Hofmann;19.06.2025
27.06.2024;10800000;J. Hofmann;19.06.2025
28.06.2024;10790000;J. Hofmann;19.06.2025
29.06.2024;10270000;J. Hofmann;19.06.2025
30.06.2024;9930000;J. Hofmann;19.06.2025
01.07.2024;9950000;J. Hofmann;19.06.2025
02.07.2024;9420000;J. Hofmann;19.06.2025
03.07.2024;9970000;J. Hofmann;19.06.2025
04.07.2024;10180000;J. Hofmann;19.06.2025
05.07.2024;10180000;J. Hofmann;19.06.2025
06.07.2024;10160000;J. Hofmann;19.06.2025
07.07.2024;9710000;J. Hofmann;19.06.2025
08.07.2024;9390000;J. Hofmann;19.06.2025
09.07.2024;8800000;J. Hofmann;19.06.2025
10.07.2024;9250000;J. Hofmann;19.06.2025
11.07.2024;9020000;J. Hofmann;19.06.2025
12.07.2024;9100000;J. Hofmann;19.06.2025
13.07.2024;9060000;J. Hofmann;19.06.2025
14.07.2024;9190000;J. Hofmann;19.06.2025
15.07.2024;8760000;J. Hofmann;19.06.2025
16.07.2024;8950000;J. Hofmann;19.06.2025
17.07.2024;9000000;J. Hofmann;19.06.2025
18.07.2024;8930000;J. Hofmann;19.06.2025
19.07.2024;9440000;J. Hofmann;19.06.2025
20.07.2024;9440000;J. Hofmann;19.06.2025
21.07.2024;9340000;J. Hofmann;19.06.2025
22.07.2024;9870000;J. Hofmann;19.06.2025
23.07.2024;9760000;J. Hofmann;19.06.2025
24.07.2024;9810000;J. Hofmann;19.06.2025
25.07.2024;9790000;J. Hofmann;19.06.2025
26.07.2024;9670000;J. Hofmann;19.06.2025
27.07.2024;9590000;J. Hofmann;19.06.2025
28.07.2024;9630000;J. Hofmann;19.06.2025
29.07.2024;9070000;J. Hofmann;19.06.2025
30.07.2024;9240000;J. Hofmann;19.06.2025
31.07.2024;8690000;J. Hofmann;19.06.2025
01.08.2024;8790000;J. Hofmann;19.06.2025
02.08.2024;8820000;J. Hofmann;19.06.2025
03.08.2024;8850000;J. Hofmann;19.06.2025
04.08.2024;8910000;J. Hofmann;19.06.2025
05.08.2024;8990000;J. Hofmann;19.06.2025
06.08.2024;9020000;J. Hofmann;19.06.2025
07.08.2024;9030000;J. Hofmann;19.06.2025
08.08.2024;9080000;J. Hofmann;19.06.2025
09.08.2024;9370000;J. Hofmann;19.06.2025
10.08.2024;8860000;J. Hofmann;19.06.2025
11.08.2024;9350000;J. Hofmann;19.06.2025
12.08.2024;8770000;J. Hofmann;19.06.2025
13.08.2024;9330000;J. Hofmann;19.06.2025
