Datum;Marktwert;Spieler;Abgerufen_am
02.06.2025;3000000.0;Jóhannesson;19.06.2025
03.06.2025;3440000.0;Jóhannesson;19.06.2025
04.06.2025;3660000.0;Jóhannesson;19.06.2025
05.06.2025;4190000.0;Jóhannesson;19.06.2025
06.06.2025;4140000.0;Jóhannesson;19.06.2025
07.06.2025;4680000.0;Jóhannesson;19.06.2025
08.06.2025;4480000.0;Jóhannesson;19.06.2025
09.06.2025;4750000.0;Jóhannesson;19.06.2025
10.06.2025;4680000.0;Jóhannesson;19.06.2025
11.06.2025;4760000.0;Jóhannesson;19.06.2025
12.06.2025;4740000.0;Jóhannesson;19.06.2025
13.06.2025;4750000.0;Jóhannesson;19.06.2025
14.06.2025;4510000.0;Jóhannesson;19.06.2025
15.06.2025;4300000.0;Jóhannesson;19.06.2025
16.06.2025;3940000.0;Jóhannesson;19.06.2025
17.06.2025;4000000.0;Jóhannesson;19.06.2025
18.06.2025;4060000.0;Jóhannesson;19.06.2025
19.06.2025;3840000.0;Jóhannesson;19.06.2025
19.06.2025;;Jóhannesson;19.06.2025
