Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;2250000.0;Königsdörffer;19.06.2025
28.05.2025;2580000.0;Königsdörffer;19.06.2025
29.05.2025;2670000.0;Königsdörffer;19.06.2025
30.05.2025;2800000.0;Königsdörffer;19.06.2025
31.05.2025;3120000.0;Königsdörffer;19.06.2025
01.06.2025;3420000.0;Königsdörffer;19.06.2025
02.06.2025;3390000.0;Königsdörffer;19.06.2025
03.06.2025;3390000.0;Königsdörffer;19.06.2025
04.06.2025;3450000.0;Königsdörffer;19.06.2025
05.06.2025;3700000.0;Königsdörffer;19.06.2025
06.06.2025;3640000.0;Königsdörffer;19.06.2025
07.06.2025;4180000.0;Königsdörffer;19.06.2025
08.06.2025;3970000.0;Königsdörffer;19.06.2025
09.06.2025;4120000.0;Königsdörffer;19.06.2025
10.06.2025;4260000.0;Königsdörffer;19.06.2025
11.06.2025;4460000.0;Königsdörffer;19.06.2025
12.06.2025;4350000.0;Königsdörffer;19.06.2025
13.06.2025;4390000.0;Königsdörffer;19.06.2025
14.06.2025;4370000.0;Königsdörffer;19.06.2025
15.06.2025;4330000.0;Königsdörffer;19.06.2025
16.06.2025;4240000.0;Königsdörffer;19.06.2025
17.06.2025;4400000.0;Königsdörffer;19.06.2025
18.06.2025;4100000.0;Königsdörffer;19.06.2025
19.06.2025;4200000.0;Königsdörffer;19.06.2025
19.06.2025;;Königsdörffer;19.06.2025
