Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;3610000;M. Eggestein;19.06.2025
20.06.2024;3870000;M. Eggestein;19.06.2025
21.06.2024;3810000;M. Eggestein;19.06.2025
22.06.2024;3880000;M. Eggestein;19.06.2025
23.06.2024;3870000;M. Eggestein;19.06.2025
24.06.2024;3890000;M. Eggestein;19.06.2025
25.06.2024;3880000;M. Eggestein;19.06.2025
26.06.2024;3890000;M. Eggestein;19.06.2025
27.06.2024;3930000;M. Eggestein;19.06.2025
28.06.2024;4030000;M. Eggestein;19.06.2025
29.06.2024;3920000;M. Eggestein;19.06.2025
30.06.2024;3770000;M. Eggestein;19.06.2025
01.07.2024;3800000;M. Eggestein;19.06.2025
02.07.2024;3830000;M. Eggestein;19.06.2025
03.07.2024;3490000;M. Eggestein;19.06.2025
04.07.2024;3700000;M. Eggestein;19.06.2025
05.07.2024;3820000;M. Eggestein;19.06.2025
06.07.2024;3880000;M. Eggestein;19.06.2025
07.07.2024;3840000;M. Eggestein;19.06.2025
08.07.2024;3880000;M. Eggestein;19.06.2025
09.07.2024;3630000;M. Eggestein;19.06.2025
10.07.2024;3670000;M. Eggestein;19.06.2025
11.07.2024;3850000;M. Eggestein;19.06.2025
12.07.2024;3840000;M. Eggestein;19.06.2025
13.07.2024;3830000;M. Eggestein;19.06.2025
14.07.2024;3830000;M. Eggestein;19.06.2025
15.07.2024;3900000;M. Eggestein;19.06.2025
16.07.2024;3890000;M. Eggestein;19.06.2025
17.07.2024;3800000;M. Eggestein;19.06.2025
18.07.2024;3940000;M. Eggestein;19.06.2025
19.07.2024;3970000;M. Eggestein;19.06.2025
20.07.2024;4080000;M. Eggestein;19.06.2025
21.07.2024;4020000;M. Eggestein;19.06.2025
22.07.2024;3980000;M. Eggestein;19.06.2025
23.07.2024;4100000;M. Eggestein;19.06.2025
24.07.2024;4100000;M. Eggestein;19.06.2025
25.07.2024;4080000;M. Eggestein;19.06.2025
26.07.2024;4140000;M. Eggestein;19.06.2025
27.07.2024;4030000;M. Eggestein;19.06.2025
28.07.2024;4130000;M. Eggestein;19.06.2025
29.07.2024;4140000;M. Eggestein;19.06.2025
30.07.2024;4220000;M. Eggestein;19.06.2025
31.07.2024;4060000;M. Eggestein;19.06.2025
01.08.2024;4160000;M. Eggestein;19.06.2025
02.08.2024;4230000;M. Eggestein;19.06.2025
03.08.2024;4250000;M. Eggestein;19.06.2025
04.08.2024;4250000;M. Eggestein;19.06.2025
05.08.2024;4320000;M. Eggestein;19.06.2025
06.08.2024;4330000;M. Eggestein;19.06.2025
07.08.2024;4350000;M. Eggestein;19.06.2025
08.08.2024;4290000;M. Eggestein;19.06.2025
09.08.2024;4460000;M. Eggestein;19.06.2025
10.08.2024;4460000;M. Eggestein;19.06.2025
11.08.2024;4490000;M. Eggestein;19.06.2025
12.08.2024;4750000;M. Eggestein;19.06.2025
13.08.2024;4540000;M. Eggestein;19.06.2025
14.08.2024;4580000;M. Eggestein;19.06.2025
15.08.2024;4400000;M. Eggestein;19.06.2025
16.08.2024;4540000;M. Eggestein;19.06.2025
17.08.2024;4540000;M. Eggestein;19.06.2025
18.08.2024;4680000;M. Eggestein;19.06.2025
19.08.2024;4690000;M. Eggestein;19.06.2025
20.08.2024;4770000;M. Eggestein;19.06.2025
21.08.2024;4480000;M. Eggestein;19.06.2025
22.08.2024;4620000;M. Eggestein;19.06.2025
23.08.2024;4810000;M. Eggestein;19.06.2025
24.08.2024;4820000;M. Eggestein;19.06.2025
25.08.2024;4790000;M. Eggestein;19.06.2025
26.08.2024;4640000;M. Eggestein;19.06.2025
27.08.2024;4660000;M. Eggestein;19.06.2025
28.08.2024;4420000;M. Eggestein;19.06.2025
29.08.2024;4130000;M. Eggestein;19.06.2025
30.08.2024;4000000;M. Eggestein;19.06.2025
31.08.2024;3890000;M. Eggestein;19.06.2025
01.09.2024;3850000;M. Eggestein;19.06.2025
02.09.2024;3850000;M. Eggestein;19.06.2025
03.09.2024;3900000;M. Eggestein;19.06.2025
04.09.2024;3940000;M. Eggestein;19.06.2025
05.09.2024;4020000;M. Eggestein;19.06.2025
06.09.2024;3870000;M. Eggestein;19.06.2025
07.09.2024;3960000;M. Eggestein;19.06.2025
08.09.2024;4010000;M. Eggestein;19.06.2025
09.09.2024;4200000;M. Eggestein;19.06.2025
10.09.2024;4240000;M. Eggestein;19.06.2025
11.09.2024;4080000;M. Eggestein;19.06.2025
12.09.2024;3820000;M. Eggestein;19.06.2025
13.09.2024;3900000;M. Eggestein;19.06.2025
14.09.2024;3760000;M. Eggestein;19.06.2025
15.09.2024;3990000;M. Eggestein;19.06.2025
16.09.2024;4000000;M. Eggestein;19.06.2025
17.09.2024;4150000;M. Eggestein;19.06.2025
18.09.2024;4150000;M. Eggestein;19.06.2025
19.09.2024;4110000;M. Eggestein;19.06.2025
20.09.2024;4160000;M. Eggestein;19.06.2025
21.09.2024;4270000;M. Eggestein;19.06.2025
22.09.2024;4400000;M. Eggestein;19.06.2025
23.09.2024;4460000;M. Eggestein;19.06.2025
24.09.2024;4530000;M. Eggestein;19.06.2025
25.09.2024;4500000;M. Eggestein;19.06.2025
26.09.2024;4660000;M. Eggestein;19.06.2025
27.09.2024;4820000;M. Eggestein;19.06.2025
28.09.2024;4930000;M. Eggestein;19.06.2025
29.09.2024;4950000;M. Eggestein;19.06.2025
30.09.2024;4830000;M. Eggestein;19.06.2025
01.10.2024;4910000;M. Eggestein;19.06.2025
02.10.2024;4850000;M. Eggestein;19.06.2025
03.10.2024;4870000;M. Eggestein;19.06.2025
04.10.2024;4820000;M. Eggestein;19.06.2025
05.10.2024;4790000;M. Eggestein;19.06.2025
06.10.2024;4370000;M. Eggestein;19.06.2025
07.10.2024;4000000;M. Eggestein;19.06.2025
08.10.2024;3970000;M. Eggestein;19.06.2025
09.10.2024;3830000;M. Eggestein;19.06.2025
10.10.2024;3650000;M. Eggestein;19.06.2025
11.10.2024;3710000;M. Eggestein;19.06.2025
12.10.2024;3700000;M. Eggestein;19.06.2025
13.10.2024;3760000;M. Eggestein;19.06.2025
14.10.2024;3820000;M. Eggestein;19.06.2025
15.10.2024;3820000;M. Eggestein;19.06.2025
16.10.2024;3880000;M. Eggestein;19.06.2025
17.10.2024;3940000;M. Eggestein;19.06.2025
18.10.2024;3980000;M. Eggestein;19.06.2025
19.10.2024;4000000;M. Eggestein;19.06.2025
20.10.2024;4040000;M. Eggestein;19.06.2025
21.10.2024;4300000;M. Eggestein;19.06.2025
22.10.2024;4300000;M. Eggestein;19.06.2025
23.10.2024;4400000;M. Eggestein;19.06.2025
24.10.2024;4420000;M. Eggestein;19.06.2025
25.10.2024;4520000;M. Eggestein;19.06.2025
26.10.2024;4370000;M. Eggestein;19.06.2025
27.10.2024;4390000;M. Eggestein;19.06.2025
28.10.2024;4330000;M. Eggestein;19.06.2025
29.10.2024;4210000;M. Eggestein;19.06.2025
30.10.2024;4060000;M. Eggestein;19.06.2025
31.10.2024;3760000;M. Eggestein;19.06.2025
01.11.2024;3700000;M. Eggestein;19.06.2025
02.11.2024;3830000;M. Eggestein;19.06.2025
03.11.2024;3930000;M. Eggestein;19.06.2025
04.11.2024;3880000;M. Eggestein;19.06.2025
05.11.2024;3880000;M. Eggestein;19.06.2025
06.11.2024;4020000;M. Eggestein;19.06.2025
07.11.2024;4080000;M. Eggestein;19.06.2025
08.11.2024;4160000;M. Eggestein;19.06.2025
09.11.2024;4260000;M. Eggestein;19.06.2025
10.11.2024;4310000;M. Eggestein;19.06.2025
11.11.2024;4550000;M. Eggestein;19.06.2025
12.11.2024;4550000;M. Eggestein;19.06.2025
13.11.2024;4800000;M. Eggestein;19.06.2025
14.11.2024;4800000;M. Eggestein;19.06.2025
15.11.2024;4840000;M. Eggestein;19.06.2025
16.11.2024;4790000;M. Eggestein;19.06.2025
17.11.2024;4770000;M. Eggestein;19.06.2025
18.11.2024;4850000;M. Eggestein;19.06.2025
19.11.2024;4770000;M. Eggestein;19.06.2025
20.11.2024;4640000;M. Eggestein;19.06.2025
21.11.2024;4790000;M. Eggestein;19.06.2025
22.11.2024;4730000;M. Eggestein;19.06.2025
23.11.2024;4960000;M. Eggestein;19.06.2025
24.11.2024;4820000;M. Eggestein;19.06.2025
25.11.2024;4670000;M. Eggestein;19.06.2025
26.11.2024;4700000;M. Eggestein;19.06.2025
27.11.2024;4700000;M. Eggestein;19.06.2025
28.11.2024;4810000;M. Eggestein;19.06.2025
29.11.2024;4720000;M. Eggestein;19.06.2025
30.11.2024;4760000;M. Eggestein;19.06.2025
01.12.2024;4990000;M. Eggestein;19.06.2025
02.12.2024;5070000;M. Eggestein;19.06.2025
03.12.2024;5020000;M. Eggestein;19.06.2025
04.12.2024;5150000;M. Eggestein;19.06.2025
05.12.2024;5140000;M. Eggestein;19.06.2025
06.12.2024;5190000;M. Eggestein;19.06.2025
07.12.2024;4670000;M. Eggestein;19.06.2025
08.12.2024;4310000;M. Eggestein;19.06.2025
09.12.2024;4590000;M. Eggestein;19.06.2025
10.12.2024;4740000;M. Eggestein;19.06.2025
11.12.2024;5020000;M. Eggestein;19.06.2025
12.12.2024;5280000;M. Eggestein;19.06.2025
13.12.2024;5180000;M. Eggestein;19.06.2025
14.12.2024;5340000;M. Eggestein;19.06.2025
15.12.2024;5270000;M. Eggestein;19.06.2025
16.12.2024;5360000;M. Eggestein;19.06.2025
17.12.2024;5480000;M. Eggestein;19.06.2025
18.12.2024;5530000;M. Eggestein;19.06.2025
19.12.2024;5660000;M. Eggestein;19.06.2025
20.12.2024;5660000;M. Eggestein;19.06.2025
21.12.2024;5910000;M. Eggestein;19.06.2025
22.12.2024;5760000;M. Eggestein;19.06.2025
23.12.2024;5240000;M. Eggestein;19.06.2025
24.12.2024;5020000;M. Eggestein;19.06.2025
25.12.2024;5120000;M. Eggestein;19.06.2025
26.12.2024;4590000;M. Eggestein;19.06.2025
27.12.2024;4640000;M. Eggestein;19.06.2025
28.12.2024;4510000;M. Eggestein;19.06.2025
29.12.2024;4280000;M. Eggestein;19.06.2025
30.12.2024;4290000;M. Eggestein;19.06.2025
31.12.2024;4420000;M. Eggestein;19.06.2025
01.01.2025;4410000;M. Eggestein;19.06.2025
02.01.2025;4470000;M. Eggestein;19.06.2025
03.01.2025;4310000;M. Eggestein;19.06.2025
04.01.2025;4250000;M. Eggestein;19.06.2025
05.01.2025;4150000;M. Eggestein;19.06.2025
06.01.2025;3800000;M. Eggestein;19.06.2025
07.01.2025;3710000;M. Eggestein;19.06.2025
08.01.2025;3790000;M. Eggestein;19.06.2025
09.01.2025;3960000;M. Eggestein;19.06.2025
10.01.2025;4010000;M. Eggestein;19.06.2025
11.01.2025;3830000;M. Eggestein;19.06.2025
12.01.2025;3940000;M. Eggestein;19.06.2025
13.01.2025;4210000;M. Eggestein;19.06.2025
14.01.2025;4210000;M. Eggestein;19.06.2025
15.01.2025;4130000;M. Eggestein;19.06.2025
16.01.2025;3910000;M. Eggestein;19.06.2025
17.01.2025;3800000;M. Eggestein;19.06.2025
18.01.2025;3740000;M. Eggestein;19.06.2025
19.01.2025;3600000;M. Eggestein;19.06.2025
20.01.2025;3500000;M. Eggestein;19.06.2025
21.01.2025;3510000;M. Eggestein;19.06.2025
22.01.2025;3250000;M. Eggestein;19.06.2025
23.01.2025;2950000;M. Eggestein;19.06.2025
24.01.2025;2670000;M. Eggestein;19.06.2025
25.01.2025;2730000;M. Eggestein;19.06.2025
26.01.2025;2600000;M. Eggestein;19.06.2025
27.01.2025;2620000;M. Eggestein;19.06.2025
28.01.2025;2590000;M. Eggestein;19.06.2025
29.01.2025;2670000;M. Eggestein;19.06.2025
30.01.2025;2680000;M. Eggestein;19.06.2025
31.01.2025;2740000;M. Eggestein;19.06.2025
01.02.2025;2940000;M. Eggestein;19.06.2025
02.02.2025;2940000;M. Eggestein;19.06.2025
03.02.2025;3190000;M. Eggestein;19.06.2025
04.02.2025;3250000;M. Eggestein;19.06.2025
05.02.2025;3300000;M. Eggestein;19.06.2025
06.02.2025;3370000;M. Eggestein;19.06.2025
07.02.2025;3400000;M. Eggestein;19.06.2025
08.02.2025;3300000;M. Eggestein;19.06.2025
09.02.2025;3370000;M. Eggestein;19.06.2025
10.02.2025;3260000;M. Eggestein;19.06.2025
11.02.2025;3280000;M. Eggestein;19.06.2025
12.02.2025;3250000;M. Eggestein;19.06.2025
13.02.2025;3200000;M. Eggestein;19.06.2025
14.02.2025;3140000;M. Eggestein;19.06.2025
15.02.2025;3130000;M. Eggestein;19.06.2025
16.02.2025;3190000;M. Eggestein;19.06.2025
17.02.2025;3450000;M. Eggestein;19.06.2025
18.02.2025;3490000;M. Eggestein;19.06.2025
19.02.2025;3630000;M. Eggestein;19.06.2025
20.02.2025;3530000;M. Eggestein;19.06.2025
21.02.2025;3430000;M. Eggestein;19.06.2025
22.02.2025;3430000;M. Eggestein;19.06.2025
23.02.2025;3120000;M. Eggestein;19.06.2025
24.02.2025;3330000;M. Eggestein;19.06.2025
25.02.2025;3040000;M. Eggestein;19.06.2025
26.02.2025;3110000;M. Eggestein;19.06.2025
27.02.2025;3160000;M. Eggestein;19.06.2025
28.02.2025;2870000;M. Eggestein;19.06.2025
01.03.2025;2620000;M. Eggestein;19.06.2025
02.03.2025;2500000;M. Eggestein;19.06.2025
03.03.2025;2510000;M. Eggestein;19.06.2025
04.03.2025;2390000;M. Eggestein;19.06.2025
05.03.2025;2460000;M. Eggestein;19.06.2025
06.03.2025;2420000;M. Eggestein;19.06.2025
07.03.2025;2560000;M. Eggestein;19.06.2025
08.03.2025;2660000;M. Eggestein;19.06.2025
09.03.2025;2620000;M. Eggestein;19.06.2025
10.03.2025;2680000;M. Eggestein;19.06.2025
11.03.2025;2520000;M. Eggestein;19.06.2025
12.03.2025;2610000;M. Eggestein;19.06.2025
13.03.2025;2370000;M. Eggestein;19.06.2025
14.03.2025;2390000;M. Eggestein;19.06.2025
15.03.2025;2420000;M. Eggestein;19.06.2025
16.03.2025;2420000;M. Eggestein;19.06.2025
17.03.2025;2520000;M. Eggestein;19.06.2025
18.03.2025;2530000;M. Eggestein;19.06.2025
19.03.2025;2790000;M. Eggestein;19.06.2025
20.03.2025;2580000;M. Eggestein;19.06.2025
21.03.2025;2560000;M. Eggestein;19.06.2025
22.03.2025;2560000;M. Eggestein;19.06.2025
23.03.2025;2550000;M. Eggestein;19.06.2025
24.03.2025;2650000;M. Eggestein;19.06.2025
25.03.2025;2540000;M. Eggestein;19.06.2025
26.03.2025;2540000;M. Eggestein;19.06.2025
