Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;160000.0;M. El Mala;19.06.2025
28.05.2025;190000.0;M. El Mala;19.06.2025
29.05.2025;180000.0;M. El Mala;19.06.2025
30.05.2025;180000.0;M. El Mala;19.06.2025
31.05.2025;200000.0;M. El Mala;19.06.2025
01.06.2025;190000.0;M. El Mala;19.06.2025
02.06.2025;210000.0;M. El Mala;19.06.2025
03.06.2025;230000.0;M. El Mala;19.06.2025
04.06.2025;220000.0;M. El Mala;19.06.2025
05.06.2025;230000.0;M. El Mala;19.06.2025
06.06.2025;240000.0;M. El Mala;19.06.2025
07.06.2025;230000.0;M. El Mala;19.06.2025
08.06.2025;220000.0;M. El Mala;19.06.2025
09.06.2025;260000.0;M. El Mala;19.06.2025
10.06.2025;250000.0;M. El Mala;19.06.2025
11.06.2025;380000.0;M. El Mala;19.06.2025
12.06.2025;390000.0;M. El Mala;19.06.2025
13.06.2025;420000.0;M. El Mala;19.06.2025
14.06.2025;420000.0;M. El Mala;19.06.2025
15.06.2025;410000.0;M. El Mala;19.06.2025
16.06.2025;400000.0;M. El Mala;19.06.2025
17.06.2025;420000.0;M. El Mala;19.06.2025
18.06.2025;430000.0;M. El Mala;19.06.2025
19.06.2025;420000.0;M. El Mala;19.06.2025
19.06.2025;;M. El Mala;19.06.2025
