Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;1500000.0;Mikelbrencis;19.06.2025
28.05.2025;1590000.0;Mikelbrencis;19.06.2025
29.05.2025;1600000.0;Mikelbrencis;19.06.2025
30.05.2025;1710000.0;Mikelbrencis;19.06.2025
31.05.2025;1690000.0;Mikelbrencis;19.06.2025
01.06.2025;1600000.0;Mikelbrencis;19.06.2025
02.06.2025;1550000.0;Mikelbrencis;19.06.2025
03.06.2025;1520000.0;Mikelbrencis;19.06.2025
04.06.2025;1440000.0;Mikelbrencis;19.06.2025
05.06.2025;1340000.0;Mikelbrencis;19.06.2025
06.06.2025;1410000.0;Mikelbrencis;19.06.2025
07.06.2025;1610000.0;Mikelbrencis;19.06.2025
08.06.2025;1480000.0;Mikelbrencis;19.06.2025
09.06.2025;1450000.0;Mikelbrencis;19.06.2025
10.06.2025;1330000.0;Mikelbrencis;19.06.2025
11.06.2025;1240000.0;Mikelbrencis;19.06.2025
12.06.2025;1150000.0;Mikelbrencis;19.06.2025
13.06.2025;1150000.0;Mikelbrencis;19.06.2025
14.06.2025;1130000.0;Mikelbrencis;19.06.2025
15.06.2025;1060000.0;Mikelbrencis;19.06.2025
16.06.2025;1030000.0;Mikelbrencis;19.06.2025
17.06.2025;1020000.0;Mikelbrencis;19.06.2025
18.06.2025;960000.0;Mikelbrencis;19.06.2025
19.06.2025;910000.0;Mikelbrencis;19.06.2025
19.06.2025;;Mikelbrencis;19.06.2025
