Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;10340000;Mittelstädt;19.06.2025
20.06.2024;10080000;Mittelstädt;19.06.2025
21.06.2024;9490000;Mittelstädt;19.06.2025
22.06.2024;9680000;Mittelstädt;19.06.2025
23.06.2024;9080000;Mittelstädt;19.06.2025
24.06.2024;8920000;Mittelstädt;19.06.2025
25.06.2024;8900000;Mittelstädt;19.06.2025
26.06.2024;8390000;Mittelstädt;19.06.2025
27.06.2024;8310000;Mittelstädt;19.06.2025
28.06.2024;8550000;Mittelstädt;19.06.2025
29.06.2024;8030000;Mittelstädt;19.06.2025
30.06.2024;8090000;Mittelstädt;19.06.2025
01.07.2024;8170000;Mittelstädt;19.06.2025
02.07.2024;8330000;Mittelstädt;19.06.2025
03.07.2024;7790000;Mittelstädt;19.06.2025
04.07.2024;7650000;Mittelstädt;19.06.2025
05.07.2024;7950000;Mittelstädt;19.06.2025
06.07.2024;7850000;Mittelstädt;19.06.2025
07.07.2024;7860000;Mittelstädt;19.06.2025
08.07.2024;7860000;Mittelstädt;19.06.2025
09.07.2024;7810000;Mittelstädt;19.06.2025
10.07.2024;7890000;Mittelstädt;19.06.2025
11.07.2024;7660000;Mittelstädt;19.06.2025
12.07.2024;7820000;Mittelstädt;19.06.2025
13.07.2024;7440000;Mittelstädt;19.06.2025
14.07.2024;7290000;Mittelstädt;19.06.2025
15.07.2024;6820000;Mittelstädt;19.06.2025
16.07.2024;6950000;Mittelstädt;19.06.2025
17.07.2024;6840000;Mittelstädt;19.06.2025
18.07.2024;7190000;Mittelstädt;19.06.2025
19.07.2024;7070000;Mittelstädt;19.06.2025
20.07.2024;7110000;Mittelstädt;19.06.2025
21.07.2024;6900000;Mittelstädt;19.06.2025
22.07.2024;6980000;Mittelstädt;19.06.2025
23.07.2024;6680000;Mittelstädt;19.06.2025
24.07.2024;6750000;Mittelstädt;19.06.2025
25.07.2024;7250000;Mittelstädt;19.06.2025
26.07.2024;6980000;Mittelstädt;19.06.2025
27.07.2024;6950000;Mittelstädt;19.06.2025
28.07.2024;7170000;Mittelstädt;19.06.2025
29.07.2024;7050000;Mittelstädt;19.06.2025
30.07.2024;6780000;Mittelstädt;19.06.2025
31.07.2024;6780000;Mittelstädt;19.06.2025
01.08.2024;7070000;Mittelstädt;19.06.2025
02.08.2024;7030000;Mittelstädt;19.06.2025
03.08.2024;7720000;Mittelstädt;19.06.2025
04.08.2024;7270000;Mittelstädt;19.06.2025
05.08.2024;7220000;Mittelstädt;19.06.2025
06.08.2024;7230000;Mittelstädt;19.06.2025
07.08.2024;7170000;Mittelstädt;19.06.2025
08.08.2024;7180000;Mittelstädt;19.06.2025
09.08.2024;7030000;Mittelstädt;19.06.2025
