Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;3000000.0;Muheim;19.06.2025
28.05.2025;3230000.0;Muheim;19.06.2025
29.05.2025;3530000.0;Muheim;19.06.2025
30.05.2025;3690000.0;Muheim;19.06.2025
31.05.2025;3690000.0;Muheim;19.06.2025
01.06.2025;3580000.0;Muheim;19.06.2025
02.06.2025;3410000.0;Muheim;19.06.2025
03.06.2025;3340000.0;Muheim;19.06.2025
04.06.2025;3540000.0;Muheim;19.06.2025
05.06.2025;3650000.0;Muheim;19.06.2025
06.06.2025;3830000.0;Muheim;19.06.2025
07.06.2025;3830000.0;Muheim;19.06.2025
08.06.2025;3740000.0;Muheim;19.06.2025
09.06.2025;3780000.0;Muheim;19.06.2025
10.06.2025;3650000.0;Muheim;19.06.2025
11.06.2025;3540000.0;Muheim;19.06.2025
12.06.2025;3660000.0;Muheim;19.06.2025
13.06.2025;3650000.0;Muheim;19.06.2025
14.06.2025;3450000.0;Muheim;19.06.2025
15.06.2025;3380000.0;Muheim;19.06.2025
16.06.2025;3660000.0;Muheim;19.06.2025
17.06.2025;3740000.0;Muheim;19.06.2025
18.06.2025;3860000.0;Muheim;19.06.2025
19.06.2025;3910000.0;Muheim;19.06.2025
19.06.2025;;Muheim;19.06.2025
