Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;16110000;Musiala;19.06.2025
20.06.2024;16450000;Musiala;19.06.2025
21.06.2024;16080000;Musiala;19.06.2025
22.06.2024;16080000;Musiala;19.06.2025
23.06.2024;16420000;Musiala;19.06.2025
24.06.2024;16810000;Musiala;19.06.2025
25.06.2024;16080000;Musiala;19.06.2025
26.06.2024;15180000;Musiala;19.06.2025
27.06.2024;14350000;Musiala;19.06.2025
28.06.2024;15590000;Musiala;19.06.2025
29.06.2024;15290000;Musiala;19.06.2025
30.06.2024;15450000;Musiala;19.06.2025
01.07.2024;14740000;Musiala;19.06.2025
02.07.2024;14720000;Musiala;19.06.2025
03.07.2024;14100000;Musiala;19.06.2025
04.07.2024;15090000;Musiala;19.06.2025
05.07.2024;15800000;Musiala;19.06.2025
06.07.2024;16470000;Musiala;19.06.2025
07.07.2024;15390000;Musiala;19.06.2025
08.07.2024;15940000;Musiala;19.06.2025
09.07.2024;15440000;Musiala;19.06.2025
10.07.2024;15170000;Musiala;19.06.2025
11.07.2024;14430000;Musiala;19.06.2025
12.07.2024;15160000;Musiala;19.06.2025
13.07.2024;15730000;Musiala;19.06.2025
14.07.2024;16100000;Musiala;19.06.2025
15.07.2024;14680000;Musiala;19.06.2025
16.07.2024;14700000;Musiala;19.06.2025
17.07.2024;14720000;Musiala;19.06.2025
18.07.2024;15080000;Musiala;19.06.2025
19.07.2024;15580000;Musiala;19.06.2025
20.07.2024;15920000;Musiala;19.06.2025
21.07.2024;14800000;Musiala;19.06.2025
22.07.2024;15590000;Musiala;19.06.2025
23.07.2024;15280000;Musiala;19.06.2025
24.07.2024;15640000;Musiala;19.06.2025
25.07.2024;15490000;Musiala;19.06.2025
26.07.2024;15880000;Musiala;19.06.2025
27.07.2024;16520000;Musiala;19.06.2025
28.07.2024;16510000;Musiala;19.06.2025
29.07.2024;16300000;Musiala;19.06.2025
30.07.2024;15260000;Musiala;19.06.2025
31.07.2024;15450000;Musiala;19.06.2025
01.08.2024;15750000;Musiala;19.06.2025
02.08.2024;15700000;Musiala;19.06.2025
03.08.2024;15770000;Musiala;19.06.2025
04.08.2024;15110000;Musiala;19.06.2025
05.08.2024;15920000;Musiala;19.06.2025
06.08.2024;15320000;Musiala;19.06.2025
07.08.2024;15310000;Musiala;19.06.2025
08.08.2024;16370000;Musiala;19.06.2025
09.08.2024;17180000;Musiala;19.06.2025
10.08.2024;17060000;Musiala;19.06.2025
11.08.2024;17380000;Musiala;19.06.2025
12.08.2024;16040000;Musiala;19.06.2025
13.08.2024;15810000;Musiala;19.06.2025
14.08.2024;15610000;Musiala;19.06.2025
15.08.2024;15220000;Musiala;19.06.2025
16.08.2024;15640000;Musiala;19.06.2025
17.08.2024;15720000;Musiala;19.06.2025
18.08.2024;15110000;Musiala;19.06.2025
19.08.2024;15270000;Musiala;19.06.2025
20.08.2024;15350000;Musiala;19.06.2025
21.08.2024;15420000;Musiala;19.06.2025
22.08.2024;14110000;Musiala;19.06.2025
23.08.2024;14560000;Musiala;19.06.2025
24.08.2024;15350000;Musiala;19.06.2025
25.08.2024;15620000;Musiala;19.06.2025
26.08.2024;16820000;Musiala;19.06.2025
27.08.2024;17460000;Musiala;19.06.2025
28.08.2024;18640000;Musiala;19.06.2025
29.08.2024;17630000;Musiala;19.06.2025
30.08.2024;18050000;Musiala;19.06.2025
31.08.2024;17720000;Musiala;19.06.2025
01.09.2024;17990000;Musiala;19.06.2025
02.09.2024;18210000;Musiala;19.06.2025
03.09.2024;17720000;Musiala;19.06.2025
04.09.2024;17830000;Musiala;19.06.2025
05.09.2024;17840000;Musiala;19.06.2025
06.09.2024;16920000;Musiala;19.06.2025
07.09.2024;17770000;Musiala;19.06.2025
08.09.2024;16470000;Musiala;19.06.2025
09.09.2024;16940000;Musiala;19.06.2025
10.09.2024;17120000;Musiala;19.06.2025
11.09.2024;17420000;Musiala;19.06.2025
12.09.2024;17680000;Musiala;19.06.2025
13.09.2024;17610000;Musiala;19.06.2025
14.09.2024;18300000;Musiala;19.06.2025
15.09.2024;18610000;Musiala;19.06.2025
16.09.2024;18610000;Musiala;19.06.2025
17.09.2024;18760000;Musiala;19.06.2025
18.09.2024;18840000;Musiala;19.06.2025
19.09.2024;18390000;Musiala;19.06.2025
20.09.2024;18840000;Musiala;19.06.2025
21.09.2024;18190000;Musiala;19.06.2025
22.09.2024;18860000;Musiala;19.06.2025
23.09.2024;19130000;Musiala;19.06.2025
24.09.2024;19490000;Musiala;19.06.2025
25.09.2024;19630000;Musiala;19.06.2025
26.09.2024;19890000;Musiala;19.06.2025
27.09.2024;19120000;Musiala;19.06.2025
28.09.2024;19770000;Musiala;19.06.2025
29.09.2024;20600000;Musiala;19.06.2025
30.09.2024;20310000;Musiala;19.06.2025
01.10.2024;20910000;Musiala;19.06.2025
02.10.2024;18910000;Musiala;19.06.2025
03.10.2024;20880000;Musiala;19.06.2025
04.10.2024;20610000;Musiala;19.06.2025
05.10.2024;19200000;Musiala;19.06.2025
06.10.2024;19290000;Musiala;19.06.2025
07.10.2024;19970000;Musiala;19.06.2025
08.10.2024;19890000;Musiala;19.06.2025
09.10.2024;19790000;Musiala;19.06.2025
10.10.2024;19600000;Musiala;19.06.2025
11.10.2024;20240000;Musiala;19.06.2025
12.10.2024;20450000;Musiala;19.06.2025
13.10.2024;20550000;Musiala;19.06.2025
14.10.2024;20220000;Musiala;19.06.2025
15.10.2024;20130000;Musiala;19.06.2025
16.10.2024;20360000;Musiala;19.06.2025
17.10.2024;20330000;Musiala;19.06.2025
18.10.2024;20120000;Musiala;19.06.2025
19.10.2024;19990000;Musiala;19.06.2025
20.10.2024;20180000;Musiala;19.06.2025
21.10.2024;20550000;Musiala;19.06.2025
22.10.2024;18630000;Musiala;19.06.2025
23.10.2024;19330000;Musiala;19.06.2025
24.10.2024;19470000;Musiala;19.06.2025
25.10.2024;19710000;Musiala;19.06.2025
26.10.2024;21180000;Musiala;19.06.2025
27.10.2024;21700000;Musiala;19.06.2025
28.10.2024;21890000;Musiala;19.06.2025
29.10.2024;22290000;Musiala;19.06.2025
30.10.2024;22560000;Musiala;19.06.2025
31.10.2024;23770000;Musiala;19.06.2025
01.11.2024;23950000;Musiala;19.06.2025
02.11.2024;24090000;Musiala;19.06.2025
03.11.2024;24090000;Musiala;19.06.2025
04.11.2024;24220000;Musiala;19.06.2025
05.11.2024;23230000;Musiala;19.06.2025
06.11.2024;23610000;Musiala;19.06.2025
07.11.2024;23740000;Musiala;19.06.2025
08.11.2024;24560000;Musiala;19.06.2025
09.11.2024;25220000;Musiala;19.06.2025
10.11.2024;25490000;Musiala;19.06.2025
11.11.2024;25610000;Musiala;19.06.2025
12.11.2024;25820000;Musiala;19.06.2025
13.11.2024;26110000;Musiala;19.06.2025
14.11.2024;27750000;Musiala;19.06.2025
15.11.2024;26660000;Musiala;19.06.2025
16.11.2024;23890000;Musiala;19.06.2025
17.11.2024;23900000;Musiala;19.06.2025
18.11.2024;24690000;Musiala;19.06.2025
19.11.2024;25560000;Musiala;19.06.2025
20.11.2024;26060000;Musiala;19.06.2025
21.11.2024;26030000;Musiala;19.06.2025
22.11.2024;25740000;Musiala;19.06.2025
23.11.2024;26850000;Musiala;19.06.2025
24.11.2024;27100000;Musiala;19.06.2025
25.11.2024;27580000;Musiala;19.06.2025
26.11.2024;26960000;Musiala;19.06.2025
27.11.2024;27750000;Musiala;19.06.2025
28.11.2024;27840000;Musiala;19.06.2025
29.11.2024;28780000;Musiala;19.06.2025
30.11.2024;28130000;Musiala;19.06.2025
01.12.2024;26670000;Musiala;19.06.2025
02.12.2024;28060000;Musiala;19.06.2025
03.12.2024;28080000;Musiala;19.06.2025
04.12.2024;29910000;Musiala;19.06.2025
05.12.2024;28350000;Musiala;19.06.2025
06.12.2024;28200000;Musiala;19.06.2025
07.12.2024;28370000;Musiala;19.06.2025
