Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;9040000;N. Schlotterbeck;19.06.2025
20.06.2024;9220000;N. Schlotterbeck;19.06.2025
21.06.2024;8440000;N. Schlotterbeck;19.06.2025
22.06.2024;8470000;N. Schlotterbeck;19.06.2025
23.06.2024;8030000;N. Schlotterbeck;19.06.2025
24.06.2024;8230000;N. Schlotterbeck;19.06.2025
25.06.2024;7840000;N. Schlotterbeck;19.06.2025
26.06.2024;8020000;N. Schlotterbeck;19.06.2025
27.06.2024;8070000;N. Schlotterbeck;19.06.2025
28.06.2024;8090000;N. Schlotterbeck;19.06.2025
29.06.2024;8330000;N. Schlotterbeck;19.06.2025
30.06.2024;8130000;N. Schlotterbeck;19.06.2025
01.07.2024;8410000;N. Schlotterbeck;19.06.2025
02.07.2024;8720000;N. Schlotterbeck;19.06.2025
03.07.2024;8370000;N. Schlotterbeck;19.06.2025
04.07.2024;8350000;N. Schlotterbeck;19.06.2025
05.07.2024;8320000;N. Schlotterbeck;19.06.2025
06.07.2024;8320000;N. Schlotterbeck;19.06.2025
07.07.2024;8360000;N. Schlotterbeck;19.06.2025
08.07.2024;8410000;N. Schlotterbeck;19.06.2025
09.07.2024;7800000;N. Schlotterbeck;19.06.2025
10.07.2024;7960000;N. Schlotterbeck;19.06.2025
11.07.2024;7980000;N. Schlotterbeck;19.06.2025
12.07.2024;8000000;N. Schlotterbeck;19.06.2025
13.07.2024;7550000;N. Schlotterbeck;19.06.2025
14.07.2024;7710000;N. Schlotterbeck;19.06.2025
15.07.2024;7470000;N. Schlotterbeck;19.06.2025
16.07.2024;7710000;N. Schlotterbeck;19.06.2025
17.07.2024;7810000;N. Schlotterbeck;19.06.2025
18.07.2024;7870000;N. Schlotterbeck;19.06.2025
19.07.2024;8250000;N. Schlotterbeck;19.06.2025
20.07.2024;8340000;N. Schlotterbeck;19.06.2025
21.07.2024;8190000;N. Schlotterbeck;19.06.2025
22.07.2024;8320000;N. Schlotterbeck;19.06.2025
23.07.2024;8330000;N. Schlotterbeck;19.06.2025
24.07.2024;8140000;N. Schlotterbeck;19.06.2025
25.07.2024;8030000;N. Schlotterbeck;19.06.2025
26.07.2024;7580000;N. Schlotterbeck;19.06.2025
