Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;1250000.0;Pauli;19.06.2025
28.05.2025;1390000.0;Pauli;19.06.2025
29.05.2025;1480000.0;Pauli;19.06.2025
30.05.2025;1450000.0;Pauli;19.06.2025
31.05.2025;1460000.0;Pauli;19.06.2025
01.06.2025;1380000.0;Pauli;19.06.2025
02.06.2025;1500000.0;Pauli;19.06.2025
03.06.2025;1500000.0;Pauli;19.06.2025
04.06.2025;1400000.0;Pauli;19.06.2025
05.06.2025;1410000.0;Pauli;19.06.2025
06.06.2025;1300000.0;Pauli;19.06.2025
07.06.2025;1230000.0;Pauli;19.06.2025
08.06.2025;1130000.0;Pauli;19.06.2025
09.06.2025;1190000.0;Pauli;19.06.2025
10.06.2025;1100000.0;Pauli;19.06.2025
11.06.2025;1030000.0;Pauli;19.06.2025
12.06.2025;960000.0;Pauli;19.06.2025
13.06.2025;960000.0;Pauli;19.06.2025
14.06.2025;1130000.0;Pauli;19.06.2025
15.06.2025;1130000.0;Pauli;19.06.2025
16.06.2025;1050000.0;Pauli;19.06.2025
17.06.2025;990000.0;Pauli;19.06.2025
18.06.2025;920000.0;Pauli;19.06.2025
19.06.2025;950000.0;Pauli;19.06.2025
19.06.2025;;Pauli;19.06.2025
