Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;5580000;Raphaël Guerreiro;19.06.2025
20.06.2024;5580000;Raphaël Guerreiro;19.06.2025
21.06.2024;5370000;Raphaël Guerreiro;19.06.2025
22.06.2024;5440000;Raphaël Guerreiro;19.06.2025
23.06.2024;5370000;Raphaël Guerreiro;19.06.2025
24.06.2024;5260000;Raphaël Guerreiro;19.06.2025
25.06.2024;5280000;Raphaël Guerreiro;19.06.2025
26.06.2024;4990000;Raphaël Guerreiro;19.06.2025
27.06.2024;4750000;Raphaël Guerreiro;19.06.2025
28.06.2024;4830000;Raphaël Guerreiro;19.06.2025
29.06.2024;4820000;Raphaël Guerreiro;19.06.2025
30.06.2024;4780000;Raphaël Guerreiro;19.06.2025
01.07.2024;4840000;Raphaël Guerreiro;19.06.2025
02.07.2024;4970000;Raphaël Guerreiro;19.06.2025
03.07.2024;4970000;Raphaël Guerreiro;19.06.2025
04.07.2024;4920000;Raphaël Guerreiro;19.06.2025
05.07.2024;4740000;Raphaël Guerreiro;19.06.2025
06.07.2024;4920000;Raphaël Guerreiro;19.06.2025
07.07.2024;4980000;Raphaël Guerreiro;19.06.2025
08.07.2024;5020000;Raphaël Guerreiro;19.06.2025
09.07.2024;4650000;Raphaël Guerreiro;19.06.2025
10.07.2024;4650000;Raphaël Guerreiro;19.06.2025
11.07.2024;4500000;Raphaël Guerreiro;19.06.2025
12.07.2024;4430000;Raphaël Guerreiro;19.06.2025
13.07.2024;4170000;Raphaël Guerreiro;19.06.2025
14.07.2024;4020000;Raphaël Guerreiro;19.06.2025
15.07.2024;4020000;Raphaël Guerreiro;19.06.2025
16.07.2024;4200000;Raphaël Guerreiro;19.06.2025
17.07.2024;4230000;Raphaël Guerreiro;19.06.2025
18.07.2024;4420000;Raphaël Guerreiro;19.06.2025
19.07.2024;4440000;Raphaël Guerreiro;19.06.2025
20.07.2024;4510000;Raphaël Guerreiro;19.06.2025
21.07.2024;4570000;Raphaël Guerreiro;19.06.2025
22.07.2024;4590000;Raphaël Guerreiro;19.06.2025
23.07.2024;4260000;Raphaël Guerreiro;19.06.2025
24.07.2024;4390000;Raphaël Guerreiro;19.06.2025
25.07.2024;4520000;Raphaël Guerreiro;19.06.2025
26.07.2024;4650000;Raphaël Guerreiro;19.06.2025
27.07.2024;4320000;Raphaël Guerreiro;19.06.2025
28.07.2024;4430000;Raphaël Guerreiro;19.06.2025
29.07.2024;4550000;Raphaël Guerreiro;19.06.2025
30.07.2024;4580000;Raphaël Guerreiro;19.06.2025
31.07.2024;4690000;Raphaël Guerreiro;19.06.2025
01.08.2024;4720000;Raphaël Guerreiro;19.06.2025
02.08.2024;4730000;Raphaël Guerreiro;19.06.2025
03.08.2024;4780000;Raphaël Guerreiro;19.06.2025
04.08.2024;4990000;Raphaël Guerreiro;19.06.2025
05.08.2024;4990000;Raphaël Guerreiro;19.06.2025
06.08.2024;5030000;Raphaël Guerreiro;19.06.2025
07.08.2024;5100000;Raphaël Guerreiro;19.06.2025
08.08.2024;5090000;Raphaël Guerreiro;19.06.2025
09.08.2024;5310000;Raphaël Guerreiro;19.06.2025
10.08.2024;5330000;Raphaël Guerreiro;19.06.2025
11.08.2024;5540000;Raphaël Guerreiro;19.06.2025
12.08.2024;5620000;Raphaël Guerreiro;19.06.2025
13.08.2024;5780000;Raphaël Guerreiro;19.06.2025
14.08.2024;6130000;Raphaël Guerreiro;19.06.2025
15.08.2024;6130000;Raphaël Guerreiro;19.06.2025
16.08.2024;6370000;Raphaël Guerreiro;19.06.2025
17.08.2024;6610000;Raphaël Guerreiro;19.06.2025
18.08.2024;6870000;Raphaël Guerreiro;19.06.2025
19.08.2024;7030000;Raphaël Guerreiro;19.06.2025
20.08.2024;7030000;Raphaël Guerreiro;19.06.2025
21.08.2024;7050000;Raphaël Guerreiro;19.06.2025
22.08.2024;7110000;Raphaël Guerreiro;19.06.2025
23.08.2024;7790000;Raphaël Guerreiro;19.06.2025
24.08.2024;7770000;Raphaël Guerreiro;19.06.2025
25.08.2024;7940000;Raphaël Guerreiro;19.06.2025
26.08.2024;7450000;Raphaël Guerreiro;19.06.2025
27.08.2024;6840000;Raphaël Guerreiro;19.06.2025
28.08.2024;6590000;Raphaël Guerreiro;19.06.2025
29.08.2024;6000000;Raphaël Guerreiro;19.06.2025
30.08.2024;6050000;Raphaël Guerreiro;19.06.2025
31.08.2024;6160000;Raphaël Guerreiro;19.06.2025
01.09.2024;6040000;Raphaël Guerreiro;19.06.2025
02.09.2024;6710000;Raphaël Guerreiro;19.06.2025
03.09.2024;6710000;Raphaël Guerreiro;19.06.2025
04.09.2024;6850000;Raphaël Guerreiro;19.06.2025
05.09.2024;6940000;Raphaël Guerreiro;19.06.2025
06.09.2024;7090000;Raphaël Guerreiro;19.06.2025
07.09.2024;7150000;Raphaël Guerreiro;19.06.2025
08.09.2024;7250000;Raphaël Guerreiro;19.06.2025
09.09.2024;7290000;Raphaël Guerreiro;19.06.2025
10.09.2024;7260000;Raphaël Guerreiro;19.06.2025
11.09.2024;7350000;Raphaël Guerreiro;19.06.2025
12.09.2024;7640000;Raphaël Guerreiro;19.06.2025
13.09.2024;7560000;Raphaël Guerreiro;19.06.2025
14.09.2024;7690000;Raphaël Guerreiro;19.06.2025
15.09.2024;8210000;Raphaël Guerreiro;19.06.2025
16.09.2024;8250000;Raphaël Guerreiro;19.06.2025
17.09.2024;8400000;Raphaël Guerreiro;19.06.2025
18.09.2024;8690000;Raphaël Guerreiro;19.06.2025
19.09.2024;8790000;Raphaël Guerreiro;19.06.2025
20.09.2024;8780000;Raphaël Guerreiro;19.06.2025
21.09.2024;8920000;Raphaël Guerreiro;19.06.2025
22.09.2024;8580000;Raphaël Guerreiro;19.06.2025
23.09.2024;8260000;Raphaël Guerreiro;19.06.2025
24.09.2024;7720000;Raphaël Guerreiro;19.06.2025
25.09.2024;7360000;Raphaël Guerreiro;19.06.2025
26.09.2024;7300000;Raphaël Guerreiro;19.06.2025
27.09.2024;7420000;Raphaël Guerreiro;19.06.2025
28.09.2024;7400000;Raphaël Guerreiro;19.06.2025
29.09.2024;7480000;Raphaël Guerreiro;19.06.2025
30.09.2024;7510000;Raphaël Guerreiro;19.06.2025
01.10.2024;7850000;Raphaël Guerreiro;19.06.2025
02.10.2024;8260000;Raphaël Guerreiro;19.06.2025
03.10.2024;7630000;Raphaël Guerreiro;19.06.2025
04.10.2024;7690000;Raphaël Guerreiro;19.06.2025
05.10.2024;7690000;Raphaël Guerreiro;19.06.2025
