Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;2500000.0;Reis;19.06.2025
28.05.2025;2870000.0;Reis;19.06.2025
29.05.2025;2860000.0;Reis;19.06.2025
30.05.2025;2990000.0;Reis;19.06.2025
31.05.2025;3110000.0;Reis;19.06.2025
01.06.2025;3160000.0;Reis;19.06.2025
02.06.2025;2990000.0;Reis;19.06.2025
03.06.2025;2850000.0;Reis;19.06.2025
04.06.2025;2670000.0;Reis;19.06.2025
05.06.2025;2610000.0;Reis;19.06.2025
06.06.2025;2760000.0;Reis;19.06.2025
07.06.2025;2740000.0;Reis;19.06.2025
08.06.2025;2970000.0;Reis;19.06.2025
09.06.2025;2890000.0;Reis;19.06.2025
10.06.2025;2770000.0;Reis;19.06.2025
11.06.2025;2570000.0;Reis;19.06.2025
12.06.2025;2400000.0;Reis;19.06.2025
13.06.2025;2520000.0;Reis;19.06.2025
14.06.2025;2360000.0;Reis;19.06.2025
15.06.2025;2370000.0;Reis;19.06.2025
16.06.2025;2320000.0;Reis;19.06.2025
17.06.2025;2340000.0;Reis;19.06.2025
18.06.2025;2280000.0;Reis;19.06.2025
19.06.2025;2190000.0;Reis;19.06.2025
19.06.2025;;Reis;19.06.2025
