Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;750000.0;S. El Mala;19.06.2025
28.05.2025;890000.0;S. El Mala;19.06.2025
29.05.2025;890000.0;S. El Mala;19.06.2025
30.05.2025;860000.0;S. El Mala;19.06.2025
31.05.2025;810000.0;S. El Mala;19.06.2025
01.06.2025;750000.0;S. El Mala;19.06.2025
02.06.2025;940000.0;S. El Mala;19.06.2025
03.06.2025;1090000.0;S. El Mala;19.06.2025
04.06.2025;1100000.0;S. El Mala;19.06.2025
05.06.2025;1110000.0;S. El Mala;19.06.2025
06.06.2025;1030000.0;S. El Mala;19.06.2025
07.06.2025;1280000.0;S. El Mala;19.06.2025
08.06.2025;1270000.0;S. El Mala;19.06.2025
09.06.2025;1280000.0;S. El Mala;19.06.2025
10.06.2025;1200000.0;S. El Mala;19.06.2025
11.06.2025;1210000.0;S. El Mala;19.06.2025
12.06.2025;1240000.0;S. El Mala;19.06.2025
13.06.2025;1200000.0;S. El Mala;19.06.2025
14.06.2025;1380000.0;S. El Mala;19.06.2025
15.06.2025;1380000.0;S. El Mala;19.06.2025
16.06.2025;1310000.0;S. El Mala;19.06.2025
17.06.2025;1370000.0;S. El Mala;19.06.2025
18.06.2025;1280000.0;S. El Mala;19.06.2025
19.06.2025;1330000.0;S. El Mala;19.06.2025
19.06.2025;;S. El Mala;19.06.2025
