Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;1750000.0;Sahiti;19.06.2025
28.05.2025;1910000.0;Sahiti;19.06.2025
29.05.2025;1980000.0;Sahiti;19.06.2025
30.05.2025;1960000.0;Sahiti;19.06.2025
31.05.2025;1980000.0;Sahiti;19.06.2025
01.06.2025;1860000.0;Sahiti;19.06.2025
02.06.2025;1750000.0;Sahiti;19.06.2025
03.06.2025;1770000.0;Sahiti;19.06.2025
04.06.2025;1740000.0;Sahiti;19.06.2025
05.06.2025;1710000.0;Sahiti;19.06.2025
06.06.2025;1710000.0;Sahiti;19.06.2025
07.06.2025;1670000.0;Sahiti;19.06.2025
08.06.2025;1540000.0;Sahiti;19.06.2025
09.06.2025;1550000.0;Sahiti;19.06.2025
10.06.2025;1450000.0;Sahiti;19.06.2025
11.06.2025;1510000.0;Sahiti;19.06.2025
12.06.2025;1430000.0;Sahiti;19.06.2025
13.06.2025;1420000.0;Sahiti;19.06.2025
14.06.2025;1300000.0;Sahiti;19.06.2025
15.06.2025;1320000.0;Sahiti;19.06.2025
16.06.2025;1210000.0;Sahiti;19.06.2025
17.06.2025;1180000.0;Sahiti;19.06.2025
18.06.2025;1180000.0;Sahiti;19.06.2025
19.06.2025;1130000.0;Sahiti;19.06.2025
19.06.2025;;Sahiti;19.06.2025
