Datum;Marktwert;Spieler;Abgerufen_am
19.06.2024;3600000;Schlager;19.06.2025
20.06.2024;3710000;Schlager;19.06.2025
21.06.2024;3740000;Schlager;19.06.2025
22.06.2024;3760000;Schlager;19.06.2025
23.06.2024;3760000;Schlager;19.06.2025
24.06.2024;3920000;Schlager;19.06.2025
25.06.2024;3950000;Schlager;19.06.2025
26.06.2024;4120000;Schlager;19.06.2025
27.06.2024;4360000;Schlager;19.06.2025
28.06.2024;4310000;Schlager;19.06.2025
29.06.2024;4150000;Schlager;19.06.2025
30.06.2024;4030000;Schlager;19.06.2025
01.07.2024;3860000;Schlager;19.06.2025
02.07.2024;3640000;Schlager;19.06.2025
03.07.2024;3370000;Schlager;19.06.2025
04.07.2024;3250000;Schlager;19.06.2025
05.07.2024;3200000;Schlager;19.06.2025
06.07.2024;3210000;Schlager;19.06.2025
07.07.2024;3040000;Schlager;19.06.2025
08.07.2024;3090000;Schlager;19.06.2025
09.07.2024;2910000;Schlager;19.06.2025
10.07.2024;3020000;Schlager;19.06.2025
11.07.2024;2870000;Schlager;19.06.2025
12.07.2024;2910000;Schlager;19.06.2025
13.07.2024;2740000;Schlager;19.06.2025
14.07.2024;2650000;Schlager;19.06.2025
15.07.2024;2470000;Schlager;19.06.2025
16.07.2024;2390000;Schlager;19.06.2025
17.07.2024;2300000;Schlager;19.06.2025
18.07.2024;2460000;Schlager;19.06.2025
19.07.2024;2600000;Schlager;19.06.2025
20.07.2024;2610000;Schlager;19.06.2025
21.07.2024;2460000;Schlager;19.06.2025
22.07.2024;2380000;Schlager;19.06.2025
23.07.2024;2640000;Schlager;19.06.2025
24.07.2024;2680000;Schlager;19.06.2025
25.07.2024;2690000;Schlager;19.06.2025
26.07.2024;2680000;Schlager;19.06.2025
27.07.2024;2860000;Schlager;19.06.2025
28.07.2024;2860000;Schlager;19.06.2025
29.07.2024;2910000;Schlager;19.06.2025
30.07.2024;3000000;Schlager;19.06.2025
31.07.2024;3030000;Schlager;19.06.2025
01.08.2024;3030000;Schlager;19.06.2025
02.08.2024;3120000;Schlager;19.06.2025
03.08.2024;3080000;Schlager;19.06.2025
04.08.2024;3150000;Schlager;19.06.2025
05.08.2024;3220000;Schlager;19.06.2025
06.08.2024;3300000;Schlager;19.06.2025
07.08.2024;3290000;Schlager;19.06.2025
08.08.2024;3210000;Schlager;19.06.2025
09.08.2024;3190000;Schlager;19.06.2025
10.08.2024;3100000;Schlager;19.06.2025
11.08.2024;3130000;Schlager;19.06.2025
12.08.2024;2980000;Schlager;19.06.2025
13.08.2024;3110000;Schlager;19.06.2025
