Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;1000000.0;Schmied;19.06.2025
28.05.2025;1080000.0;Schmied;19.06.2025
29.05.2025;1130000.0;Schmied;19.06.2025
30.05.2025;1090000.0;Schmied;19.06.2025
31.05.2025;1000000.0;Schmied;19.06.2025
01.06.2025;1010000.0;Schmied;19.06.2025
02.06.2025;930000.0;Schmied;19.06.2025
03.06.2025;1010000.0;Schmied;19.06.2025
04.06.2025;980000.0;Schmied;19.06.2025
05.06.2025;940000.0;Schmied;19.06.2025
06.06.2025;910000.0;Schmied;19.06.2025
07.06.2025;860000.0;Schmied;19.06.2025
08.06.2025;790000.0;Schmied;19.06.2025
09.06.2025;800000.0;Schmied;19.06.2025
10.06.2025;740000.0;Schmied;19.06.2025
11.06.2025;700000.0;Schmied;19.06.2025
12.06.2025;650000.0;Schmied;19.06.2025
13.06.2025;620000.0;Schmied;19.06.2025
14.06.2025;570000.0;Schmied;19.06.2025
15.06.2025;540000.0;Schmied;19.06.2025
16.06.2025;500000.0;Schmied;19.06.2025
17.06.2025;480000.0;Schmied;19.06.2025
18.06.2025;460000.0;Schmied;19.06.2025
19.06.2025;440000.0;Schmied;19.06.2025
19.06.2025;;Schmied;19.06.2025
